repo,repo_key,dataset,instance_id,pr_number,base_commit,created_at,image,n_src_py_files_study,file_group,src_changed_lines_study,n_new_src_py_study,n_f2p,draw_rank
ansible/ansible,ansible/ansible,swebench_pro,instance_ansible__ansible-83909bfa22573777e3db5688773bda59721962ad-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,,b6360dc5e068288dcdf9513dba732f1d823d1dfe,,,3,multi,184,0,1.0,1
ansible/ansible,ansible/ansible,swebench_pro,instance_ansible__ansible-415e08c2970757472314e515cb63a51ad825c45e-v7eee2454f617569fd6889f2211f75bc02a35f9f8,,f05bcf569367904985c0e5796a4c14ce0b7d4be9,,,2,multi,70,1,9.0,2
ansible/ansible,ansible/ansible,swebench_pro,instance_ansible__ansible-5640093f1ca63fd6af231cc8a7fb7d40e1907b8c-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,,a5a13246ce02fd4c4ce997627b4f42152e59d288,,,4,multi,29,0,4.0,3
ansible/ansible,ansible/ansible,swebench_pro,instance_ansible__ansible-29aea9ff3466e4cd2ed00524b9e56738d568ce8b-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,,270f109bb3af5c2498725b384f77ddc26da2fb73,,,2,multi,59,0,4.0,4
ansible/ansible,ansible/ansible,swebench_pro,instance_ansible__ansible-0fd88717c953b92ed8a50495d55e630eb5d59166-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,,016b7f71b10539c90ddbb3246f19f9cbf0e65428,,,2,multi,108,0,4.0,5
ansible/ansible,ansible/ansible,swebench_pro,instance_ansible__ansible-a7d2a4e03209cff1e97e59fd54bb2b05fdbdbec6-v0f01c69f1e2528b935359cfe578530722bca2c59,,38067860e271ce2f68d6d5d743d70286e5209623,,,3,multi,35,0,2.0,6
ansible/ansible,ansible/ansible,swebench_pro,instance_ansible__ansible-6cc97447aac5816745278f3735af128afb255c81-v0f01c69f1e2528b935359cfe578530722bca2c59,,e094d48b1bdd93cbc189f416543e810c19b2e561,,,7,multi,83,0,8.0,7
ansible/ansible,ansible/ansible,swebench_pro,instance_ansible__ansible-9142be2f6cabbe6597c9254c5bb9186d17036d55-v0f01c69f1e2528b935359cfe578530722bca2c59,,7fff4086523678f3c6533da4c500f86f6fb47efa,,,1,single,79,0,2.0,8
ansible/ansible,ansible/ansible,swebench_pro,instance_ansible__ansible-3b823d908e8a5d17674f8c26d337d3114b7493b1-v0f01c69f1e2528b935359cfe578530722bca2c59,,92df66480613d0f3c1f11ab27146e3162d2a5bd5,,,6,multi,43,0,1.0,9
ansible/ansible,ansible/ansible,swebench_pro,instance_ansible__ansible-f8ef34672b961a95ec7282643679492862c688ec-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,,e889b1063f60f6b99f5d031f7e903f7be5f58900,,,6,multi,49,0,1.0,10
