repo_key,sha,nodes,edges,clumps,files_in_loops,unresolved_internal,internal_statements,parse_failures,read_failures,skipped_non_identifier,skipped_duplicate,build_seconds,is_pinned
ansible/ansible,6198c7377f545207218fe8eb2e3cfa9673ff8f5e,565,106,4,16,7,104,0,0,5,0,7.418,True
ansible/ansible,b6360dc5e068288dcdf9513dba732f1d823d1dfe,477,23,0,0,5,27,0,0,4,0,5.389,False
ansible/ansible,f05bcf569367904985c0e5796a4c14ce0b7d4be9,494,24,0,0,7,29,0,0,5,0,5.27,False
ansible/ansible,a5a13246ce02fd4c4ce997627b4f42152e59d288,496,24,0,0,7,29,0,0,5,0,5.109,False
ansible/ansible,270f109bb3af5c2498725b384f77ddc26da2fb73,495,24,0,0,7,29,0,0,5,0,4.811,False
ansible/ansible,016b7f71b10539c90ddbb3246f19f9cbf0e65428,510,25,0,0,8,31,0,0,6,0,4.391,False
ansible/ansible,38067860e271ce2f68d6d5d743d70286e5209623,510,22,0,0,9,29,0,0,6,0,4.522,False
ansible/ansible,e094d48b1bdd93cbc189f416543e810c19b2e561,552,106,4,17,7,110,0,0,5,0,6.417,False
ansible/ansible,7fff4086523678f3c6533da4c500f86f6fb47efa,498,24,0,0,7,29,0,0,6,0,5.273,False
ansible/ansible,92df66480613d0f3c1f11ab27146e3162d2a5bd5,480,8,0,0,7,14,0,0,5,0,5.32,False
ansible/ansible,e889b1063f60f6b99f5d031f7e903f7be5f58900,477,23,0,0,5,27,0,0,4,0,5.266,False
ansible/ansible,5ee81338fcf7adbc1a8eda26dd8105a07825cb08,5104,17,0,0,4,20,0,0,8,0,77.934,False
ansible/ansible,709484969c8a4ffd74b839a673431a8c5caa6457,477,23,0,0,5,27,0,0,4,0,4.064,False
ansible/ansible,3398c102b5c41d48d0cbc2d81f9c004f07ac3fcb,483,9,0,0,7,15,0,0,5,0,5.936,False
ansible/ansible,db2d5b09eff918e981c9e10787a5f2c500d1784f,5620,23,0,0,4,26,0,0,8,0,63.284,False
ansible/ansible,1503805b703787aba06111f67e7dc564e3420cad,480,8,0,0,7,14,0,0,5,0,2.239,False
ansible/ansible,6382ea168a93d80a64aab1fbd8c4f02dc5ada5bf,481,8,0,0,7,14,0,0,5,0,2.19,False
ansible/ansible,02e00aba3fd7b646a4f6d6af72159c2b366536bf,486,9,0,0,7,15,0,0,5,0,2.963,False
ansible/ansible,bddb9a7490b5e9475d0d01a8d906332e81789cde,483,9,0,0,7,15,0,0,5,0,2.791,False
ansible/ansible,662d34b9a7a1b3ab1d4847eeaef201a005826aef,473,23,0,0,5,27,0,0,4,0,3.218,False
ansible/ansible,d63a71e3f83fc23defb97393367859634881b8da,472,22,0,0,3,24,0,0,5,0,2.628,False
astropy/astropy,92b38aebbba6422890f1023031558f6df738e2a5,512,1986,6,320,23,2142,0,0,0,0,8.646,True
astropy/astropy,6ed769d58d89380ebaa1ef52b300691eefda8928,489,1835,6,280,10,1989,0,0,11,0,7.937,False
astropy/astropy,1a4462d72eb03f30dc83a879b1dd57aac8b2c18b,492,1855,6,279,11,1972,0,0,11,0,8.126,False
astropy/astropy,5250b2442501e6c671c6b380536f1edb352602d1,492,1855,6,279,11,1972,0,0,11,0,6.382,False
astropy/astropy,7269fa3e33e8d02485a647da91a5a2a60a06af61,497,1867,6,283,21,1993,0,0,11,0,8.5,False
astropy/astropy,d16bfe05a744909de4b27f5875fe0d4ed41ce607,481,1789,6,272,8,1959,0,0,11,0,6.51,False
astropy/astropy,80c3854a5f4f4a6ab86c03d9db7854767fcd83c1,496,1865,6,283,21,1991,0,0,11,0,6.883,False
astropy/astropy,19cc80471739bcb67b7e8099246b391c355023ee,490,1840,6,282,10,1994,0,0,11,0,7.076,False
astropy/astropy,732d89c2940156bdc0e200bb36dc38b5e424bcba,388,1370,6,195,25,1462,0,0,11,0,5.846,False
astropy/astropy,a7141cd90019b62688d507ae056298507678c058,388,1376,6,197,25,1467,0,0,11,0,5.749,False
astropy/astropy,cdb66059a2feb44ee49021874605ba90801f9986,497,1863,6,282,21,1984,0,0,11,0,7.63,False
astropy/astropy,26d147868f8a891a6009a25cd6a8576d2e1bd747,385,1357,6,195,24,1443,0,0,11,0,6.048,False
astropy/astropy,c0a24c1dc957a3b565294213f435fefb2ec99714,497,1866,6,283,21,1991,0,0,11,0,7.016,False
astropy/astropy,b16c7d12ccbc7b2d20364b89fb44285bcbfede54,475,1806,6,291,19,1925,0,0,11,0,7.876,False
astropy/astropy,0df94ff7097961e92fd7812036a24b145bc13ca8,491,1850,6,283,10,2004,0,0,11,0,7.125,False
django/django,4a72da71001f154ea60906a2f74898d32b7322a7,839,2779,14,197,8,2847,0,0,23,0,7.852,True
django/django,d01709aae21de9cd2565b9c52f32732ea28a2d98,830,2621,13,181,7,2629,0,0,23,0,7.349,False
