repo_key,graphs,unresolved,internal_statements,parse_failures,median_build_s,unresolved_share
ansible/ansible,21,132,655,0,5.109,0.2015
astropy/astropy,15,260,28288,0,7.076,0.0092
django/django,21,237,56152,0,6.355,0.0042
internetarchive/openlibrary,12,36,6987,0,2.5335,0.0052
matplotlib/matplotlib,21,82,3866,0,8.398,0.0212
mwaskom/seaborn,2,0,427,0,0.6455,0.0
pallets/flask,1,0,192,0,0.115,0.0
psf/requests,6,2,934,1,0.7995000000000001,0.0021
pydata/xarray,18,0,10848,0,1.867,0.0
pylint-dev/pylint,6,28,2685,0,1.754,0.0104
pytest-dev/pytest,12,32,6954,0,1.0135,0.0046
qutebrowser/qutebrowser,17,0,11797,0,2.442,0.0
scikit-learn/scikit-learn,21,2231,53933,0,5.582,0.0414
sphinx-doc/sphinx,21,70,21963,0,4.178,0.0032
sympy/sympy,21,184,126358,0,16.446,0.0015
