instance_id,repo_key,status,n_co_edited,n_new_files,n_symbol_files,names_tried,names_resolved_in_repo,jedi_errors,truncated,seconds
astropy__astropy-12907,astropy/astropy,ok,1,0,1,6,4,0,False,1.4
astropy__astropy-13236,astropy/astropy,ok,1,0,0,0,0,0,False,2.3
astropy__astropy-13453,astropy/astropy,ok,1,0,2,7,6,0,False,1.8
astropy__astropy-13579,astropy/astropy,ok,1,0,1,10,8,0,False,7.4
astropy__astropy-13977,astropy/astropy,ok,1,0,2,95,74,0,False,53.2
astropy__astropy-14096,astropy/astropy,ok,1,0,1,3,2,0,False,1.3
astropy__astropy-14309,astropy/astropy,ok,1,0,0,0,0,0,False,7.3
astropy__astropy-14365,astropy/astropy,ok,1,0,1,8,3,0,False,15.6
astropy__astropy-14539,astropy/astropy,ok,1,0,1,4,2,0,False,2.6
astropy__astropy-14598,astropy/astropy,ok,1,0,1,8,5,0,False,4.6
astropy__astropy-14995,astropy/astropy,ok,1,0,1,2,1,0,False,1.4
astropy__astropy-7166,astropy/astropy,ok,1,0,1,4,3,0,False,2.9
astropy__astropy-7336,astropy/astropy,ok,1,0,1,5,1,0,False,0.5
astropy__astropy-7671,astropy/astropy,ok,1,0,1,11,7,0,False,1.4
django__django-11179,django/django,ok,1,0,1,6,2,0,False,2.2
django__django-11790,django/django,ok,1,0,2,13,8,0,False,5.5
django__django-11964,django/django,ok,1,0,1,24,2,0,False,2.1
django__django-12193,django/django,ok,1,0,1,2,2,0,False,1.3
django__django-13195,django/django,ok,3,0,3,25,17,0,False,2.5
django__django-13212,django/django,ok,2,0,3,119,87,0,False,2.5
django__django-14034,django/django,ok,1,0,4,34,24,0,False,5.5
django__django-14089,django/django,ok,1,0,1,5,4,0,False,3.1
django__django-14155,django/django,ok,1,0,1,25,23,0,False,2.1
django__django-14539,django/django,ok,1,0,1,12,15,0,False,2.8
django__django-14765,django/django,ok,1,0,1,9,7,0,False,0.7
django__django-14855,django/django,ok,1,0,2,10,5,0,False,3.8
django__django-14915,django/django,ok,1,0,1,5,3,0,False,2.0
django__django-15022,django/django,ok,1,0,3,10,8,0,False,10.5
django__django-15098,django/django,ok,1,0,2,2,2,0,False,1.4
django__django-15103,django/django,ok,2,0,3,23,19,0,False,1.8
django__django-15382,django/django,ok,1,0,2,10,10,0,False,1.5
django__django-15467,django/django,ok,1,0,2,5,3,0,False,13.1
django__django-16667,django/django,ok,1,0,0,1,0,0,False,1.7
django__django-7530,django/django,ok,1,0,3,5,6,0,False,1.5
