instance_id,repo_key,n_edited,n_seeds,edited_not_in_graph,n_new_files,has_exec
instance_ansible__ansible-83909bfa22573777e3db5688773bda59721962ad-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,ansible/ansible,2,2,0,0,False
instance_ansible__ansible-415e08c2970757472314e515cb63a51ad825c45e-v7eee2454f617569fd6889f2211f75bc02a35f9f8,ansible/ansible,1,1,0,1,False
instance_ansible__ansible-5640093f1ca63fd6af231cc8a7fb7d40e1907b8c-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,ansible/ansible,4,4,0,0,False
instance_ansible__ansible-29aea9ff3466e4cd2ed00524b9e56738d568ce8b-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,ansible/ansible,2,2,0,0,False
instance_ansible__ansible-0fd88717c953b92ed8a50495d55e630eb5d59166-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,ansible/ansible,2,2,0,0,False
instance_ansible__ansible-a7d2a4e03209cff1e97e59fd54bb2b05fdbdbec6-v0f01c69f1e2528b935359cfe578530722bca2c59,ansible/ansible,3,3,0,0,False
instance_ansible__ansible-6cc97447aac5816745278f3735af128afb255c81-v0f01c69f1e2528b935359cfe578530722bca2c59,ansible/ansible,7,7,0,0,False
instance_ansible__ansible-9142be2f6cabbe6597c9254c5bb9186d17036d55-v0f01c69f1e2528b935359cfe578530722bca2c59,ansible/ansible,1,1,0,0,False
instance_ansible__ansible-3b823d908e8a5d17674f8c26d337d3114b7493b1-v0f01c69f1e2528b935359cfe578530722bca2c59,ansible/ansible,6,6,0,0,False
instance_ansible__ansible-f8ef34672b961a95ec7282643679492862c688ec-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,ansible/ansible,6,6,0,0,False
instance_ansible__ansible-489156378c8e97374a75a544c7c9c2c0dd8146d1-v390e508d27db7a51eece36bb6d9698b63a5b638a,ansible/ansible,2,2,0,0,False
instance_ansible__ansible-3db08adbb1cc6aa9941be5e0fc810132c6e1fa4b-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,ansible/ansible,1,1,0,0,False
instance_ansible__ansible-f86c58e2d235d8b96029d102c71ee2dfafd57997-v0f01c69f1e2528b935359cfe578530722bca2c59,ansible/ansible,2,2,0,0,False
instance_ansible__ansible-77658704217d5f166404fc67997203c25381cb6e-v390e508d27db7a51eece36bb6d9698b63a5b638a,ansible/ansible,1,1,0,0,False
instance_ansible__ansible-1a4644ff15355fd696ac5b9d074a566a80fe7ca3-v30a923fb5c164d6cd18280c02422f75e611e8fb2,ansible/ansible,1,1,0,0,False
instance_ansible__ansible-b2a289dcbb702003377221e25f62c8a3608f0e89-v173091e2e36d38c978002990795f66cfc0af30ad,ansible/ansible,5,5,0,0,False
instance_ansible__ansible-d6d2251929c84c3aa883bad7db0f19cc9ff0339e-v30a923fb5c164d6cd18280c02422f75e611e8fb2,ansible/ansible,3,3,0,0,False
instance_ansible__ansible-e9e6001263f51103e96e58ad382660df0f3d0e39-v30a923fb5c164d6cd18280c02422f75e611e8fb2,ansible/ansible,1,1,0,0,False
instance_ansible__ansible-fb144c44144f8bd3542e71f5db62b6d322c7bd85-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,ansible/ansible,2,2,0,0,False
instance_ansible__ansible-34db57a47f875d11c4068567b9ec7ace174ec4cf-v1055803c3a812189a1133297f7f5468579283f86,ansible/ansible,1,1,0,0,False
astropy__astropy-13236,astropy/astropy,1,1,0,0,False
astropy__astropy-14096,astropy/astropy,1,1,0,0,False
astropy__astropy-13977,astropy/astropy,1,1,0,0,False
astropy__astropy-14365,astropy/astropy,1,1,0,0,False
astropy__astropy-12907,astropy/astropy,1,1,0,0,False
astropy__astropy-14598,astropy/astropy,1,1,0,0,False
astropy__astropy-13453,astropy/astropy,1,1,0,0,False
astropy__astropy-7336,astropy/astropy,1,1,0,0,False
astropy__astropy-7671,astropy/astropy,1,1,0,0,False
astropy__astropy-14309,astropy/astropy,1,1,0,0,False
astropy__astropy-7166,astropy/astropy,1,1,0,0,False
astropy__astropy-14539,astropy/astropy,1,1,0,0,False
astropy__astropy-14995,astropy/astropy,1,1,0,0,False
astropy__astropy-13579,astropy/astropy,1,1,0,0,False
django__django-14089,django/django,1,1,0,0,False
django__django-14034,django/django,1,1,0,0,False
django__django-11179,django/django,1,1,0,0,False
django__django-16667,django/django,1,1,0,0,False
django__django-13212,django/django,2,2,0,0,False
django__django-14539,django/django,1,1,0,0,False
django__django-15098,django/django,1,1,0,0,False
django__django-15382,django/django,1,1,0,0,False
django__django-11790,django/django,1,1,0,0,False
django__django-15022,django/django,1,1,0,0,False
django__django-14155,django/django,1,1,0,0,False
django__django-14855,django/django,1,1,0,0,False
django__django-14765,django/django,1,1,0,0,False
django__django-13195,django/django,3,3,0,0,False
django__django-15103,django/django,2,2,0,0,False
django__django-15467,django/django,1,1,0,0,False
django__django-11964,django/django,1,1,0,0,False
django__django-12193,django/django,1,1,0,0,False
django__django-14915,django/django,1,1,0,0,False
django__django-7530,django/django,1,1,0,0,False
instance_internetarchive__openlibrary-53d376b148897466bb86d5accb51912bbbe9a8ed-v08d8e8889ec945ab821fb156c04c7d2e2810debb,internetarchive/openlibrary,4,4,0,0,False
instance_internetarchive__openlibrary-111347e9583372e8ef91c82e0612ea437ae3a9c9-v2d9a6c849c60ed19fd0858ce9e40b7cc8e097e59,internetarchive/openlibrary,5,5,0,0,False
instance_internetarchive__openlibrary-7bf3238533070f2d24bafbb26eedf675d51941f6-v08d8e8889ec945ab821fb156c04c7d2e2810debb,internetarchive/openlibrary,6,6,0,0,False
instance_internetarchive__openlibrary-0a90f9f0256e4f933523e9842799e39f95ae29ce-v76304ecdb3a5954fcf13feb710e8c40fcf24b73c,internetarchive/openlibrary,3,3,0,0,False
instance_internetarchive__openlibrary-09865f5fb549694d969f0a8e49b9d204ef1853ca-ve8c8d62a2b60610a3c4631f5f23ed866bada9818,internetarchive/openlibrary,1,1,0,0,False
instance_internetarchive__openlibrary-5de7de19211e71b29b2f2ba3b1dff2fe065d660f-v08d8e8889ec945ab821fb156c04c7d2e2810debb,internetarchive/openlibrary,3,3,0,0,False
instance_internetarchive__openlibrary-60725705782832a2cb22e17c49697948a42a9d03-v298a7a812ceed28c4c18355a091f1b268fe56d86,internetarchive/openlibrary,2,2,0,0,False
instance_internetarchive__openlibrary-6a117fab6c963b74dc1ba907d838e74f76d34a4b-v13642507b4fc1f8d234172bf8129942da2c2ca26,internetarchive/openlibrary,3,3,0,0,False
instance_internetarchive__openlibrary-e1e502986a3b003899a8347ac8a7ff7b08cbfc39-v08d8e8889ec945ab821fb156c04c7d2e2810debb,internetarchive/openlibrary,1,1,0,0,False
instance_internetarchive__openlibrary-757fcf46c70530739c150c57b37d6375f155dc97-ve8c8d62a2b60610a3c4631f5f23ed866bada9818,internetarchive/openlibrary,4,4,0,0,False
instance_internetarchive__openlibrary-77c16d530b4d5c0f33d68bead2c6b329aee9b996-ve8c8d62a2b60610a3c4631f5f23ed866bada9818,internetarchive/openlibrary,5,5,0,0,False
instance_internetarchive__openlibrary-1be7de788a444f6255e89c10ef6aa608550604a8-v29f82c9cf21d57b242f8d8b0e541525d259e2d63,internetarchive/openlibrary,4,4,0,0,False
matplotlib__matplotlib-24177,matplotlib/matplotlib,1,1,0,0,False
matplotlib__matplotlib-24627,matplotlib/matplotlib,1,1,0,0,False
matplotlib__matplotlib-26208,matplotlib/matplotlib,1,1,0,0,False
matplotlib__matplotlib-26466,matplotlib/matplotlib,1,1,0,0,False
matplotlib__matplotlib-25960,matplotlib/matplotlib,1,1,0,0,False
matplotlib__matplotlib-26342,matplotlib/matplotlib,1,1,0,0,False
matplotlib__matplotlib-25332,matplotlib/matplotlib,1,1,0,0,False
matplotlib__matplotlib-24870,matplotlib/matplotlib,2,2,0,0,False
matplotlib__matplotlib-23412,matplotlib/matplotlib,1,1,0,0,False
matplotlib__matplotlib-24570,matplotlib/matplotlib,1,1,0,0,False
matplotlib__matplotlib-25479,matplotlib/matplotlib,2,2,0,0,False
matplotlib__matplotlib-21568,matplotlib/matplotlib,1,1,0,0,False
matplotlib__matplotlib-25122,matplotlib/matplotlib,1,1,0,0,False
matplotlib__matplotlib-14623,matplotlib/matplotlib,3,3,0,0,False
matplotlib__matplotlib-24026,matplotlib/matplotlib,1,1,0,0,False
matplotlib__matplotlib-22871,matplotlib/matplotlib,1,1,0,0,False
matplotlib__matplotlib-23314,matplotlib/matplotlib,1,1,0,0,False
matplotlib__matplotlib-25311,matplotlib/matplotlib,1,1,0,0,False
matplotlib__matplotlib-23299,matplotlib/matplotlib,1,1,0,0,False
matplotlib__matplotlib-20676,matplotlib/matplotlib,1,1,0,0,False
mwaskom__seaborn-3069,mwaskom/seaborn,1,1,0,0,False
pallets__flask-5014,pallets/flask,1,1,0,0,False
psf__requests-5414,psf/requests,1,1,0,0,False
psf__requests-1142,psf/requests,1,1,0,0,False
psf__requests-6028,psf/requests,1,1,0,0,False
psf__requests-2931,psf/requests,1,1,0,0,False
psf__requests-1766,psf/requests,1,1,0,0,False
psf__requests-2317,psf/requests,1,1,0,0,False
pydata__xarray-6744,pydata/xarray,1,1,0,0,False
pydata__xarray-2905,pydata/xarray,1,1,0,0,False
pydata__xarray-3095,pydata/xarray,2,2,0,0,False
pydata__xarray-4629,pydata/xarray,1,1,0,0,False
pydata__xarray-4695,pydata/xarray,1,1,0,0,False
pydata__xarray-3993,pydata/xarray,2,2,0,0,False
pydata__xarray-7233,pydata/xarray,1,1,0,0,False
pydata__xarray-6599,pydata/xarray,1,1,0,0,False
pydata__xarray-7229,pydata/xarray,1,1,0,0,False
pydata__xarray-4966,pydata/xarray,1,1,0,0,False
pydata__xarray-6992,pydata/xarray,2,2,0,0,False
pydata__xarray-6721,pydata/xarray,1,1,0,0,False
pydata__xarray-6461,pydata/xarray,1,1,0,0,False
pydata__xarray-4075,pydata/xarray,1,1,0,0,False
pydata__xarray-4356,pydata/xarray,1,1,0,0,False
pydata__xarray-4687,pydata/xarray,1,1,0,0,False
pydata__xarray-7393,pydata/xarray,1,1,0,0,False
pylint-dev__pylint-6903,pylint-dev/pylint,1,1,0,0,False
pylint-dev__pylint-4970,pylint-dev/pylint,1,1,0,0,False
pylint-dev__pylint-4551,pylint-dev/pylint,4,4,0,0,False
pylint-dev__pylint-4604,pylint-dev/pylint,2,2,0,0,False
pylint-dev__pylint-8898,pylint-dev/pylint,3,3,0,0,False
pytest-dev__pytest-10081,pytest-dev/pytest,1,1,0,0,False
pytest-dev__pytest-5809,pytest-dev/pytest,1,1,0,0,False
pytest-dev__pytest-10051,pytest-dev/pytest,1,1,0,0,False
pytest-dev__pytest-5631,pytest-dev/pytest,1,1,0,0,False
pytest-dev__pytest-10356,pytest-dev/pytest,1,1,0,0,False
pytest-dev__pytest-7571,pytest-dev/pytest,1,1,0,0,False
pytest-dev__pytest-7490,pytest-dev/pytest,1,1,0,0,False
pytest-dev__pytest-7205,pytest-dev/pytest,1,1,0,0,False
pytest-dev__pytest-7324,pytest-dev/pytest,1,1,0,0,False
pytest-dev__pytest-7432,pytest-dev/pytest,1,1,0,0,False
pytest-dev__pytest-5262,pytest-dev/pytest,1,1,0,0,False
instance_qutebrowser__qutebrowser-fd6790fe8c02b144ab2464f1fc8ab3d02ce3c476-v2ef375ac784985212b1805e1d0431dc8f1b3c171,qutebrowser/qutebrowser,2,2,0,0,False
instance_qutebrowser__qutebrowser-16de05407111ddd82fa12e54389d532362489da9-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,qutebrowser/qutebrowser,1,1,0,0,False
instance_qutebrowser__qutebrowser-ec2dcfce9eee9f808efc17a1b99e227fc4421dea-v5149fcda2a9a6fe1d35dfed1bade1444a11ef271,qutebrowser/qutebrowser,1,1,0,0,False
instance_qutebrowser__qutebrowser-473a15f7908f2bb6d670b0e908ab34a28d8cf7e2-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,qutebrowser/qutebrowser,1,1,0,0,False
instance_qutebrowser__qutebrowser-85b867fe8d4378c8e371f055c70452f546055854-v2ef375ac784985212b1805e1d0431dc8f1b3c171,qutebrowser/qutebrowser,2,2,0,0,False
instance_qutebrowser__qutebrowser-0fc6d1109d041c69a68a896db87cf1b8c194cef7-v2ef375ac784985212b1805e1d0431dc8f1b3c171,qutebrowser/qutebrowser,1,1,0,1,False
instance_qutebrowser__qutebrowser-3fd8e12949b8feda401930574facf09dd4180bba,qutebrowser/qutebrowser,5,5,0,0,False
instance_qutebrowser__qutebrowser-233cb1cc48635130e5602549856a6fa4ab4c087f-v35616345bb8052ea303186706cec663146f0f184,qutebrowser/qutebrowser,3,3,0,0,False
instance_qutebrowser__qutebrowser-ff1c025ad3210506fc76e1f604d8c8c27637d88e-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,qutebrowser/qutebrowser,2,2,0,0,False
instance_qutebrowser__qutebrowser-2e961080a85d660148937ee8f0f6b3445a8f2c01-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,qutebrowser/qutebrowser,1,1,0,0,False
instance_qutebrowser__qutebrowser-2dd8966fdcf11972062c540b7a787e4d0de8d372-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,qutebrowser/qutebrowser,4,4,0,0,False
instance_qutebrowser__qutebrowser-52708364b5f91e198defb022d1a5b4b3ebd9b563-v2ef375ac784985212b1805e1d0431dc8f1b3c171,qutebrowser/qutebrowser,2,2,0,0,False
instance_qutebrowser__qutebrowser-bedc9f7fadf93f83d8dee95feeecb9922b6f063f-v2ef375ac784985212b1805e1d0431dc8f1b3c171,qutebrowser/qutebrowser,4,4,0,0,False
instance_qutebrowser__qutebrowser-f8e7fea0becae25ae20606f1422068137189fe9e,qutebrowser/qutebrowser,1,1,0,0,False
instance_qutebrowser__qutebrowser-8cd06741bb56cdca49f5cdc0542da97681154315-v5149fcda2a9a6fe1d35dfed1bade1444a11ef271,qutebrowser/qutebrowser,1,1,0,0,False
instance_qutebrowser__qutebrowser-46e6839e21d9ff72abb6c5d49d5abaa5a8da8a81-v2ef375ac784985212b1805e1d0431dc8f1b3c171,qutebrowser/qutebrowser,5,5,0,0,False
scikit-learn__scikit-learn-15100,scikit-learn/scikit-learn,1,1,0,0,False
scikit-learn__scikit-learn-25747,scikit-learn/scikit-learn,1,1,0,0,False
scikit-learn__scikit-learn-14629,scikit-learn/scikit-learn,1,1,0,0,False
scikit-learn__scikit-learn-13779,scikit-learn/scikit-learn,1,1,0,0,False
scikit-learn__scikit-learn-14894,scikit-learn/scikit-learn,1,1,0,0,False
scikit-learn__scikit-learn-13124,scikit-learn/scikit-learn,1,1,0,0,False
scikit-learn__scikit-learn-11578,scikit-learn/scikit-learn,1,1,0,0,False
scikit-learn__scikit-learn-9288,scikit-learn/scikit-learn,1,1,0,0,False
scikit-learn__scikit-learn-25973,scikit-learn/scikit-learn,1,1,0,0,False
scikit-learn__scikit-learn-13142,scikit-learn/scikit-learn,1,1,0,0,False
scikit-learn__scikit-learn-14087,scikit-learn/scikit-learn,1,1,0,0,False
scikit-learn__scikit-learn-10908,scikit-learn/scikit-learn,1,1,0,0,False
scikit-learn__scikit-learn-14141,scikit-learn/scikit-learn,1,1,0,0,False
scikit-learn__scikit-learn-25232,scikit-learn/scikit-learn,1,1,0,0,False
scikit-learn__scikit-learn-26194,scikit-learn/scikit-learn,1,1,0,0,False
scikit-learn__scikit-learn-25931,scikit-learn/scikit-learn,1,1,0,0,False
scikit-learn__scikit-learn-14983,scikit-learn/scikit-learn,1,1,0,0,False
scikit-learn__scikit-learn-10844,scikit-learn/scikit-learn,1,1,0,0,False
scikit-learn__scikit-learn-12973,scikit-learn/scikit-learn,1,1,0,0,False
scikit-learn__scikit-learn-13439,scikit-learn/scikit-learn,1,1,0,0,False
sphinx-doc__sphinx-9591,sphinx-doc/sphinx,1,1,0,0,False
sphinx-doc__sphinx-9320,sphinx-doc/sphinx,1,1,0,0,False
sphinx-doc__sphinx-9658,sphinx-doc/sphinx,1,1,0,0,False
sphinx-doc__sphinx-10614,sphinx-doc/sphinx,1,1,0,0,False
sphinx-doc__sphinx-11445,sphinx-doc/sphinx,1,1,0,0,False
sphinx-doc__sphinx-8595,sphinx-doc/sphinx,1,1,0,0,False
sphinx-doc__sphinx-10673,sphinx-doc/sphinx,3,3,0,0,False
sphinx-doc__sphinx-8120,sphinx-doc/sphinx,2,2,0,0,False
sphinx-doc__sphinx-8721,sphinx-doc/sphinx,1,1,0,0,False
sphinx-doc__sphinx-9281,sphinx-doc/sphinx,1,1,0,0,False
sphinx-doc__sphinx-8548,sphinx-doc/sphinx,2,2,0,0,False
sphinx-doc__sphinx-9698,sphinx-doc/sphinx,1,1,0,0,False
sphinx-doc__sphinx-11510,sphinx-doc/sphinx,1,1,0,0,False
sphinx-doc__sphinx-7910,sphinx-doc/sphinx,1,1,0,0,False
sphinx-doc__sphinx-9711,sphinx-doc/sphinx,1,1,0,0,False
sphinx-doc__sphinx-8638,sphinx-doc/sphinx,1,1,0,0,False
sphinx-doc__sphinx-7454,sphinx-doc/sphinx,1,1,0,0,False
sphinx-doc__sphinx-7462,sphinx-doc/sphinx,2,2,0,0,False
sphinx-doc__sphinx-9602,sphinx-doc/sphinx,1,1,0,0,False
sphinx-doc__sphinx-7748,sphinx-doc/sphinx,1,1,0,0,False
sympy__sympy-19637,sympy/sympy,1,1,0,0,False
sympy__sympy-13372,sympy/sympy,1,1,0,0,False
sympy__sympy-22456,sympy/sympy,1,1,0,0,False
sympy__sympy-13798,sympy/sympy,1,1,0,0,False
sympy__sympy-12096,sympy/sympy,1,1,0,0,False
sympy__sympy-19495,sympy/sympy,1,1,0,0,False
sympy__sympy-13031,sympy/sympy,1,1,0,0,False
sympy__sympy-22080,sympy/sympy,2,2,0,0,False
sympy__sympy-12419,sympy/sympy,1,1,0,0,False
sympy__sympy-21612,sympy/sympy,1,1,0,0,False
sympy__sympy-20428,sympy/sympy,1,1,0,0,False
sympy__sympy-20438,sympy/sympy,3,3,0,0,False
sympy__sympy-13757,sympy/sympy,1,1,0,0,False
sympy__sympy-15809,sympy/sympy,1,1,0,0,False
sympy__sympy-12481,sympy/sympy,1,1,0,0,False
sympy__sympy-18763,sympy/sympy,1,1,0,0,False
sympy__sympy-24539,sympy/sympy,1,1,0,0,False
sympy__sympy-17139,sympy/sympy,1,1,0,0,False
sympy__sympy-14711,sympy/sympy,1,1,0,0,False
sympy__sympy-14976,sympy/sympy,1,1,0,0,False
