source,method,family,n_pr,auc,ci_lo,ci_hi,rank
co_edited,oracle,reference,50,0.7393392857142858,,,1.0
co_edited,rrf_hops_issue_path,fusion,50,0.43589682539682534,,,2.0
co_edited,rrf_pprpl_issue_path,fusion,50,0.4229265873015873,,,3.0
co_edited,rrf_hops_path,fusion,50,0.3870039682539683,,,4.0
co_edited,rrf_ppr_issue_path,fusion,50,0.3841468253968253,,,5.0
co_edited,bm25_issue,lexical,50,0.3328690476190477,,,6.0
co_edited,path_issue,lexical,50,0.3223253968253968,,,7.0
co_edited,bm25_seed,lexical,50,0.3166130952380952,,,8.0
co_edited,rrf_ppr_issue,fusion,50,0.300859126984127,,,9.0
co_edited,hops_lines,structure,50,0.28141666666666665,,,10.0
co_edited,ppr_und_pl,structure,50,0.2614285714285714,,,11.0
co_edited,bfs_und,structure,50,0.2603988095238095,,,12.0
co_edited,ppr_und,structure,50,0.25820238095238096,,,13.0
co_edited,path_seed,lexical,50,0.24291865079365077,,,14.0
co_edited,bm25_issue_pl,lexical,50,0.20889285714285716,,,15.0
co_edited,ppr_out_pl,structure,50,0.20199603174603173,,,16.0
co_edited,ppr_out,structure,50,0.20199007936507937,,,17.0
co_edited,same_dir,reference,50,0.2009047619047619,,,18.0
co_edited,ppr_in,structure,50,0.16537499999999997,,,19.0
co_edited,pagerank,global,50,0.15917261904761904,,,20.0
co_edited,ppr_in_pl,structure,50,0.15750595238095239,,,21.0
co_edited,indegree,global,50,0.15525992063492064,,,22.0
co_edited,random,reference,50,0.10366071428571429,,,23.0
co_edited,bm25_issue_rd,redacted,50,0.330827380952381,,,
co_edited,bm25_issue_rdp,redacted,50,0.32724404761904763,,,
co_edited,bm25_issue_rds,redacted,50,0.32325000000000004,,,
co_edited,path_issue_rd,redacted,50,0.2973611111111111,,,
co_edited,path_issue_rdp,redacted,50,0.2717519841269841,,,
co_edited,path_issue_rds,redacted,50,0.2679325396825397,,,
co_edited,rrf_hops_path_rd,redacted,50,0.36889285714285713,,,
co_edited,rrf_hops_path_rdp,redacted,50,0.35073214285714294,,,
co_edited,rrf_hops_path_rds,redacted,50,0.3467499999999999,,,
co_edited,rrf_hops_pathseed,fusion-control,50,0.3087956349206349,,,
co_edited,rrf_pprpl_issue_path_k10,rrf-k,50,0.4205099206349206,,,
co_edited,rrf_pprpl_issue_path_k200,rrf-k,50,0.3891289682539682,,,
co_edited,rrf_pprpl_issue_path_rd,redacted,50,0.4091666666666666,,,
co_edited,rrf_pprpl_issue_path_rdp,redacted,50,0.39067857142857143,,,
co_edited,rrf_pprpl_issue_path_rds,redacted,50,0.3841944444444444,,,
co_edited,rrf_pprpl_seedpath,fusion-control,50,0.3348710317460318,,,
gold,oracle,reference,108,0.6941345820735703,,,1.0
gold,rrf_hops_issue_path,fusion,108,0.37914243262891567,,,2.0
gold,rrf_pprpl_issue_path,fusion,108,0.3702065913170824,,,3.0
gold,rrf_ppr_issue_path,fusion,108,0.34678499582703454,,,4.0
gold,rrf_hops_path,fusion,108,0.34527199292782956,,,5.0
gold,rrf_ppr_issue,fusion,108,0.2863294569370958,,,6.0
gold,bm25_issue,lexical,108,0.28256005527210887,,,7.0
gold,bm25_seed,lexical,108,0.28209910661795584,,,8.0
gold,path_issue,lexical,108,0.28020012409542006,,,9.0
gold,hops_lines,structure,108,0.27488496459540607,,,10.0
gold,ppr_und_pl,structure,108,0.261228882563828,,,11.0
gold,ppr_und,structure,108,0.2592513332493491,,,12.0
gold,bfs_und,structure,108,0.25492689327531426,,,13.0
gold,path_seed,lexical,108,0.24411591089625148,,,14.0
gold,ppr_out_pl,structure,108,0.22998402003548332,,,15.0
gold,ppr_out,structure,108,0.22409936447572854,,,16.0
gold,same_dir,reference,108,0.20415118207776933,,,17.0
gold,pagerank,global,108,0.18021430080519862,,,18.0
gold,indegree,global,108,0.1741085229101929,,,19.0
gold,ppr_in,structure,108,0.16886907605120238,,,20.0
gold,bm25_issue_pl,lexical,108,0.1644711422377593,,,21.0
gold,ppr_in_pl,structure,108,0.1509455375514403,,,22.0
gold,random,reference,108,0.10337780450400326,,,23.0
gold,bm25_issue_rd,redacted,108,0.28241537934618294,,,
gold,bm25_issue_rdp,redacted,108,0.2809541524943311,,,
gold,bm25_issue_rds,redacted,108,0.2800755070546737,,,
gold,path_issue_rd,redacted,108,0.2717441410077405,,,
gold,path_issue_rdp,redacted,108,0.259469290867067,,,
gold,path_issue_rds,redacted,108,0.25466346280024355,,,
gold,rrf_hops_path_rd,redacted,108,0.3330248094608214,,,
gold,rrf_hops_path_rdp,redacted,108,0.33102804438390576,,,
gold,rrf_hops_path_rds,redacted,108,0.3267043031847512,,,
gold,rrf_hops_pathseed,fusion-control,108,0.3118259873393801,,,
gold,rrf_pprpl_issue_path_k10,rrf-k,108,0.36421870079050145,,,
gold,rrf_pprpl_issue_path_k200,rrf-k,108,0.3548637323370706,,,
gold,rrf_pprpl_issue_path_rd,redacted,108,0.36571364380371485,,,
gold,rrf_pprpl_issue_path_rdp,redacted,108,0.3585125882271633,,,
gold,rrf_pprpl_issue_path_rds,redacted,108,0.3549749468974833,,,
gold,rrf_pprpl_seedpath,fusion-control,108,0.32633018851830864,,,
gold_readonly,oracle,reference,85,0.6991421568627451,,,1.0
gold_readonly,rrf_hops_issue_path,fusion,85,0.34688219732337383,,,2.0
gold_readonly,rrf_pprpl_issue_path,fusion,85,0.3406179971988796,,,3.0
gold_readonly,rrf_ppr_issue_path,fusion,85,0.3250780034235917,,,4.0
gold_readonly,rrf_hops_path,fusion,85,0.31694911297852474,,,5.0
gold_readonly,rrf_ppr_issue,fusion,85,0.2806442577030812,,,6.0
gold_readonly,hops_lines,structure,85,0.2739799253034547,,,7.0
gold_readonly,ppr_und_pl,structure,85,0.267202964519141,,,8.0
gold_readonly,ppr_und,structure,85,0.261234827264239,,,9.0
gold_readonly,bm25_issue,lexical,85,0.2590686274509804,,,10.0
gold_readonly,bfs_und,structure,85,0.25078664799253036,,,11.0
gold_readonly,ppr_out_pl,structure,85,0.24860410830999066,,,12.0
gold_readonly,path_issue,lexical,85,0.24814133986928105,,,13.0
gold_readonly,bm25_seed,lexical,85,0.2469339402427638,,,14.0
gold_readonly,path_seed,lexical,85,0.2465950824774354,,,15.0
gold_readonly,ppr_out,structure,85,0.23688025210084032,,,16.0
gold_readonly,same_dir,reference,85,0.20670576563958917,,,17.0
gold_readonly,pagerank,global,85,0.19245098039215688,,,18.0
gold_readonly,indegree,global,85,0.19130991285403048,,,19.0
gold_readonly,ppr_in,structure,85,0.1678408029878618,,,20.0
gold_readonly,bm25_issue_pl,lexical,85,0.1556372549019608,,,21.0
gold_readonly,ppr_in_pl,structure,85,0.14928863211951449,,,22.0
gold_readonly,random,reference,85,0.10425906473700593,,,23.0
gold_readonly,bm25_issue_rd,redacted,85,0.2593137254901961,,,
gold_readonly,bm25_issue_rdp,redacted,85,0.2583946078431373,,,
gold_readonly,bm25_issue_rds,redacted,85,0.2558210784313726,,,
gold_readonly,path_issue_rd,redacted,85,0.24757897603485837,,,
gold_readonly,path_issue_rdp,redacted,85,0.2387037037037037,,,
gold_readonly,path_issue_rds,redacted,85,0.23506127450980394,,,
gold_readonly,rrf_hops_path_rd,redacted,85,0.310218253968254,,,
gold_readonly,rrf_hops_path_rdp,redacted,85,0.3124684873949579,,,
gold_readonly,rrf_hops_path_rds,redacted,85,0.30737103174603175,,,
gold_readonly,rrf_hops_pathseed,fusion-control,85,0.3122611266728914,,,
gold_readonly,rrf_pprpl_issue_path_k10,rrf-k,85,0.33742471988795514,,,
gold_readonly,rrf_pprpl_issue_path_k200,rrf-k,85,0.3316248443821973,,,
gold_readonly,rrf_pprpl_issue_path_rd,redacted,85,0.3400774198568316,,,
gold_readonly,rrf_pprpl_issue_path_rdp,redacted,85,0.33449735449735446,,,
gold_readonly,rrf_pprpl_issue_path_rds,redacted,85,0.33142954403983815,,,
gold_readonly,rrf_pprpl_seedpath,fusion-control,85,0.3177773887332711,,,
symbol,oracle,reference,94,0.7307442938759429,,,1.0
symbol,ppr_und_pl,structure,94,0.35155669537318474,,,2.0
symbol,rrf_pprpl_issue_path,fusion,94,0.34858050489699427,,,3.0
symbol,rrf_hops_issue_path,fusion,94,0.3432612386956358,,,4.0
symbol,ppr_out_pl,structure,94,0.339023626590116,,,5.0
symbol,rrf_hops_path,fusion,94,0.33827606101542274,,,6.0
symbol,hops_lines,structure,94,0.30938801643588876,,,7.0
symbol,ppr_out,structure,94,0.3053281783556607,,,8.0
symbol,ppr_und,structure,94,0.30169917257683215,,,9.0
symbol,rrf_ppr_issue_path,fusion,94,0.29583591316747343,,,10.0
symbol,bfs_und,structure,94,0.2735279114600923,,,11.0
symbol,pagerank,global,94,0.26127434425306767,,,12.0
symbol,rrf_ppr_issue,fusion,94,0.26011869582348307,,,13.0
symbol,indegree,global,94,0.25188275122893916,,,14.0
symbol,path_issue,lexical,94,0.2280290184434688,,,15.0
symbol,bm25_seed,lexical,94,0.21930548519644263,,,16.0
symbol,bm25_issue,lexical,94,0.21664749380839804,,,17.0
symbol,path_seed,lexical,94,0.21427779888551168,,,18.0
symbol,bm25_issue_pl,lexical,94,0.17121995665878645,,,19.0
symbol,same_dir,reference,94,0.16722871871364778,,,20.0
symbol,ppr_in,structure,94,0.10292330387631805,,,21.0
symbol,ppr_in_pl,structure,94,0.09702169875042214,,,22.0
symbol,random,reference,94,0.09467639498667868,,,23.0
symbol,bm25_issue_rd,redacted,94,0.21589394770910728,,,
symbol,bm25_issue_rdp,redacted,94,0.21369979877293704,,,
symbol,bm25_issue_rds,redacted,94,0.21061120961386917,,,
symbol,path_issue_rd,redacted,94,0.2160208872753199,,,
symbol,path_issue_rdp,redacted,94,0.1941969562647754,,,
symbol,path_issue_rds,redacted,94,0.19079814205035836,,,
symbol,rrf_hops_path_rd,redacted,94,0.32829081297609664,,,
symbol,rrf_hops_path_rdp,redacted,94,0.3118226176404368,,,
symbol,rrf_hops_path_rds,redacted,94,0.30870424312356937,,,
symbol,rrf_hops_pathseed,fusion-control,94,0.3199535512589591,,,
