repo_key,name,url,pinned_sha,licence,nontest_py_files,python_share,block,eligible_tasks,sampled_tasks,description,archived,size_tercile,domain
aiogram/aiogram,aiogram/aiogram,https://github.com/aiogram/aiogram,20d36a2ab8a21eeff2f360f73b14b99d5e397762,MIT,602,1.0,fresh,18,18,aiogram is a modern and fully asynchronous framework for Telegram Bot API written in Python using asyncio,False,large,web/API
astropy/astropy,astropy/astropy,https://github.com/astropy/astropy,92b38aebbba6422890f1023031558f6df738e2a5,BSD-3-Clause,505,0.8811,swebench,100,20,Astronomy and astrophysics core library,False,large,scientific/numeric
astropy/astroquery,astropy/astroquery,https://github.com/astropy/astroquery,f3f44261e811f690690eed8c2073d0a91e9eca81,BSD-3-Clause,249,1.0,fresh,12,12,Functions and classes to access online data resources. Maintainers: @keflavich and @bsipocz,False,medium,scientific/numeric
astropy/photutils,astropy/photutils,https://github.com/astropy/photutils,3d06161529624d7d3e886bb46d22aa99dcd015b5,BSD-3-Clause,94,1.0,fresh,12,12,Astropy package for source detection and photometry. Maintainer: @larrybradley,False,small,scientific/numeric
aws-cloudformation/cfn-lint,aws-cloudformation/cfn-lint,https://github.com/aws-cloudformation/cfn-lint,89ea045335200022a08aefa933beaa9b4c73e10d,MIT-0,2091,0.9986,fresh,94,20,CloudFormation Linter,False,large,developer tools/testing
azure/azure-cli,Azure/azure-cli,https://github.com/Azure/azure-cli,85c0e4c8fb21e26a4984cad3b21a5e22a6a8b92b,MIT,631,0.9959,fresh,10,10,Azure Command-Line Interface,False,large,CLI/infrastructure
beeware/briefcase,beeware/briefcase,https://github.com/beeware/briefcase,589adce8a799c2afd2e819dfc0730d0bdb03a145,BSD-3-Clause,76,1.0,fresh,54,20,Tools to support converting a Python project into a standalone native application.,False,small,developer tools/testing
borgbackup/borg,borgbackup/borg,https://github.com/borgbackup/borg,5a87b41e370b2f18b7b9d75a3cca98e8a32768d2,BSD License,147,0.9738,fresh,23,20,Deduplicating archiver with compression and authenticated encryption.,False,medium,CLI/infrastructure
bridgecrewio/checkov,bridgecrewio/checkov,https://github.com/bridgecrewio/checkov,342c86dd97b8b75a077007586c8bd91abe962bfe,Apache-2.0,2491,0.9492,fresh,38,20,"Prevent cloud misconfigurations and find vulnerabilities during build-time in infrastructure as code, container images and open source packages with Checkov by Bridgecrew.",False,large,developer tools/testing
canonical/charmcraft,canonical/charmcraft,https://github.com/canonical/charmcraft,389f8ca582592c9a65a19ffa0d522a677174f094,Apache-2.0,81,0.9815,fresh,21,20,"Collaborate, build and publish charmed operators for Kubernetes, Linux and Windows.",False,small,CLI/infrastructure
cloud-custodian/cloud-custodian,cloud-custodian/cloud-custodian,https://github.com/cloud-custodian/cloud-custodian,9a38db80b0ad2947e0e6a5dcc67577872f2524bc,Apache-2.0,626,0.994,fresh,11,11,"Rules engine for cloud security, cost optimization, and governance, DSL in yaml for policies to query, filter, and take actions on resources",False,large,CLI/infrastructure
conan-io/conan,conan-io/conan,https://github.com/conan-io/conan,f4513c503371e5c5c6ba7ac27603bcc7cb0b89ff,MIT,363,1.0,fresh,223,20,Conan - The open-source C and C++ package manager,False,large,developer tools/testing
dask/dask,dask/dask,https://github.com/dask/dask,0e1418f02576c81d80c96e9fbed31257345a9e5f,BSD-3-Clause,183,0.9957,fresh,72,20,Parallel computing with task scheduling,False,medium,data/ML
deepset-ai/haystack,deepset-ai/haystack,https://github.com/deepset-ai/haystack,41b7ed4f472b7c26cc6cb879e8fda1197b422f49,Apache-2.0,238,0.9995,fresh,97,20,"Open-source AI orchestration framework for building context-engineered, production-ready LLM applications. Design modular pipelines and agent workflows with explicit control over retrieval, routing, memory, and generation. Built for scalable agents, RAG, multimodal applications, semantic search, and conversational systems.",False,medium,data/ML
django-json-api/django-rest-framework-json-api,django-json-api/django-rest-framework-json-api,https://github.com/django-json-api/django-rest-framework-json-api,142c76edadf7bf4d6c6692da307c03355103b1f6,BSD-2-Clause,50,1.0,fresh,11,11,JSON:API support for Django REST framework,False,small,web/API
django/django,django/django,https://github.com/django/django,4a72da71001f154ea60906a2f74898d32b7322a7,BSD-3-Clause,862,0.9739,swebench,840,20,The Web framework for perfectionists with deadlines.,False,large,web/API
docker/docker-py,docker/docker-py,https://github.com/docker/docker-py,6ceb08273c157cbab7b5c77bd71e7389f1a6acc5,Apache-2.0,69,0.9952,fresh,11,11,A Python library for the Docker Engine API,False,small,CLI/infrastructure
dpkp/kafka-python,dpkp/kafka-python,https://github.com/dpkp/kafka-python,48dd596462be5fc7cda004c85b26db823c184a39,Apache-2.0,120,1.0,fresh,11,11,Python client for Apache Kafka,False,medium,CLI/infrastructure
dwavesystems/dimod,dwavesystems/dimod,https://github.com/dwavesystems/dimod,f67f48677202adffea7a5484e021e2599177b238,Apache-2.0,56,0.8034,fresh,17,17,A shared API for QUBO/Ising samplers.,False,small,scientific/numeric
elastic/rally,elastic/rally,https://github.com/elastic/rally,6915655f2ebf11311db54ebd2014c942110e77e2,Apache-2.0,63,0.9707,fresh,15,15,Macrobenchmarking framework for Elasticsearch,False,small,developer tools/testing
ethereum/web3.py,ethereum/web3.py,https://github.com/ethereum/web3.py,0b6239f89c934d3c81d18d2c39747f1fd21cab88,MIT,172,0.9982,fresh,14,14,A python interface for interacting with the Ethereum blockchain and ecosystem.,False,medium,web/API
facelessuser/pymdown-extensions,facelessuser/pymdown-extensions,https://github.com/facelessuser/pymdown-extensions,fbf4bf22da3bc864f24b4ee6a2c05b145fb6c304,MIT License,52,0.921,fresh,16,16,Extensions for Python Markdown,False,small,other
falconry/falcon,falconry/falcon,https://github.com/falconry/falcon,c8e7d1dd5af65939d30d88a0fbc6aa2f2c920935,Apache-2.0,154,0.9926,fresh,20,20,"The no-magic web API and microservices framework for Python developers, with a focus on reliability and performance at scale.",False,medium,web/API
fatal1ty/mashumaro,Fatal1ty/mashumaro,https://github.com/Fatal1ty/mashumaro,c076075516af07c0bb552b1a388019380f8d76ae,Apache-2.0,76,0.9981,fresh,14,14,Fast and well tested serialization library,False,small,other
fitbenchmarking/fitbenchmarking,fitbenchmarking/fitbenchmarking,https://github.com/fitbenchmarking/fitbenchmarking,82716374bf37f0fe0e6f6a5fc5cc14fa7d036976,BSD-3-Clause,121,0.9175,fresh,22,20,Tool for comparing the run time and accuracy of minimizers on fit benchmarking problems,False,medium,scientific/numeric
fonttools/fonttools,fonttools/fonttools,https://github.com/fonttools/fonttools,7b50bde2ee3ac6c9e1936ea8c5351ffd84e4606c,MIT,357,1.0,fresh,15,15,A library to manipulate font files from Python.,False,large,other
frictionlessdata/frictionless-py,frictionlessdata/frictionless-py,https://github.com/frictionlessdata/frictionless-py,33bfb1d99595667202aaa6fa01e54f4865e4c2fa,MIT,249,0.9503,fresh,21,20,"Data management framework for Python that provides functionality to describe, extract, validate, and transform tabular data",False,medium,data/ML
genericmappingtools/pygmt,GenericMappingTools/pygmt,https://github.com/GenericMappingTools/pygmt,1067fa316b214d470f26f4affba743a4835a53c8,BSD-3-Clause,167,0.9935,fresh,13,13,A Python interface for the Generic Mapping Tools.,False,medium,scientific/numeric
getsentry/sentry-python,getsentry/sentry-python,https://github.com/getsentry/sentry-python,2c3776c582a23b6936c76ef53008bf63f861b6fd,MIT,155,0.9942,fresh,15,15,The official Python SDK for Sentry.io,False,medium,developer tools/testing
google/flax,google/flax,https://github.com/google/flax,32ad6c57a6f2c09080e9746b903addcb5c2b226c,Apache-2.0,219,0.9942,fresh,14,14,Flax is a neural network library for JAX that is designed for flexibility.,False,medium,data/ML
google/mobly,google/mobly,https://github.com/google/mobly,c6145d2d18b6594420e5fa2ca95123d38e4b10ff,Apache-2.0,50,1.0,fresh,10,10,E2E test framework for tests with complex environment requirements.,False,small,developer tools/testing
googleapis/python-storage,googleapis/python-storage,https://github.com/googleapis/python-storage,6aef9b7bf17c3ff50518e90c688f1b08a1b90f6d,Apache-2.0,160,0.9556,fresh,22,20,This library has moved to https://github.com/googleapis/google-cloud-python/tree/main/packages/google-cloud-storage,True,medium,web/API
hgrecco/pint,hgrecco/pint,https://github.com/hgrecco/pint,16775fdc99688c4afd7954f51e1d61b9a491ab09,BSD,72,1.0,fresh,33,20,Operate and manipulate physical quantities in Python,False,small,scientific/numeric
ibis-project/ibis,ibis-project/ibis,https://github.com/ibis-project/ibis,8641087cbfdb847bf5f1e9e3fd920be55bf659c7,Apache-2.0,195,0.9429,fresh,10,10,the portable Python dataframe library,False,medium,data/ML
instructlab/instructlab,instructlab/instructlab,https://github.com/instructlab/instructlab,2fffc620651d6d22c3279a1a6aac302146b97036,Apache-2.0,108,0.8736,fresh,42,20,InstructLab Core package.  Use this to chat with a model and execute the InstructLab workflow to train a model using custom taxonomy data.,True,small,data/ML
ipython/ipython,ipython/ipython,https://github.com/ipython/ipython,1460cef36a6e15915af6a2aa57f3384cc05693bb,BSD-3-Clause,183,0.9903,fresh,24,20,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website, documentation builds, etc.",False,medium,developer tools/testing
iterative/dvc,iterative/dvc,https://github.com/iterative/dvc,29386a0dbba672881f4a729973ebc5fd95417cd3,Apache-2.0,257,1.0,fresh,79,20,🦉 Data Versioning and ML Experiments,False,large,data/ML
jackdewinter/pymarkdown,jackdewinter/pymarkdown,https://github.com/jackdewinter/pymarkdown,cee1f3f5575f73b671deb4374c6e7a263fa40df9,MIT,203,1.0,fresh,19,19,,False,medium,developer tools/testing
jlowin/fastmcp,jlowin/fastmcp,https://github.com/jlowin/fastmcp,3f24e401fd16069c620c7fff21e897bda7473909,Apache-2.0,157,1.0,fresh,21,20,"🚀 The fast, Pythonic way to build MCP servers and clients.",False,medium,web/API
joke2k/faker,joke2k/faker,https://github.com/joke2k/faker,73efc82d92951c5245ff25c824f29a16d040be7b,MIT,698,0.9999,fresh,41,20,Faker is a Python package that generates fake data for you.,False,large,other
kedro-org/kedro,kedro-org/kedro,https://github.com/kedro-org/kedro,94c35e92d00b621f4477967366d04af2be21facd,Apache License 2.0,91,0.9772,fresh,35,20,"Kedro is a toolbox for production-ready data science. It uses software engineering best practices to help you create data engineering and data science pipelines that are reproducible, maintainable, and modular.",False,small,data/ML
keras-team/keras,keras-team/keras,https://github.com/keras-team/keras,d865f5f0f2b7862afb96a4bf3dabdd0d464e5da9,Apache-2.0,637,0.9986,fresh,44,20,Deep Learning for humans,False,large,data/ML
kozea/weasyprint,Kozea/WeasyPrint,https://github.com/Kozea/WeasyPrint,121e6b37f9ea8eb24ea1061b517cb1c783a8b588,BSD-3-Clause,66,1.0,fresh,18,18,The awesome document factory,False,small,other
linkml/linkml,linkml/linkml,https://github.com/linkml/linkml,656d1719297b2a394273db13262ba76b1e0be118,Apache-2.0,111,0.9907,fresh,10,10,Linked Open Data Modeling Language,False,small,other
marcosschroh/dataclasses-avroschema,marcosschroh/dataclasses-avroschema,https://github.com/marcosschroh/dataclasses-avroschema,2bec52e49a789dfa90d5f4f0448498632cba33a6,MIT,51,1.0,fresh,11,11,"Generate avro schemas from python dataclasses, Pydantic models and Faust Records. Code generation from avro schemas. Serialize/Deserialize python instances with avro schemas.",False,small,other
materials-consortia/optimade-python-tools,Materials-Consortia/optimade-python-tools,https://github.com/Materials-Consortia/optimade-python-tools,98cb352464082019f10b6c7b0659c53f6240fbbb,MIT,78,0.9774,fresh,11,11,Tools for implementing and consuming OPTIMADE APIs in Python,False,small,scientific/numeric
matplotlib/matplotlib,matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,d3491dc8151d87d46b0b29b859eee0d972292bb0,see LICENSE/LICENSE;LICENSE/LICENSE_AMSFONTS;LICENSE/LICENSE_BAKOMA;LICENSE/LICENSE_CARLOGO;LICENSE/LICENSE_COLORBREWER;LICENSE/LICENSE_COURIERTEN;LICENSE/LICENSE_JSXTOOLS_RESIZE_OBSERVER;LICENSE/LICENSE_LAST_RESORT_FONT;LICENSE/LICENSE_QT4_EDITOR;LICENSE/LICENSE_SOLARIZED;LICENSE/LICENSE_STIX;LICENSE/LICENSE_YORICK,775,0.9137,swebench,277,20,matplotlib: plotting with Python,False,large,scientific/numeric
matrix-org/synapse,matrix-org/synapse,https://github.com/matrix-org/synapse,a962c5a56de69c03848646f25991fabe6e4c39d1,Apache-2.0,524,0.9636,fresh,14,14,Synapse: Matrix homeserver written in Python/Twisted.,True,large,web/API
mikedh/trimesh,mikedh/trimesh,https://github.com/mikedh/trimesh,156e6c4b236fada0ba236f07365ab41d538264d7,MIT,134,0.9954,fresh,18,18,Python library for loading and using triangular meshes.,False,medium,scientific/numeric
missionpinball/mpf,missionpinball/mpf,https://github.com/missionpinball/mpf,c43bf1badfedd961d324af3199ea586438102ca3,MIT,267,1.0,fresh,10,10,Mission Pinball Framework: Open source software to run a real pinball machine.,False,large,other
