repo_key,sha,nodes,edges,clumps,files_in_loops,unresolved_internal,internal_statements,parse_failures,read_failures,skipped_non_identifier,skipped_duplicate,build_seconds,is_pinned
ansible/ansible,6198c7377f545207218fe8eb2e3cfa9673ff8f5e,565,106,4,16,7,104,0,0,5,0,3.146,True
ansible/ansible,b6360dc5e068288dcdf9513dba732f1d823d1dfe,477,23,0,0,5,27,0,0,4,0,2.368,False
ansible/ansible,f05bcf569367904985c0e5796a4c14ce0b7d4be9,494,24,0,0,7,29,0,0,5,0,2.484,False
ansible/ansible,a5a13246ce02fd4c4ce997627b4f42152e59d288,496,24,0,0,7,29,0,0,5,0,2.029,False
ansible/ansible,270f109bb3af5c2498725b384f77ddc26da2fb73,495,24,0,0,7,29,0,0,5,0,2.633,False
ansible/ansible,016b7f71b10539c90ddbb3246f19f9cbf0e65428,510,25,0,0,8,31,0,0,6,0,2.705,False
ansible/ansible,8c044b846d1ea9e2a9c8870b1eaf6db3775e8e2c,481,23,0,0,3,25,0,0,5,0,2.484,False
ansible/ansible,38067860e271ce2f68d6d5d743d70286e5209623,510,22,0,0,9,29,0,0,6,0,2.465,False
ansible/ansible,e094d48b1bdd93cbc189f416543e810c19b2e561,552,106,4,17,7,110,0,0,5,0,2.146,False
ansible/ansible,7fff4086523678f3c6533da4c500f86f6fb47efa,498,24,0,0,7,29,0,0,6,0,1.683,False
ansible/ansible,92df66480613d0f3c1f11ab27146e3162d2a5bd5,480,8,0,0,7,14,0,0,5,0,1.659,False
ansible/ansible,e889b1063f60f6b99f5d031f7e903f7be5f58900,477,23,0,0,5,27,0,0,4,0,1.994,False
ansible/ansible,e8ae7211dabbd07093f50d6dfb383da3bb14f13d,494,24,0,0,7,29,0,0,5,0,1.966,False
ansible/ansible,5ee81338fcf7adbc1a8eda26dd8105a07825cb08,5104,17,0,0,4,20,0,0,8,0,28.914,False
ansible/ansible,709484969c8a4ffd74b839a673431a8c5caa6457,477,23,0,0,5,27,0,0,4,0,1.376,False
ansible/ansible,3398c102b5c41d48d0cbc2d81f9c004f07ac3fcb,483,9,0,0,7,15,0,0,5,0,1.794,False
ansible/ansible,db2d5b09eff918e981c9e10787a5f2c500d1784f,5620,23,0,0,4,26,0,0,8,0,27.379,False
ansible/ansible,1503805b703787aba06111f67e7dc564e3420cad,480,8,0,0,7,14,0,0,5,0,1.474,False
ansible/ansible,f7234968d241d7171aadb1e873a67510753f3163,484,8,0,0,7,14,0,0,4,0,1.852,False
ansible/ansible,f533d46572113655a0a698beab4b38671744a458,489,23,0,0,5,27,0,0,4,0,1.823,False
ansible/ansible,5fa2d29c9a06baa8cc5d271c41e23b1f99b3814a,3515,1,0,0,5,5,0,0,6,0,17.089,False
facebookresearch/hydra,0ede84058e57a40260a93ae4f9abe08a572b23e0,205,412,6,43,14,430,0,0,27,0,0.639,True
facebookresearch/hydra,bba4a79bd3ef0cf5ef2f55106ef100243abea02d,163,312,3,22,14,323,0,0,24,0,0.195,False
facebookresearch/hydra,2039df435ecfd7e382ffa07ddfaccf6e3972ab62,188,351,3,34,14,369,0,0,25,0,0.429,False
facebookresearch/hydra,5198be6ab1fa7496dfbe879b7e41237e18c10a06,178,349,3,23,14,362,0,0,25,0,0.375,False
facebookresearch/hydra,d9990c5ecc1feb1a0d08a525503400b269ee2917,179,351,3,23,14,364,0,0,24,0,0.537,False
facebookresearch/hydra,32463accd068c4915161f0648b5e9da4c9ef117e,144,270,3,12,14,280,0,0,18,0,0.235,False
facebookresearch/hydra,3b5aa5d7d7e98acce42f29dbd8d70cdb4ccf30ec,180,353,3,24,14,365,0,0,25,0,0.401,False
facebookresearch/hydra,7afee0976f7507c3c1b607ebd129d3408b608fa2,145,275,3,12,12,284,0,0,16,0,0.292,False
facebookresearch/hydra,7e7832f72664b40ee04834ac8956e7146a3d37fb,180,352,3,24,14,364,0,0,25,0,0.395,False
facebookresearch/hydra,90dae30eb81460ac30f19d8ad29631800d35aea8,130,248,3,12,10,255,0,0,16,0,0.215,False
facebookresearch/hydra,de03d15a259999f2dc53d506a7de825f93cb5d78,180,352,3,24,14,364,0,0,25,0,0.272,False
facebookresearch/hydra,0ccf75f14db36bbedb8659102cc1b4b9bb32b8f2,188,352,3,34,14,370,0,0,25,0,0.41,False
facebookresearch/hydra,1d897e9f75bb47ddc65ef02e981fc6a2918fee0b,205,404,4,39,14,422,0,0,27,0,0.356,False
facebookresearch/hydra,00a9536a2b390f396d042dced697d499f5476cde,196,369,3,34,14,386,0,0,26,0,0.43,False
facebookresearch/hydra,d674cd2803e561ca25cbd7ced127d69d9f4f633b,190,370,3,34,14,388,0,0,26,0,0.234,False
facebookresearch/hydra,d217c86b9061bb502d00fa971b3ea15a70e3299b,184,355,3,24,14,367,0,0,25,0,0.253,False
facebookresearch/hydra,8c51854a7d87c25aa1f5e0dccb9bf621639a8dcd,129,243,3,12,10,250,0,0,16,0,0.242,False
facebookresearch/hydra,9544b25a1b40710310a3732a52e373b5ee11c242,112,200,1,8,6,203,0,0,14,0,0.274,False
facebookresearch/hydra,3043a42df4e01ed25bb2f5f1b551a02cef52e825,194,367,3,34,14,384,0,0,26,0,0.232,False
facebookresearch/hydra,56cb6d636201b9e832bdc90b72a45202172099df,184,355,3,24,14,367,0,0,25,0,0.674,False
facebookresearch/hydra,1df6e295301df0eef3dec9b1f5080c6344eeebf3,180,352,3,24,14,364,0,0,25,0,0.485,False
getmoto/moto,98ad497eb4de25943ceadabe7c2c5c73cc810e27,1204,3440,1,263,0,3491,0,0,0,0,6.304,True
getmoto/moto,a853fd714d133c9a9ca0479cb99537d9a39d85bf,848,2133,10,90,0,2198,0,0,0,0,3.67,False
getmoto/moto,31b971f94e86dfb8d35105e1e2fe53a6918b63fb,1188,3391,1,259,0,3439,0,0,0,0,5.807,False
