instance_id,repo_key,status,n_co_edited,n_new_files,n_symbol_files,names_tried,names_resolved_in_repo,jedi_errors,truncated,seconds
Project-MONAI__MONAI-1765,project-monai/monai,ok,2,0,6,302,101,0,False,0.9
Project-MONAI__MONAI-2530,project-monai/monai,ok,2,0,6,128,81,0,False,0.8
Project-MONAI__MONAI-3001,project-monai/monai,ok,1,0,1,75,17,0,False,0.6
Project-MONAI__MONAI-3107,project-monai/monai,ok,1,0,1,14,10,0,False,1.2
Project-MONAI__MONAI-3157,project-monai/monai,ok,4,0,11,298,222,0,False,2.8
Project-MONAI__MONAI-3619,project-monai/monai,ok,1,0,1,27,18,0,False,0.5
Project-MONAI__MONAI-4297,project-monai/monai,ok,1,0,1,13,9,0,False,0.3
Project-MONAI__MONAI-4689,project-monai/monai,ok,4,0,11,578,128,0,False,1.3
Project-MONAI__MONAI-5067,project-monai/monai,ok,1,0,2,45,14,0,False,1.2
Project-MONAI__MONAI-543,project-monai/monai,ok,3,0,3,139,50,0,False,0.7
Project-MONAI__MONAI-5473,project-monai/monai,ok,2,0,3,117,97,0,False,0.8
Project-MONAI__MONAI-5503,project-monai/monai,ok,2,0,2,59,17,0,False,0.5
Project-MONAI__MONAI-5506,project-monai/monai,ok,4,0,7,153,74,0,False,7.3
Project-MONAI__MONAI-5807,project-monai/monai,ok,3,0,3,191,93,0,False,1.4
Project-MONAI__MONAI-6139,project-monai/monai,ok,1,0,4,44,27,0,False,0.5
Project-MONAI__MONAI-648,project-monai/monai,ok,2,0,7,58,35,0,False,1.1
Project-MONAI__MONAI-6781,project-monai/monai,ok,1,0,3,105,76,0,False,3.4
Project-MONAI__MONAI-6910,project-monai/monai,ok,1,0,1,70,43,0,False,1.2
Project-MONAI__MONAI-7000,project-monai/monai,ok,2,0,11,47,54,0,False,1.1
Project-MONAI__MONAI-7163,project-monai/monai,ok,3,0,3,139,45,0,False,0.4
facebookresearch__hydra-1372,facebookresearch/hydra,ok,2,0,2,17,15,0,False,0.3
