instance_id,repo_key,n_edited,n_seeds,edited_not_in_graph,n_new_files,has_exec
instance_ansible__ansible-83909bfa22573777e3db5688773bda59721962ad-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,ansible/ansible,2,2,0,0,False
instance_ansible__ansible-415e08c2970757472314e515cb63a51ad825c45e-v7eee2454f617569fd6889f2211f75bc02a35f9f8,ansible/ansible,1,1,0,1,False
instance_ansible__ansible-5640093f1ca63fd6af231cc8a7fb7d40e1907b8c-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,ansible/ansible,4,4,0,0,False
instance_ansible__ansible-29aea9ff3466e4cd2ed00524b9e56738d568ce8b-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,ansible/ansible,2,2,0,0,False
instance_ansible__ansible-0fd88717c953b92ed8a50495d55e630eb5d59166-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,ansible/ansible,2,2,0,0,False
instance_ansible__ansible-a20a52701402a12f91396549df04ac55809f68e9-v1055803c3a812189a1133297f7f5468579283f86,ansible/ansible,1,1,0,0,False
instance_ansible__ansible-a7d2a4e03209cff1e97e59fd54bb2b05fdbdbec6-v0f01c69f1e2528b935359cfe578530722bca2c59,ansible/ansible,3,3,0,0,False
instance_ansible__ansible-6cc97447aac5816745278f3735af128afb255c81-v0f01c69f1e2528b935359cfe578530722bca2c59,ansible/ansible,7,7,0,0,False
instance_ansible__ansible-9142be2f6cabbe6597c9254c5bb9186d17036d55-v0f01c69f1e2528b935359cfe578530722bca2c59,ansible/ansible,1,1,0,0,False
instance_ansible__ansible-3b823d908e8a5d17674f8c26d337d3114b7493b1-v0f01c69f1e2528b935359cfe578530722bca2c59,ansible/ansible,6,6,0,0,False
instance_ansible__ansible-f8ef34672b961a95ec7282643679492862c688ec-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,ansible/ansible,6,6,0,0,False
instance_ansible__ansible-cd473dfb2fdbc97acf3293c134b21cbbcfa89ec3-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,ansible/ansible,1,1,0,0,False
instance_ansible__ansible-489156378c8e97374a75a544c7c9c2c0dd8146d1-v390e508d27db7a51eece36bb6d9698b63a5b638a,ansible/ansible,2,2,0,0,False
instance_ansible__ansible-3db08adbb1cc6aa9941be5e0fc810132c6e1fa4b-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,ansible/ansible,1,1,0,0,False
instance_ansible__ansible-f86c58e2d235d8b96029d102c71ee2dfafd57997-v0f01c69f1e2528b935359cfe578530722bca2c59,ansible/ansible,2,2,0,0,False
instance_ansible__ansible-77658704217d5f166404fc67997203c25381cb6e-v390e508d27db7a51eece36bb6d9698b63a5b638a,ansible/ansible,1,1,0,0,False
instance_ansible__ansible-1a4644ff15355fd696ac5b9d074a566a80fe7ca3-v30a923fb5c164d6cd18280c02422f75e611e8fb2,ansible/ansible,1,1,0,0,False
instance_ansible__ansible-0ea40e09d1b35bcb69ff4d9cecf3d0defa4b36e8-v30a923fb5c164d6cd18280c02422f75e611e8fb2,ansible/ansible,2,2,0,0,False
instance_ansible__ansible-f327e65d11bb905ed9f15996024f857a95592629-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,ansible/ansible,2,2,0,0,False
instance_ansible__ansible-5e88cd9972f10b66dd97e1ee684c910c6a2dd25e-v906c969b551b346ef54a2c0b41e04f632b7b73c2,ansible/ansible,0,0,0,1,False
facebookresearch__hydra-1733,facebookresearch/hydra,1,1,0,0,False
facebookresearch__hydra-1671,facebookresearch/hydra,1,1,0,0,False
facebookresearch__hydra-1404,facebookresearch/hydra,1,1,0,0,False
facebookresearch__hydra-1372,facebookresearch/hydra,2,2,0,0,False
facebookresearch__hydra-952,facebookresearch/hydra,1,1,0,0,False
facebookresearch__hydra-1458,facebookresearch/hydra,1,1,0,0,False
facebookresearch__hydra-892,facebookresearch/hydra,1,1,0,0,False
facebookresearch__hydra-1456,facebookresearch/hydra,2,2,0,0,False
facebookresearch__hydra-801,facebookresearch/hydra,3,3,0,0,False
facebookresearch__hydra-1450,facebookresearch/hydra,5,5,0,0,False
facebookresearch__hydra-1731,facebookresearch/hydra,1,1,0,0,False
facebookresearch__hydra-2290,facebookresearch/hydra,1,1,0,0,False
facebookresearch__hydra-2085,facebookresearch/hydra,5,5,0,0,False
facebookresearch__hydra-1915,facebookresearch/hydra,1,1,0,0,False
facebookresearch__hydra-1488,facebookresearch/hydra,1,1,0,0,False
facebookresearch__hydra-734,facebookresearch/hydra,4,4,0,0,False
facebookresearch__hydra-625,facebookresearch/hydra,2,2,0,0,False
facebookresearch__hydra-2062,facebookresearch/hydra,1,1,0,0,False
facebookresearch__hydra-1487,facebookresearch/hydra,2,2,0,0,False
facebookresearch__hydra-1422,facebookresearch/hydra,1,1,0,0,False
getmoto__moto-6716,getmoto/moto,1,1,0,0,False
getmoto__moto-7524,getmoto/moto,1,1,0,0,False
getmoto__moto-6755,getmoto/moto,1,1,0,0,False
getmoto__moto-6121,getmoto/moto,1,1,0,0,False
getmoto__moto-5486,getmoto/moto,1,1,0,0,False
getmoto__moto-6724,getmoto/moto,2,2,0,0,False
getmoto__moto-7580,getmoto/moto,1,1,0,0,False
getmoto__moto-6352,getmoto/moto,2,2,0,0,False
getmoto__moto-7105,getmoto/moto,1,1,0,0,False
getmoto__moto-5202,getmoto/moto,1,1,0,0,False
getmoto__moto-6919,getmoto/moto,2,2,0,0,False
getmoto__moto-6586,getmoto/moto,1,1,0,0,False
getmoto__moto-6578,getmoto/moto,2,2,0,0,False
getmoto__moto-6709,getmoto/moto,4,4,0,0,False
getmoto__moto-6444,getmoto/moto,2,2,0,0,False
getmoto__moto-5969,getmoto/moto,1,1,0,0,False
getmoto__moto-5968,getmoto/moto,3,3,0,0,False
getmoto__moto-5545,getmoto/moto,1,1,0,0,False
getmoto__moto-5752,getmoto/moto,1,1,0,0,False
getmoto__moto-6387,getmoto/moto,1,1,0,0,False
modin-project__modin-6648,modin-project/modin,5,5,0,0,False
modin-project__modin-6275,modin-project/modin,4,4,0,0,False
modin-project__modin-6798,modin-project/modin,1,1,0,0,False
modin-project__modin-6757,modin-project/modin,2,2,0,0,False
modin-project__modin-6823,modin-project/modin,2,2,0,0,False
modin-project__modin-6260,modin-project/modin,2,2,0,0,False
modin-project__modin-6992,modin-project/modin,3,3,0,0,False
modin-project__modin-7160,modin-project/modin,2,2,0,0,False
modin-project__modin-6673,modin-project/modin,8,8,0,0,False
modin-project__modin-7208,modin-project/modin,1,1,0,0,False
modin-project__modin-6381,modin-project/modin,1,1,0,0,False
modin-project__modin-5946,modin-project/modin,3,3,0,0,False
modin-project__modin-6370,modin-project/modin,2,2,0,0,False
modin-project__modin-6980,modin-project/modin,1,1,0,0,False
modin-project__modin-7189,modin-project/modin,1,1,0,0,False
modin-project__modin-7055,modin-project/modin,1,1,0,0,False
modin-project__modin-6969,modin-project/modin,2,2,0,0,False
modin-project__modin-6785,modin-project/modin,1,1,0,0,False
modin-project__modin-6941,modin-project/modin,2,2,0,0,False
modin-project__modin-6737,modin-project/modin,2,2,0,0,False
Project-MONAI__MONAI-5506,project-monai/monai,4,4,0,0,False
Project-MONAI__MONAI-4297,project-monai/monai,1,1,0,0,False
Project-MONAI__MONAI-1765,project-monai/monai,2,2,0,0,False
Project-MONAI__MONAI-5503,project-monai/monai,2,2,0,0,False
Project-MONAI__MONAI-3107,project-monai/monai,1,1,0,0,False
Project-MONAI__MONAI-543,project-monai/monai,3,3,0,0,False
Project-MONAI__MONAI-3001,project-monai/monai,1,1,0,0,False
Project-MONAI__MONAI-6139,project-monai/monai,1,1,0,0,False
Project-MONAI__MONAI-5807,project-monai/monai,3,3,0,0,False
Project-MONAI__MONAI-4689,project-monai/monai,4,4,0,0,False
Project-MONAI__MONAI-3157,project-monai/monai,4,4,0,0,False
Project-MONAI__MONAI-3619,project-monai/monai,1,1,0,0,False
Project-MONAI__MONAI-5473,project-monai/monai,2,2,0,0,False
Project-MONAI__MONAI-7000,project-monai/monai,2,2,0,0,False
Project-MONAI__MONAI-6910,project-monai/monai,1,1,0,0,False
Project-MONAI__MONAI-7163,project-monai/monai,3,3,0,0,False
Project-MONAI__MONAI-648,project-monai/monai,2,2,0,0,False
Project-MONAI__MONAI-6781,project-monai/monai,1,1,0,0,False
Project-MONAI__MONAI-5067,project-monai/monai,1,1,0,0,False
Project-MONAI__MONAI-2530,project-monai/monai,2,2,0,0,False
pydantic__pydantic-6126,pydantic/pydantic,1,1,0,0,False
pydantic__pydantic-8947,pydantic/pydantic,1,1,0,0,False
pydantic__pydantic-5386,pydantic/pydantic,1,1,0,0,False
pydantic__pydantic-5322,pydantic/pydantic,4,4,0,0,False
pydantic__pydantic-8583,pydantic/pydantic,1,1,0,0,False
pydantic__pydantic-8920,pydantic/pydantic,1,1,0,0,False
pydantic__pydantic-5021,pydantic/pydantic,1,1,0,0,False
pydantic__pydantic-8511,pydantic/pydantic,1,1,0,0,False
pydantic__pydantic-9082,pydantic/pydantic,1,1,0,0,False
pydantic__pydantic-8977,pydantic/pydantic,1,1,0,0,False
pydantic__pydantic-6293,pydantic/pydantic,1,1,0,0,False
pydantic__pydantic-8734,pydantic/pydantic,1,1,0,0,False
pydantic__pydantic-5196,pydantic/pydantic,2,2,0,0,False
pydantic__pydantic-9287,pydantic/pydantic,1,1,0,0,False
pydantic__pydantic-6100,pydantic/pydantic,2,2,0,0,False
pydantic__pydantic-9214,pydantic/pydantic,1,1,0,0,False
pydantic__pydantic-8965,pydantic/pydantic,2,2,0,0,False
pydantic__pydantic-8159,pydantic/pydantic,2,2,0,0,False
pydantic__pydantic-5591,pydantic/pydantic,1,1,0,0,False
pydantic__pydantic-6274,pydantic/pydantic,1,1,0,0,False
instance_qutebrowser__qutebrowser-8f46ba3f6dc7b18375f7aa63c48a1fe461190430-v2ef375ac784985212b1805e1d0431dc8f1b3c171,qutebrowser/qutebrowser,1,1,0,0,False
instance_qutebrowser__qutebrowser-34a13afd36b5e529d553892b1cd8b9d5ce8881c4-vafb3e8e01b31319c66c4e666b8a3b1d8ba55db24,qutebrowser/qutebrowser,1,1,0,0,False
instance_qutebrowser__qutebrowser-35168ade46184d7e5b91dfa04ca42fe2abd82717-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,qutebrowser/qutebrowser,2,2,0,0,False
instance_qutebrowser__qutebrowser-deeb15d6f009b3ca0c3bd503a7cef07462bd16b4-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,qutebrowser/qutebrowser,1,1,0,0,False
instance_qutebrowser__qutebrowser-8d05f0282a271bfd45e614238bd1b555c58b3fc1-v35616345bb8052ea303186706cec663146f0f184,qutebrowser/qutebrowser,1,1,0,0,False
instance_qutebrowser__qutebrowser-fd6790fe8c02b144ab2464f1fc8ab3d02ce3c476-v2ef375ac784985212b1805e1d0431dc8f1b3c171,qutebrowser/qutebrowser,2,2,0,0,False
instance_qutebrowser__qutebrowser-e15d26630934d0b6415ed2295ac42fd570a57620-va0fd88aac89cde702ec1ba84877234da33adce8a,qutebrowser/qutebrowser,2,2,0,0,False
instance_qutebrowser__qutebrowser-f7753550f2c1dcb2348e4779fd5287166754827e-v059c6fdc75567943479b23ebca7c07b5e9a7f34c,qutebrowser/qutebrowser,3,3,0,0,False
instance_qutebrowser__qutebrowser-16de05407111ddd82fa12e54389d532362489da9-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,qutebrowser/qutebrowser,1,1,0,0,False
instance_qutebrowser__qutebrowser-996487c43e4fcc265b541f9eca1e7930e3c5cf05-v2ef375ac784985212b1805e1d0431dc8f1b3c171,qutebrowser/qutebrowser,1,1,0,0,False
instance_qutebrowser__qutebrowser-322834d0e6bf17e5661145c9f085b41215c280e8-v488d33dd1b2540b234cbb0468af6b6614941ce8f,qutebrowser/qutebrowser,3,3,0,0,False
instance_qutebrowser__qutebrowser-bf045f7ec7c27709ea3ef61cf41a24e8fdd2e7da-v059c6fdc75567943479b23ebca7c07b5e9a7f34c,qutebrowser/qutebrowser,1,1,0,0,False
instance_qutebrowser__qutebrowser-9b71c1ea67a9e7eb70dd83214d881c2031db6541-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,qutebrowser/qutebrowser,1,1,0,0,False
instance_qutebrowser__qutebrowser-e57b6e0eeeb656eb2c84d6547d5a0a7333ecee85-v2ef375ac784985212b1805e1d0431dc8f1b3c171,qutebrowser/qutebrowser,3,3,0,0,False
instance_qutebrowser__qutebrowser-ed19d7f58b2664bb310c7cb6b52c5b9a06ea60b2-v059c6fdc75567943479b23ebca7c07b5e9a7f34c,qutebrowser/qutebrowser,3,3,0,0,False
instance_qutebrowser__qutebrowser-ec2dcfce9eee9f808efc17a1b99e227fc4421dea-v5149fcda2a9a6fe1d35dfed1bade1444a11ef271,qutebrowser/qutebrowser,1,1,0,0,False
instance_qutebrowser__qutebrowser-473a15f7908f2bb6d670b0e908ab34a28d8cf7e2-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,qutebrowser/qutebrowser,1,1,0,0,False
instance_qutebrowser__qutebrowser-fec187c2cb53d769c2682b35ca77858a811414a8-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,qutebrowser/qutebrowser,1,1,0,0,False
instance_qutebrowser__qutebrowser-5fdc83e5da6222fe61163395baaad7ae57fa2cb4-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,qutebrowser/qutebrowser,3,3,0,0,False
instance_qutebrowser__qutebrowser-85b867fe8d4378c8e371f055c70452f546055854-v2ef375ac784985212b1805e1d0431dc8f1b3c171,qutebrowser/qutebrowser,2,2,0,0,False
