task_id,repo_key,repo_files,ball_files,ball_lines,key_files,key_lines,ball_recall,ball_share_of_repo
instance_ansible__ansible-83909bfa22573777e3db5688773bda59721962ad-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5::lib/ansible/cli/galaxy.py,ansible/ansible,477,0,0,1,595,0.0,0.0
instance_ansible__ansible-83909bfa22573777e3db5688773bda59721962ad-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5::lib/ansible/galaxy/api.py,ansible/ansible,477,0,0,1,1545,0.0,0.0
instance_ansible__ansible-5640093f1ca63fd6af231cc8a7fb7d40e1907b8c-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5::lib/ansible/executor/module_common.py,ansible/ansible,496,0,0,3,333,0.0,0.0
instance_ansible__ansible-5640093f1ca63fd6af231cc8a7fb7d40e1907b8c-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5::lib/ansible/plugins/action/gather_facts.py,ansible/ansible,496,0,0,3,1623,0.0,0.0
instance_ansible__ansible-5640093f1ca63fd6af231cc8a7fb7d40e1907b8c-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5::lib/ansible/plugins/action/package.py,ansible/ansible,496,0,0,3,1667,0.0,0.0
instance_ansible__ansible-5640093f1ca63fd6af231cc8a7fb7d40e1907b8c-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5::lib/ansible/plugins/action/service.py,ansible/ansible,496,0,0,3,1660,0.0,0.0
instance_ansible__ansible-29aea9ff3466e4cd2ed00524b9e56738d568ce8b-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5::lib/ansible/plugins/doc_fragments/constructed.py,ansible/ansible,495,0,0,1,444,0.0,0.0
instance_ansible__ansible-29aea9ff3466e4cd2ed00524b9e56738d568ce8b-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5::lib/ansible/plugins/inventory/__init__.py,ansible/ansible,495,0,0,1,53,0.0,0.0
instance_ansible__ansible-0fd88717c953b92ed8a50495d55e630eb5d59166-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5::lib/ansible/plugins/lookup/password.py,ansible/ansible,510,0,0,1,272,0.0,0.0
instance_ansible__ansible-0fd88717c953b92ed8a50495d55e630eb5d59166-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5::lib/ansible/utils/encrypt.py,ansible/ansible,510,0,0,1,390,0.0,0.0
instance_ansible__ansible-a7d2a4e03209cff1e97e59fd54bb2b05fdbdbec6-v0f01c69f1e2528b935359cfe578530722bca2c59::lib/ansible/executor/task_queue_manager.py,ansible/ansible,510,0,0,2,1987,0.0,0.0
instance_ansible__ansible-a7d2a4e03209cff1e97e59fd54bb2b05fdbdbec6-v0f01c69f1e2528b935359cfe578530722bca2c59::lib/ansible/plugins/strategy/__init__.py,ansible/ansible,510,0,0,2,1219,0.0,0.0
instance_ansible__ansible-a7d2a4e03209cff1e97e59fd54bb2b05fdbdbec6-v0f01c69f1e2528b935359cfe578530722bca2c59::lib/ansible/utils/display.py,ansible/ansible,510,0,0,2,1708,0.0,0.0
instance_ansible__ansible-6cc97447aac5816745278f3735af128afb255c81-v0f01c69f1e2528b935359cfe578530722bca2c59::lib/ansible/_internal/_templating/_jinja_plugins.py,ansible/ansible,552,13,3319,6,4732,0.0,0.023593466424682397
instance_ansible__ansible-6cc97447aac5816745278f3735af128afb255c81-v0f01c69f1e2528b935359cfe578530722bca2c59::lib/ansible/cli/__init__.py,ansible/ansible,552,0,0,6,4331,0.0,0.0
instance_ansible__ansible-6cc97447aac5816745278f3735af128afb255c81-v0f01c69f1e2528b935359cfe578530722bca2c59::lib/ansible/module_utils/basic.py,ansible/ansible,552,10,1082,6,2930,0.0,0.018148820326678767
instance_ansible__ansible-6cc97447aac5816745278f3735af128afb255c81-v0f01c69f1e2528b935359cfe578530722bca2c59::lib/ansible/module_utils/common/warnings.py,ansible/ansible,552,0,0,6,4983,0.0,0.0
instance_ansible__ansible-6cc97447aac5816745278f3735af128afb255c81-v0f01c69f1e2528b935359cfe578530722bca2c59::lib/ansible/parsing/yaml/objects.py,ansible/ansible,552,0,0,6,5027,0.0,0.0
instance_ansible__ansible-6cc97447aac5816745278f3735af128afb255c81-v0f01c69f1e2528b935359cfe578530722bca2c59::lib/ansible/template/__init__.py,ansible/ansible,552,0,0,6,4656,0.0,0.0
instance_ansible__ansible-6cc97447aac5816745278f3735af128afb255c81-v0f01c69f1e2528b935359cfe578530722bca2c59::lib/ansible/utils/display.py,ansible/ansible,552,3,786,6,3839,0.0,0.0054446460980036296
instance_ansible__ansible-3b823d908e8a5d17674f8c26d337d3114b7493b1-v0f01c69f1e2528b935359cfe578530722bca2c59::lib/ansible/parsing/dataloader.py,ansible/ansible,480,0,0,5,1668,0.0,0.0
instance_ansible__ansible-3b823d908e8a5d17674f8c26d337d3114b7493b1-v0f01c69f1e2528b935359cfe578530722bca2c59::lib/ansible/plugins/inventory/__init__.py,ansible/ansible,480,0,0,5,1673,0.0,0.0
instance_ansible__ansible-3b823d908e8a5d17674f8c26d337d3114b7493b1-v0f01c69f1e2528b935359cfe578530722bca2c59::lib/ansible/plugins/inventory/auto.py,ansible/ansible,480,0,0,5,2072,0.0,0.0
instance_ansible__ansible-3b823d908e8a5d17674f8c26d337d3114b7493b1-v0f01c69f1e2528b935359cfe578530722bca2c59::lib/ansible/plugins/inventory/yaml.py,ansible/ansible,480,0,0,5,1952,0.0,0.0
instance_ansible__ansible-3b823d908e8a5d17674f8c26d337d3114b7493b1-v0f01c69f1e2528b935359cfe578530722bca2c59::lib/ansible/plugins/vars/host_group_vars.py,ansible/ansible,480,0,0,5,1982,0.0,0.0
instance_ansible__ansible-3b823d908e8a5d17674f8c26d337d3114b7493b1-v0f01c69f1e2528b935359cfe578530722bca2c59::lib/ansible/vars/manager.py,ansible/ansible,480,0,0,5,1323,0.0,0.0
instance_ansible__ansible-f8ef34672b961a95ec7282643679492862c688ec-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5::lib/ansible/errors/__init__.py,ansible/ansible,477,0,0,5,2882,0.0,0.0
instance_ansible__ansible-f8ef34672b961a95ec7282643679492862c688ec-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5::lib/ansible/parsing/vault/__init__.py,ansible/ansible,477,0,0,5,1843,0.0,0.0
instance_ansible__ansible-f8ef34672b961a95ec7282643679492862c688ec-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5::lib/ansible/parsing/yaml/constructor.py,ansible/ansible,477,0,0,5,3046,0.0,0.0
instance_ansible__ansible-f8ef34672b961a95ec7282643679492862c688ec-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5::lib/ansible/parsing/yaml/objects.py,ansible/ansible,477,0,0,5,2844,0.0,0.0
instance_ansible__ansible-f8ef34672b961a95ec7282643679492862c688ec-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5::lib/ansible/playbook/helpers.py,ansible/ansible,477,0,0,5,2827,0.0,0.0
instance_ansible__ansible-f8ef34672b961a95ec7282643679492862c688ec-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5::lib/ansible/playbook/task.py,ansible/ansible,477,0,0,5,2673,0.0,0.0
instance_ansible__ansible-489156378c8e97374a75a544c7c9c2c0dd8146d1-v390e508d27db7a51eece36bb6d9698b63a5b638a::lib/ansible/module_utils/network/meraki/meraki.py,ansible/ansible,5104,0,0,1,68,0.0,0.0
instance_ansible__ansible-489156378c8e97374a75a544c7c9c2c0dd8146d1-v390e508d27db7a51eece36bb6d9698b63a5b638a::lib/ansible/plugins/doc_fragments/meraki.py,ansible/ansible,5104,0,0,1,396,0.0,0.0
