source,method,family,n_pr,auc,ci_lo,ci_hi,rank
co_edited,oracle,reference,66,0.7579297438672439,,,1.0
co_edited,rrf_hops_issue_path,fusion,66,0.5188281625781626,,,2.0
co_edited,rrf_pprpl_issue_path,fusion,66,0.4888498075998075,,,3.0
co_edited,rrf_hops_path,fusion,66,0.46466976310726305,,,4.0
co_edited,rrf_ppr_issue_path,fusion,66,0.4631568662818663,,,5.0
co_edited,path_issue,lexical,66,0.4294041606541607,,,6.0
co_edited,bm25_issue,lexical,66,0.3739042207792208,,,7.0
co_edited,bm25_seed,lexical,66,0.3611246392496393,,,8.0
co_edited,rrf_ppr_issue,fusion,66,0.36110660173160175,,,9.0
co_edited,path_seed,lexical,66,0.35245084776334773,,,10.0
co_edited,hops_lines,structure,66,0.3343501984126984,,,11.0
co_edited,bfs_und,structure,66,0.30856180856180854,,,12.0
co_edited,ppr_und,structure,66,0.30125886844636846,,,13.0
co_edited,ppr_und_pl,structure,66,0.29193798100048096,,,14.0
co_edited,same_dir,reference,66,0.27507215007215,,,15.0
co_edited,bm25_issue_pl,lexical,66,0.26781655844155844,,,16.0
co_edited,ppr_in_pl,structure,66,0.24453012265512264,,,17.0
co_edited,ppr_out_pl,structure,66,0.23718208874458876,,,18.0
co_edited,ppr_in,structure,66,0.2339338323713324,,,19.0
co_edited,ppr_out,structure,66,0.23373541967291966,,,20.0
co_edited,indegree,global,66,0.17510747354497355,,,21.0
co_edited,pagerank,global,66,0.17111441798941798,,,22.0
co_edited,random,reference,66,0.15264174482924486,,,23.0
co_edited,bm25_issue_rd,redacted,66,0.37027417027417026,,,
co_edited,bm25_issue_rdp,redacted,66,0.3601415945165945,,,
co_edited,bm25_issue_rds,redacted,66,0.3542703823953824,,,
co_edited,path_issue_rd,redacted,66,0.4123955327080327,,,
co_edited,path_issue_rdp,redacted,66,0.35970869408369405,,,
co_edited,path_issue_rds,redacted,66,0.3535954785954786,,,
co_edited,rrf_hops_path_rd,redacted,66,0.45639655483405484,,,
co_edited,rrf_hops_path_rdp,redacted,66,0.4286871693121693,,,
co_edited,rrf_hops_path_rds,redacted,66,0.4201456529581529,,,
co_edited,rrf_hops_pathseed,fusion-control,66,0.39373722342472345,,,
co_edited,rrf_pprpl_issue_path_k10,rrf-k,66,0.48633507696007694,,,
co_edited,rrf_pprpl_issue_path_k200,rrf-k,66,0.4662202380952381,,,
co_edited,rrf_pprpl_issue_path_rd,redacted,66,0.47763272607022605,,,
co_edited,rrf_pprpl_issue_path_rdp,redacted,66,0.43859878547378545,,,
co_edited,rrf_pprpl_issue_path_rds,redacted,66,0.43334986772486767,,,
co_edited,rrf_pprpl_seedpath,fusion-control,66,0.40111156204906206,,,
symbol,oracle,reference,96,0.7740350867303993,,,1.0
symbol,rrf_hops_issue_path,fusion,96,0.4428921062059083,,,2.0
symbol,rrf_hops_path,fusion,96,0.4364769501813772,,,3.0
symbol,rrf_pprpl_issue_path,fusion,96,0.4353312937785594,,,4.0
symbol,rrf_ppr_issue_path,fusion,96,0.3923817947580968,,,5.0
symbol,ppr_out_pl,structure,96,0.39196830188041126,,,6.0
symbol,ppr_und_pl,structure,96,0.3895358909030784,,,7.0
symbol,hops_lines,structure,96,0.3746745731120731,,,8.0
symbol,ppr_out,structure,96,0.3652381093299062,,,9.0
symbol,ppr_und,structure,96,0.35783199367183743,,,10.0
symbol,path_issue,lexical,96,0.34814721652286756,,,11.0
symbol,bfs_und,structure,96,0.3379363216114519,,,12.0
symbol,rrf_ppr_issue,fusion,96,0.3370747561177249,,,13.0
symbol,bm25_seed,lexical,96,0.3058573551737614,,,14.0
symbol,pagerank,global,96,0.3026152757109788,,,15.0
symbol,path_seed,lexical,96,0.3004226368972463,,,16.0
symbol,indegree,global,96,0.2947723452280744,,,17.0
symbol,bm25_issue,lexical,96,0.29397459998045933,,,18.0
symbol,bm25_issue_pl,lexical,96,0.2670691522742304,,,19.0
symbol,same_dir,reference,96,0.24450381011253408,,,20.0
symbol,ppr_in_pl,structure,96,0.21462479457271125,,,21.0
symbol,ppr_in,structure,96,0.19325846980469377,,,22.0
symbol,random,reference,96,0.15523256341941238,,,23.0
symbol,bm25_issue_rd,redacted,96,0.292477204147126,,,
symbol,bm25_issue_rdp,redacted,96,0.2875509888693482,,,
symbol,bm25_issue_rds,redacted,96,0.28116173829064456,,,
symbol,path_issue_rd,redacted,96,0.3306731986907768,,,
symbol,path_issue_rdp,redacted,96,0.2967820018764029,,,
symbol,path_issue_rds,redacted,96,0.2967379571383478,,,
symbol,rrf_hops_path_rd,redacted,96,0.4227778075271565,,,
symbol,rrf_hops_path_rdp,redacted,96,0.404523244285614,,,
symbol,rrf_hops_path_rds,redacted,96,0.40086908895502643,,,
symbol,rrf_hops_pathseed,fusion-control,96,0.38831841323703303,,,
symbol,rrf_pprpl_issue_path_k10,rrf-k,96,0.41684748808772243,,,
symbol,rrf_pprpl_issue_path_k200,rrf-k,96,0.4274118447621052,,,
symbol,rrf_pprpl_issue_path_rd,redacted,96,0.4255223912613235,,,
symbol,rrf_pprpl_issue_path_rdp,redacted,96,0.39994622408359387,,,
symbol,rrf_pprpl_issue_path_rds,redacted,96,0.3947718598434744,,,
symbol,rrf_pprpl_seedpath,fusion-control,96,0.3797496683727153,,,
