source,method,family,n_pr,auc,ci_lo,ci_hi,rank
co_edited,oracle,reference,66,0.7579297438672439,,,1.0
co_edited,rrf_hops_issue_path,fusion,66,0.5188281625781626,,,2.0
co_edited,rrf_pprpl_issue_path,fusion,66,0.4888498075998075,,,3.0
co_edited,rrf_hops_path,fusion,66,0.46466976310726305,,,4.0
co_edited,rrf_ppr_issue_path,fusion,66,0.4631568662818663,,,5.0
co_edited,path_issue,lexical,66,0.4294041606541607,,,6.0
co_edited,bm25_issue,lexical,66,0.3739042207792208,,,7.0
co_edited,bm25_seed,lexical,66,0.3611246392496393,,,8.0
co_edited,rrf_ppr_issue,fusion,66,0.36110660173160175,,,9.0
co_edited,path_seed,lexical,66,0.35245084776334773,,,10.0
co_edited,hops_lines,structure,66,0.3343501984126984,,,11.0
co_edited,bfs_und,structure,66,0.30856180856180854,,,12.0
co_edited,ppr_und,structure,66,0.30125886844636846,,,13.0
co_edited,ppr_und_pl,structure,66,0.29193798100048096,,,14.0
co_edited,same_dir,reference,66,0.27507215007215,,,15.0
co_edited,bm25_issue_pl,lexical,66,0.26781655844155844,,,16.0
co_edited,ppr_in_pl,structure,66,0.24453012265512264,,,17.0
co_edited,ppr_out_pl,structure,66,0.23718208874458876,,,18.0
co_edited,ppr_in,structure,66,0.2339338323713324,,,19.0
co_edited,ppr_out,structure,66,0.23373541967291966,,,20.0
co_edited,indegree,global,66,0.17510747354497355,,,21.0
co_edited,pagerank,global,66,0.17111441798941798,,,22.0
co_edited,random,reference,66,0.15264174482924486,,,23.0
co_edited,bm25_issue_rd,redacted,66,0.37027417027417026,,,
co_edited,bm25_issue_rdp,redacted,66,0.3601415945165945,,,
co_edited,bm25_issue_rds,redacted,66,0.3542703823953824,,,
co_edited,path_issue_rd,redacted,66,0.4123955327080327,,,
co_edited,path_issue_rdp,redacted,66,0.35970869408369405,,,
co_edited,path_issue_rds,redacted,66,0.3535954785954786,,,
co_edited,rrf_hops_path_rd,redacted,66,0.45639655483405484,,,
co_edited,rrf_hops_path_rdp,redacted,66,0.4286871693121693,,,
co_edited,rrf_hops_path_rds,redacted,66,0.4201456529581529,,,
co_edited,rrf_hops_pathseed,fusion-control,66,0.39373722342472345,,,
co_edited,rrf_pprpl_issue_path_k10,rrf-k,66,0.48633507696007694,,,
co_edited,rrf_pprpl_issue_path_k200,rrf-k,66,0.4662202380952381,,,
co_edited,rrf_pprpl_issue_path_rd,redacted,66,0.47763272607022605,,,
co_edited,rrf_pprpl_issue_path_rdp,redacted,66,0.43859878547378545,,,
co_edited,rrf_pprpl_issue_path_rds,redacted,66,0.43334986772486767,,,
co_edited,rrf_pprpl_seedpath,fusion-control,66,0.40111156204906206,,,
symbol,oracle,reference,66,0.7690194695876514,,,1.0
symbol,rrf_hops_issue_path,fusion,66,0.42692976390893056,,,2.0
symbol,rrf_pprpl_issue_path,fusion,66,0.4194044407822817,,,3.0
symbol,rrf_hops_path,fusion,66,0.4012370958867171,,,4.0
symbol,rrf_ppr_issue_path,fusion,66,0.38139582604544725,,,5.0
symbol,ppr_und_pl,structure,66,0.34642720494993223,,,6.0
symbol,path_issue,lexical,66,0.3413075674676054,,,7.0
symbol,ppr_out_pl,structure,66,0.33165717647251736,,,8.0
symbol,hops_lines,structure,66,0.32591554068826795,,,9.0
symbol,ppr_und,structure,66,0.3104134554418645,,,10.0
symbol,bm25_seed,lexical,66,0.30583670853557215,,,11.0
symbol,rrf_ppr_issue,fusion,66,0.3051579785954786,,,12.0
symbol,path_seed,lexical,66,0.3046656705037387,,,13.0
symbol,ppr_out,structure,66,0.29656477518693425,,,14.0
symbol,bm25_issue,lexical,66,0.2954971454261227,,,15.0
symbol,bfs_und,structure,66,0.2811060300880376,,,16.0
symbol,bm25_issue_pl,lexical,66,0.2693038679544361,,,17.0
symbol,pagerank,global,66,0.2485641384078884,,,18.0
symbol,indegree,global,66,0.23936583548325974,,,19.0
symbol,same_dir,reference,66,0.23053668676301253,,,20.0
symbol,ppr_in_pl,structure,66,0.21132924665121633,,,21.0
symbol,ppr_in,structure,66,0.18940499648359496,,,22.0
symbol,random,reference,66,0.1490356646369904,,,23.0
symbol,bm25_issue_rd,redacted,66,0.29331911512309244,,,
symbol,bm25_issue_rdp,redacted,66,0.28615371108268833,,,
symbol,bm25_issue_rds,redacted,66,0.28064813448336173,,,
symbol,path_issue_rd,redacted,66,0.32425571324719055,,,
symbol,path_issue_rdp,redacted,66,0.2840082485205591,,,
symbol,path_issue_rds,redacted,66,0.280945446073287,,,
symbol,rrf_hops_path_rd,redacted,66,0.38883421835599863,,,
symbol,rrf_hops_path_rdp,redacted,66,0.3701209310821053,,,
symbol,rrf_hops_path_rds,redacted,66,0.36554232804232806,,,
symbol,rrf_hops_pathseed,fusion-control,66,0.35475733844578544,,,
symbol,rrf_pprpl_issue_path_k10,rrf-k,66,0.41130047088853905,,,
symbol,rrf_pprpl_issue_path_k200,rrf-k,66,0.40420258228023376,,,
symbol,rrf_pprpl_issue_path_rd,redacted,66,0.4042951953700059,,,
symbol,rrf_pprpl_issue_path_rdp,redacted,66,0.3734592383976853,,,
symbol,rrf_pprpl_issue_path_rds,redacted,66,0.368879018358185,,,
symbol,rrf_pprpl_seedpath,fusion-control,66,0.36207485433337705,,,
