budget bfs_fwd bm25 cochange oracle ppr_und random
125 0.0307 0.008 0.0105 0.1994 0.0333 0.0038
250 0.0576 0.0257 0.0271 0.3305 0.0563 0.0083
500 0.1124 0.0573 0.0621 0.4952 0.108 0.0185
1000 0.2011 0.1123 0.1266 0.6868 0.1977 0.0414
2000 0.3096 0.2137 0.223 0.8382 0.3177 0.0914
4000 0.4435 0.3455 0.353 0.941 0.4761 0.1858
8000 0.5679 0.5044 0.4913 0.9805 0.6465 0.3427
16000 0.6588 0.6709 0.6323 0.9957 0.7902 0.5423
32000 0.7124 0.8109 0.719 0.9992 0.8935 0.734
64000 0.7437 0.8868 0.7631 1.0 0.945 0.8734
