method,budget,coverage
aider_repomap,125,0.025108734603437995
aider_repomap,250,0.04485092011558336
aider_repomap,500,0.0837640498742136
aider_repomap,1000,0.16483996800299217
aider_repomap,2000,0.25345899958664664
aider_repomap,4000,0.39730721360080384
aider_repomap,8000,0.5714001893732096
aider_repomap,16000,0.7219700996029734
aider_repomap,32000,0.8269458458778778
aider_repomap,64000,0.8886188980435243
betweenness,125,0.01192249639968982
betweenness,250,0.0193896271018979
betweenness,500,0.03895129578310271
betweenness,1000,0.08237693993504494
betweenness,2000,0.16036948908369567
betweenness,4000,0.2750635416936357
betweenness,8000,0.4558371954075718
betweenness,16000,0.6689354529594119
betweenness,32000,0.8243204939394706
betweenness,64000,0.9198017087130212
bfs_fwd,125,0.03067070601008957
bfs_fwd,250,0.057637934198607986
bfs_fwd,500,0.11242210949239899
bfs_fwd,1000,0.20107953729126068
bfs_fwd,2000,0.3095659226952855
bfs_fwd,4000,0.44346620619420385
bfs_fwd,8000,0.5678699056230967
bfs_fwd,16000,0.6587777375803342
bfs_fwd,32000,0.7123716043324808
bfs_fwd,64000,0.7437296686588002
bfs_rev,125,0.008696899774651387
bfs_rev,250,0.018316197253865043
bfs_rev,500,0.03215765607047755
bfs_rev,1000,0.05777949359514496
bfs_rev,2000,0.10083813493108365
bfs_rev,4000,0.15749590559122348
bfs_rev,8000,0.21935418741080043
bfs_rev,16000,0.28401794883364284
bfs_rev,32000,0.36512617741181297
bfs_rev,64000,0.414661617493636
bfs_und,125,0.02542346680368228
bfs_und,250,0.05053013603440016
bfs_und,500,0.09758173856176146
bfs_und,1000,0.18027832771487526
bfs_und,2000,0.29227708804694574
bfs_und,4000,0.4385479606559154
bfs_und,8000,0.6061830680067317
bfs_und,16000,0.7498233029915469
bfs_und,32000,0.8514274776744292
bfs_und,64000,0.9142650020538228
bm25,125,0.008040274618664448
bm25,250,0.025725328853506816
bm25,500,0.05727912332406087
bm25,1000,0.11228522208166497
bm25,2000,0.21373393302044183
bm25,4000,0.34548328041331955
bm25,8000,0.5044257429243146
bm25,16000,0.6709030488464044
bm25,32000,0.8108808872243297
bm25,64000,0.8867634822529152
closeness,125,0.022000863480175548
closeness,250,0.03358301009702041
closeness,500,0.06150671023609168
closeness,1000,0.11268685885678509
closeness,2000,0.1920328698590376
closeness,4000,0.33096395977193577
closeness,8000,0.49623681977965073
closeness,16000,0.6726538156209744
closeness,32000,0.8295808632805921
closeness,64000,0.9260648010887658
closure_comb,125,0.01059577173661795
closure_comb,250,0.02122365618956373
closure_comb,500,0.0392741003399684
closure_comb,1000,0.0805597191568094
closure_comb,2000,0.14774456534202557
closure_comb,4000,0.25256515561317683
closure_comb,8000,0.3979048895473357
closure_comb,16000,0.5669529977777189
closure_comb,32000,0.707672217254847
closure_comb,64000,0.800778907721753
closure_fwd,125,0.017135777480759184
closure_fwd,250,0.03278678667036213
closure_fwd,500,0.059144423963244284
closure_fwd,1000,0.11053625148366997
closure_fwd,2000,0.17752983986928492
closure_fwd,4000,0.2734369377810675
closure_fwd,8000,0.40568496882742616
closure_fwd,16000,0.5450871822484763
closure_fwd,32000,0.6507853806895089
closure_fwd,64000,0.7150306497691034
closure_fwd_trim,125,0.03067070601008957
closure_fwd_trim,250,0.057637934198607986
closure_fwd_trim,500,0.11242210949239899
closure_fwd_trim,1000,0.20107953729126068
closure_fwd_trim,2000,0.3095659226952855
closure_fwd_trim,4000,0.44346620619420385
closure_fwd_trim,8000,0.5678699056230967
closure_fwd_trim,16000,0.6587777375803342
closure_fwd_trim,32000,0.7123716043324808
closure_fwd_trim,64000,0.7437296686588002
closure_rev,125,0.004212236381520178
closure_rev,250,0.00931781993644755
closure_rev,500,0.018113173027353196
closure_rev,1000,0.03210297166808221
closure_rev,2000,0.06176137433203065
closure_rev,4000,0.10728235282004486
closure_rev,8000,0.1750786841275375
closure_rev,16000,0.25793943852726847
closure_rev,32000,0.3464160784349448
closure_rev,64000,0.40089169924361545
cochange,125,0.010476147471486454
cochange,250,0.027128513035928295
cochange,500,0.062074807841165994
cochange,1000,0.12657523085371672
cochange,2000,0.22302793985548905
cochange,4000,0.3530026341383637
cochange,8000,0.4912555833466191
cochange,16000,0.6323285646827725
cochange,32000,0.7190273576307984
cochange,64000,0.7631140167714195
cosil_bfs,125,0.00589440072680483
cosil_bfs,250,0.016492918997539546
cosil_bfs,500,0.04462766861376892
cosil_bfs,1000,0.098465036761682
cosil_bfs,2000,0.18871133565368223
cosil_bfs,4000,0.3184864811193829
cosil_bfs,8000,0.4691554806879398
cosil_bfs,16000,0.6259543424808248
cosil_bfs,32000,0.7580599221402661
cosil_bfs,64000,0.8332145726553958
dfs_und,125,0.021842007496630997
dfs_und,250,0.0367513279210971
dfs_und,500,0.06242551892642973
dfs_und,1000,0.09754169050408083
dfs_und,2000,0.1388460492690589
dfs_und,4000,0.20220207216070296
dfs_und,8000,0.3058662048168368
dfs_und,16000,0.4652040499793059
dfs_und,32000,0.6666573363173083
dfs_und,64000,0.8043162643411126
directory,125,0.016204985119332115
directory,250,0.034564235794812985
directory,500,0.06829850389784885
directory,1000,0.12649161677590723
directory,2000,0.20796832810141405
directory,4000,0.3384024958687422
directory,8000,0.5030603190513943
directory,16000,0.6863881568591885
directory,32000,0.8546303364521285
directory,64000,0.9451642066163115
hits_auth,125,0.02837734250869844
hits_auth,250,0.047080953616150376
hits_auth,500,0.08141600761890275
hits_auth,1000,0.14564570411138295
hits_auth,2000,0.23383954326929499
hits_auth,4000,0.3839735437552089
