a,b,mean_diff,a12,p,a_wins_prs,b_wins_prs,ties,p_holm
ppr_und,locagent_bfs,0.014767711418625231,0.5158686440677966,9.822895541793076e-05,619,493,68,0.0014734343312689615
ppr_und,ppr_fwd,0.018462323126123403,0.5279747199080723,0.00029922995944364414,519,462,199,0.004189219432211018
ppr_und,ids_und,0.02252380676609045,0.5269739299051996,5.813831067076838e-10,633,463,84,1.3371811454276726e-08
ppr_und,bfs_und,0.02741703518288687,0.5342232835392129,1.283638446034668e-13,660,461,59,3.3374599596901363e-12
ppr_und,pagerank,0.03287860569451599,0.5434296897443263,4.236951945535259e-10,583,428,169,1.0168684669284622e-08
ppr_und,indegree,0.0445564778104042,0.5594768026429187,2.5002450544710566e-18,584,410,186,6.750661647071853e-17
ppr_und,robillard,0.044961294979914156,0.5626630278655559,1.8047554407222964e-18,676,409,95,5.05331523402243e-17
locagent_bfs,ppr_fwd,0.0036946117074981716,0.5124906636024131,0.7049775361469683,541,598,41,1.0
locagent_bfs,ids_und,0.007756095347465218,0.5113340275782821,0.42281436666402195,543,550,87,1.0
locagent_bfs,bfs_und,0.012649323764261635,0.5184081442114334,7.590568908080763e-06,534,441,205,0.0001442208092535345
locagent_bfs,pagerank,0.01811089427589076,0.5281711433496122,0.025904649589258016,607,534,39,0.20723719671406413
locagent_bfs,indegree,0.029788766391778968,0.543659867854065,7.055957191552648e-05,604,534,42,0.0011289531506484237
locagent_bfs,robillard,0.030193583561288918,0.5479528152829646,5.413219403521536e-11,663,469,48,1.353304850880384e-09
ppr_fwd,ids_und,0.0040614836399670475,0.4986648951450733,0.12331479903223248,611,508,61,0.7398887941933949
ppr_fwd,bfs_und,0.008954712056763464,0.506029876472278,0.003066696177828157,635,484,61,0.033733657956109726
ppr_fwd,pagerank,0.014416282568392585,0.515238078138466,0.0007608877484388983,528,418,234,0.00913065298126678
ppr_fwd,indegree,0.026094154684280793,0.5299163315139328,4.915461762429073e-07,575,445,160,1.0322469701101054e-05
ppr_fwd,robillard,0.026498971853790753,0.5360503447285263,1.8195482459418952e-06,660,437,83,3.63909649188379e-05
ids_und,bfs_und,0.004893228416796416,0.5070249209997127,1.4851161053673079e-05,592,459,129,0.0002524697379124423
ids_und,pagerank,0.01035479892842554,0.516991166331514,0.4448215198093102,574,572,34,1.0
ids_und,indegree,0.02203267104431375,0.5319782390117782,0.03189236907409345,576,552,52,0.22324658351865415
ids_und,robillard,0.022437488213823704,0.5373549267451881,1.5869594675434824e-08,633,463,84,3.4913108285956613e-07
bfs_und,pagerank,0.0054615705116291225,0.5094566934788854,0.8292114316231176,571,576,33,1.0
bfs_und,indegree,0.017139442627517334,0.524210715311692,0.32344886743322543,566,585,29,1.0
bfs_und,robillard,0.017544259797027287,0.5301389686871589,8.643126709261558e-06,619,483,78,0.00015557628076670805
pagerank,indegree,0.01167787211588821,0.5142340563056593,0.016638957490392094,447,455,278,0.14975061741352885
pagerank,robillard,0.012082689285398166,0.5209228669922435,0.0006429354426121461,643,474,63,0.0083581607539579
indegree,robillard,0.0004048171695099568,0.508650890548693,0.008029685789874282,639,494,47,0.08029685789874283
