method,is_reference,n_prs,n_repos,mean_auc,ci_lo,ci_hi,median_auc,diff_vs_random,a12_vs_random,p_vs_random,p_holm_vs_random
oracle,True,708,112,0.7734787659178549,0.7486443583097689,0.7949825514678879,0.784375,0.5270718433324365,0.9891105285837404,1.4072474187350062e-117,4.784641223699021e-116
bm25,False,708,112,0.3994754113980809,0.3677036725125157,0.42987121450459237,0.375,0.15306848881266255,0.7029150308021322,2.9291194765450645e-71,9.373182324944206e-70
robillard,False,708,112,0.37987030311182857,0.3467239318102384,0.4136222723029021,0.35,0.13346338052641019,0.652421677998021,4.628658694597183e-51,1.2960244344872113e-49
cochange,False,708,112,0.37113682349116667,0.34085418360599234,0.4019229666903329,0.375,0.12472990090574836,0.6444109291710556,1.5411722951140878e-40,4.0070479672966284e-39
locagent_bfs,False,708,112,0.36741755223746747,0.3352543932642651,0.398699975993321,0.3625,0.12101062965204915,0.6629919563343866,3.822269565916586e-57,1.1849035654341417e-55
ids_und,False,708,112,0.3633929272038382,0.33121609377592265,0.39414135960705826,0.35342261904761907,0.11698600461841988,0.6544665086660921,4.792597165461327e-52,1.3898531779837849e-50
ppr_und,False,708,112,0.3556165086090934,0.3244030146035721,0.386755560410865,0.34375,0.109209586023675,0.6534181588943152,1.1491235741091214e-54,3.447370722327364e-53
bfs_und,False,708,112,0.3543484889247601,0.32179062706231304,0.3852883758292622,0.33749999999999997,0.10794156633934177,0.639680886718376,1.5597042782368794e-46,4.2112015512395746e-45
directory,False,708,112,0.3439353253071474,0.31336069142529477,0.3745800264495128,0.3030357142857143,0.097528402721729,0.6242309441731303,3.3256758578894364e-38,8.314189644723591e-37
cosil_bfs,False,708,112,0.31335332873733296,0.2843361476729843,0.3420407959698286,0.29708333333333337,0.06694640615191463,0.590864295062083,8.917899962636508e-30,1.9619379917800317e-28
repograph_k2,False,708,112,0.3113370017263026,0.2811134139903721,0.3409554573183618,0.3,0.06493007914088424,0.5923136311404769,1.1648090504379911e-36,2.7955417210511785e-35
aider_repomap,False,708,112,0.292129069141781,0.26425068847772937,0.31975117730551283,0.25,0.045722146556362656,0.563002729100833,1.493263026009163e-14,2.83719974941741e-13
pagerank,False,708,112,0.27137266276567124,0.24033357396074767,0.3015327618099033,0.25,0.024965740180252893,0.5282994589677296,0.0003559287158880641,0.004433468083624867
repograph_k1,False,708,112,0.2687526062684961,0.24117889852722932,0.2962108276582358,0.25,0.022345683683077752,0.5116774793322482,1.3942764891763668e-07,2.3702700315998236e-06
indegree,False,708,112,0.26874115830418793,0.23939236318768212,0.2980384175636699,0.25,0.022334235718769618,0.5278366290018832,0.0003410360064326821,0.004433468083624867
closeness,False,708,112,0.26863694960093265,0.23859166448868963,0.29758514279481674,0.25,0.0222300270155143,0.5279283970123527,0.0002935302407870762,0.004109423371019067
hits_auth,False,708,112,0.26633813671419604,0.23768585575651086,0.29614389017244636,0.25,0.01993121412877769,0.5235644291231767,0.0011447459538132425,0.011447459538132426
betweenness,False,708,112,0.2658794194466864,0.23581553777904624,0.29480207056336344,0.25,0.01947249686126805,0.5224482508219223,0.0018911478160358092,0.017020330344322283
khop2_und,False,708,112,0.2630838742041073,0.23464572065429726,0.29162250619185826,0.25,0.016676951618688908,0.5192373679338632,4.2139191174245476e-13,7.585054411364185e-12
labelprop,False,708,112,0.2559199987669267,0.2275227058344095,0.28431423335607486,0.22499999999999998,0.009513076181508387,0.49074739059657185,0.00044762931665972,0.00492392248325692
ppr_fwd,False,708,112,0.2544865651062685,0.23019034494387608,0.2796688521218841,0.24479166666666669,0.008079642520850147,0.5046043601774713,0.057213230977452,0.34327938586471196
whole_repo,True,708,112,0.25083540713837327,0.21779944480419516,0.2847283412648067,0.25,0.004428484552954892,0.4935732468320087,0.13290429147536725,0.39871287442610176
