method,is_reference,n_prs,n_repos,mean_auc,ci_lo,ci_hi,median_auc,diff_vs_random,a12_vs_random,p_vs_random,p_holm_vs_random
oracle,True,49,29,0.6669462810320239,0.5997109910418932,0.7468794163959567,0.6458333333333334,0.4779253205143161,0.9812578092461475,1.1095728138421754e-09,3.7716593438354485e-08
ppr_fwd,False,49,29,0.35624177889874836,0.29612607043837375,0.4267155277342294,0.3531629318394024,0.1672208183810406,0.7623906705539358,1.992152246212597e-07,5.578026289395272e-06
robillard,False,49,29,0.3405194760453284,0.26618910342749064,0.4299001733530597,0.2835526315789474,0.15149851552762064,0.7076218242399,6.125362261855116e-08,1.898862301175086e-06
locagent_bfs,False,49,29,0.32566922884891586,0.25874744788136106,0.408967049705912,0.275,0.13664826833120808,0.6999167013744273,1.1779945907619549e-09,3.7716593438354485e-08
ids_und,False,49,29,0.3183990271678808,0.2496413494436441,0.407323821187496,0.2796052631578948,0.12937806665017307,0.6845064556434819,1.6707081704954464e-06,4.0096996091890716e-05
ppr_und,False,49,29,0.3162132272244848,0.25989589490804543,0.387280839872379,0.28,0.12719226670677694,0.7176176593086214,9.995305358518771e-08,2.9985916075556313e-06
bfs_und,False,49,29,0.3155334754907234,0.2458020704864547,0.40374859066814994,0.2833333333333333,0.12651251497301558,0.6909620991253644,1.6568287009022242e-07,4.80480323261645e-06
bfs_fwd,False,49,29,0.31390331011391165,0.24451477291961313,0.38424118052108325,0.2534090909090909,0.12488234959620385,0.6817992503123699,0.00011126247930885201,0.0021139871068681882
closure_fwd_trim,False,49,29,0.31390331011391165,0.24451477291961313,0.38424118052108325,0.2534090909090909,0.12488234959620385,0.6817992503123699,0.00011126247930885201,0.0021139871068681882
pagerank,False,49,29,0.3105007723295259,0.25485703107262914,0.3817088400103018,0.27976190476190477,0.12147981181181812,0.7094960433152854,3.256428506722301e-07,8.792356968150212e-06
aider_repomap,False,49,29,0.2938833399020423,0.2375097476074972,0.366281763146541,0.2621909340659341,0.1048623793843345,0.679716784673053,1.8905644526282526e-06,4.3482982410449806e-05
indegree,False,49,29,0.29036732147322875,0.23762228594729118,0.3624183965782138,0.25,0.10134636095552096,0.6847147022074136,4.27072918636795e-07,1.110389588455667e-05
directory,False,49,29,0.27786364073120884,0.2152896471045507,0.35469029494621607,0.25295454545454543,0.08884268021350106,0.6380674718867139,1.894463970596807e-05,0.0003978374338253295
hits_auth,False,49,29,0.2772062428839921,0.22379360975524826,0.3452715810642061,0.25,0.08818528236628437,0.6643065389421074,4.858422900636925e-06,0.00010688530381401235
cosil_bfs,False,49,29,0.25824633518933243,0.19723815458575802,0.3352970035104594,0.23055555555555554,0.06922537467162462,0.6005830903790087,0.0005569554097513779,0.009468241965773425
