method,is_reference,n_prs,n_repos,mean_auc,ci_lo,ci_hi,median_auc,diff_vs_random,a12_vs_random,p_vs_random,p_holm_vs_random
oracle,True,49,29,0.6641100285550834,0.5965648540918004,0.7456657061236249,0.6458333333333334,0.4752400365386395,0.9808413161182841,1.1095728138421754e-09,3.661590285679179e-08
ppr_fwd,False,49,29,0.36153172831819774,0.3001033949902819,0.4329300797383723,0.3625,0.17266173630175388,0.7694710537276135,6.854541024313992e-08,1.919271486807918e-06
robillard,False,49,29,0.3438074324593542,0.268348294229284,0.4339969080590006,0.2835526315789474,0.15493744044291033,0.7107455226988755,1.941897664892167e-08,6.019882761165718e-07
locagent_bfs,False,49,29,0.32911167082161064,0.2610524051520418,0.4123343016987768,0.2833333333333333,0.14024167880516686,0.7055393586005831,8.761347203289915e-11,2.9788580491185712e-09
ids_und,False,49,29,0.3222729687685916,0.25208906614462023,0.41246549509087643,0.2796052631578948,0.1334029767521477,0.6897126197417742,4.2316453250210606e-07,1.0579113312552651e-05
ppr_und,False,49,29,0.3204207837144205,0.2633305875792671,0.39325984327526664,0.28,0.1315507916979766,0.7246980424822991,3.280691866026198e-08,9.514006411475975e-07
bfs_und,False,49,29,0.3192371271724938,0.2486080604502497,0.4084625035564315,0.2833333333333333,0.13036713515604995,0.6951270304039984,2.3005302551837303e-08,6.901590765551191e-07
bfs_fwd,False,49,29,0.3191183097811873,0.24722914737667018,0.39097870464911816,0.3025362318840579,0.1302483177647435,0.6930445647646813,3.140303692848043e-05,0.0006280607385696086
closure_fwd_trim,False,49,29,0.3191183097811873,0.24722914737667018,0.39097870464911816,0.3025362318840579,0.1302483177647435,0.6930445647646813,3.140303692848043e-05,0.0006280607385696086
pagerank,False,49,29,0.31449309777895873,0.2568013389594434,0.38680238754990753,0.27976190476190477,0.1256231057625149,0.7167846730528946,1.814635896236856e-07,4.899516919839512e-06
aider_repomap,False,49,29,0.2972559037108326,0.2396874871200724,0.37090010428356096,0.275,0.10838591169438871,0.6884631403581841,5.076073473012731e-07,1.187085371483127e-05
indegree,False,49,29,0.2938288525293904,0.24032499817524608,0.3656666802606887,0.25,0.10495886051294658,0.6913785922532278,2.7689730936144424e-07,7.19933004339755e-06
hits_auth,False,49,29,0.2806341125877523,0.22639947861771803,0.3505726656809663,0.25,0.09176412057130846,0.668054977092878,3.156930711421346e-06,6.94524756512696e-05
directory,False,49,29,0.279561831517796,0.2164572784699064,0.357231146712068,0.25295454545454543,0.09069183950135216,0.6418159100374844,9.844045782058718e-06,0.00020672496142323308
cosil_bfs,False,49,29,0.26108960511791995,0.2000863338619132,0.3400161722838766,0.23055555555555554,0.07221961310147612,0.6076634735526864,9.255049075936002e-05,0.0016659088336684804
topo_fwd,False,49,29,0.2536833957745687,0.19211491670533953,0.3306755173124808,0.2006756756756757,0.06481340375812485,0.5818408996251562,0.0015608985496591288,0.02341347824488693
bm25,False,49,29,0.25004081613662393,0.18887045285480267,0.32752357962862955,0.17261904761904762,0.0611708241201801,0.5662224073302791,0.09692844416387558,1.0
repograph_k2,False,49,29,0.24729866009408272,0.19299144324968429,0.31666784660184566,0.2,0.05842866807763889,0.6022490628904623,0.0002825359204853488,0.004520574727765581
cochange,False,49,29,0.23967390082579967,0.18235530252744744,0.31073790436931314,0.18333333333333332,0.05080390880935584,0.5593502707205331,0.07318741731499401,0.8782490077799281
closure_fwd,False,49,29,0.23716772705637312,0.17576229493468673,0.317209458955284,0.1852124183006536,0.048297735039929304,0.5616409829237818,0.0030986126029297623,0.04338057644101667
closure_comb,False,49,29,0.22092685920240684,0.16213598013979058,0.2972841517905886,0.17666666666666667,0.03205686718596298,0.5366513952519782,0.24226799384422926,1.0
repograph_k1,False,49,29,0.2114876836744572,0.16926569816201928,0.2648104548807263,0.1905797101449275,0.022617691658013327,0.5414410662224074,0.3792472495957817,1.0
khop1_und,False,49,29,0.2101565421041418,0.1547022026712794,0.2781645726744132,0.18482142857142858,0.021286550087697934,0.5081216159933362,0.664337596669931,1.0
betweenness,False,49,29,0.2067653074422892,0.1625746771129509,0.26413658267144496,0.175,0.017895315425845305,0.5543523531861725,0.15345149304797384,1.0
khop2_und,False,49,29,0.2053052293432374,0.15551566883663864,0.26679708482003284,0.18677785508142652,0.016435237326793545,0.538942107455227,0.2359343993571924,1.0
closeness,False,49,29,0.2036384688173082,0.1542098463632325,0.2661184945998511,0.16666666666666666,0.014768476800864386,0.5285297792586423,0.20486697152718847,1.0
dfs_und,False,49,29,0.202010418789056,0.14581938806119318,0.27461035321161525,0.15666666666666668,0.01314042677261212,0.5049979175343607,0.6907081418404404,1.0
labelprop,False,49,29,0.19812597213415678,0.14443142738584255,0.26946376618522977,0.18000000000000002,0.009255980117712916,0.5049979175343607,0.32278366303394945,1.0
random,True,49,29,0.18886999201644383,0.14282751423017281,0.24925809690150985,0.175,0.0,0.5,1.0,
louvain,False,49,29,0.1857335409770689,0.1364338028651047,0.2415750567755999,0.1264100808555034,-0.0031364510393749726,0.4518950437317784,0.5016016613406558,1.0
whole_repo,True,49,29,0.17270625998612937,0.11352776746934516,0.24442935022246634,0.125,-0.016163732030314504,0.4260724698042482,0.04274245452535652,0.5556519088296348
same_dir,True,49,29,0.16623558238292704,0.10769023337878712,0.24234354549811363,0.07777777777777778,-0.022634409633516837,0.36297376093294464,0.12144219087092079,1.0
bfs_rev,False,49,29,0.09135335675082187,0.05642283000338985,0.13902042941124942,0.025,-0.09751663526562199,0.23698458975426906,9.315215488650921e-05,0.0016659088336684804
closure_rev,False,49,29,0.07896531076468524,0.047637307391668604,0.11762824652120211,0.04901315789473684,-0.10990468125175863,0.2182423990004165,4.946189047846362e-07,1.187085371483127e-05
seed_alone,True,49,29,0.0,0.0,0.0,0.0,-0.18886999201644383,0.0,1.1095728138421754e-09,3.661590285679179e-08
