method,is_reference,n_prs,n_repos,mean_auc,ci_lo,ci_hi,median_auc,diff_vs_random,a12_vs_random,p_vs_random,p_holm_vs_random
oracle,True,49,29,0.6850247398085946,0.6146133084425256,0.7670690564547,0.6983745421245421,0.49765274989560554,0.9841732611411912,1.1098341111028545e-09,3.660728186663817e-08
ppr_fwd,False,49,29,0.34780640135390406,0.2822403111207011,0.4240214105502648,0.3625,0.1604344114409151,0.7386505622657227,7.667143622811656e-07,2.0701287781591472e-05
robillard,False,49,29,0.3455012062199679,0.26976362152145866,0.4349928420415303,0.29,0.1581292163069788,0.7169929196168263,3.1838744973811117e-09,9.551623492143335e-08
locagent_bfs,False,49,29,0.331627123400819,0.2643785130615788,0.4145429732834772,0.3,0.14425513348783,0.7130362349021241,5.268674385661143e-12,1.7913492911247886e-10
ids_und,False,49,29,0.32538879429128115,0.2562935417527185,0.4149836013462038,0.3,0.1380168043782921,0.6997084548104957,1.5437560067693204e-07,4.322516818954097e-06
bfs_und,False,49,29,0.3214701081840652,0.2502555468068818,0.4106691649722913,0.2833333333333333,0.13409811827107615,0.7015826738858809,1.7678445374258445e-09,5.480318066020118e-08
ppr_und,False,49,29,0.3182702524710021,0.2597066525850549,0.39120067822626076,0.28,0.130898262558013,0.7197001249479383,5.441965957234662e-08,1.578170127598052e-06
bfs_fwd,False,49,29,0.31213289813988704,0.2378957870635738,0.3840941298624514,0.2855082417582418,0.12476090822689799,0.6747188671386922,6.231062838020173e-05,0.0011839019392238328
closure_fwd_trim,False,49,29,0.31213289813988704,0.2378957870635738,0.3840941298624514,0.2855082417582418,0.12476090822689799,0.6747188671386922,6.231062838020173e-05,0.0011839019392238328
pagerank,False,49,29,0.3027995117453012,0.2450074163703162,0.37789174150045807,0.25,0.1154275218323121,0.6951270304039984,1.5898336320574608e-06,3.9745840801436524e-05
aider_repomap,False,49,29,0.2920932731531098,0.23524985140172708,0.3669279341474179,0.275,0.10472128324012074,0.6745106205747605,1.2701888177363324e-06,3.302490926114464e-05
