method,is_reference,n_prs,n_repos,mean_auc,ci_lo,ci_hi,median_auc,diff_vs_random,a12_vs_random,p_vs_random,p_holm_vs_random
oracle,True,1156,112,0.7930416975089866,0.7707402189919633,0.8131269333010691,0.8125,0.5459993159619945,0.9889780713832449,1.199136943867765e-190,4.077065609150401e-189
ppr_und,False,1156,112,0.4432370392611978,0.41656240271818923,0.47118362626490384,0.4375,0.1961946577142056,0.7606410363860586,9.081481829858004e-140,2.815259367255981e-138
locagent_bfs,False,1156,112,0.4280463942479735,0.4001601554497582,0.45518853399216425,0.425,0.1810040127009814,0.7477513140407802,1.218525344195956e-142,3.8992811014270594e-141
ppr_fwd,False,1156,112,0.4274365997045843,0.4040781954646781,0.4541559764391558,0.40256076388888884,0.18039421815759213,0.7323214371235977,6.806009596329795e-106,1.7015023990824488e-104
ids_und,False,1156,112,0.41966457235120025,0.39260212574190595,0.4456191435461142,0.40625,0.17262219080420807,0.7329945462817734,1.684407548407227e-132,5.053222645221681e-131
bfs_und,False,1156,112,0.41476101606492155,0.38757147204555875,0.44118155658811625,0.4,0.16771863451792945,0.7253093533362868,1.3691269189706296e-128,3.970468065014826e-127
pagerank,False,1156,112,0.40991132525034435,0.3826691081151413,0.4392830392447454,0.38645833333333335,0.16286894370335223,0.7138380616850852,3.501812754142892e-117,9.454894436185809e-116
indegree,False,1156,112,0.39720911885025006,0.37084211194684724,0.4234514104690077,0.375,0.15016673730325794,0.7066374025694137,3.0966693603068992e-117,8.670674208859318e-116
robillard,False,1156,112,0.396374996319702,0.3669069231165375,0.42362523541245395,0.375,0.14933261477270984,0.6843054441397971,2.6023994656551057e-107,6.766238610703275e-106
bfs_fwd,False,1156,112,0.3926893273474753,0.3697772944861017,0.41795937764249874,0.375,0.1456469458004832,0.6879759282096718,4.245854771619667e-74,8.491709543239334e-73
closure_fwd_trim,False,1156,112,0.3926893273474753,0.3697772944861017,0.41795937764249874,0.375,0.1456469458004832,0.6879759282096718,4.245854771619667e-74,8.491709543239334e-73
aider_repomap,False,1156,112,0.3911475189301722,0.36284678150125793,0.42010246340057444,0.375,0.1441051373831801,0.6871228493432789,3.39686084325105e-99,7.812779939477415e-98
hits_auth,False,1156,112,0.38883526113933575,0.36135377126392043,0.4156782043946913,0.375,0.1417928795923436,0.6929406227176399,2.8447867954297797e-105,6.827488309031471e-104
directory,False,1156,112,0.3556189823930041,0.3252936476759652,0.3843795706450816,0.3275,0.10857660084601199,0.6425633223979598,2.948596849816033e-78,6.19205338461367e-77
bm25,False,1156,112,0.3486969454255771,0.31942445376013306,0.37658940823242637,0.33229166666666665,0.10165456387858499,0.6285567402210223,1.2113827876897563e-54,1.9382124603036102e-53
closeness,False,1156,112,0.34570030005823454,0.3193521506350918,0.3724325098477845,0.3308333333333333,0.09865791851124246,0.634487134972043,4.848131107240339e-57,8.241822882308576e-56
khop1_und,False,1156,112,0.33399999610511616,0.30934323948524345,0.3572642158524055,0.30895833333333333,0.08695761455812402,0.5865702936985908,2.69158880037744e-29,2.6915888003774402e-28
cochange,False,1156,112,0.3323521086526681,0.30400690815714876,0.35939910623877375,0.3125,0.08530972710567598,0.5940901090743645,1.914978729323492e-35,2.2979744751881903e-34
