method,is_reference,n_prs,n_repos,mean_auc,ci_lo,ci_hi,median_auc,diff_vs_random,a12_vs_random,p_vs_random,p_holm_vs_random
oracle,True,1180,112,0.7833946603314119,0.7614465859219948,0.8031409333595151,0.7916666666666666,0.5378541137943101,0.9877901465096237,1.4684461423445178e-194,4.99271688397136e-193
ppr_und,False,1180,112,0.43574817264371263,0.40969657578320257,0.46294790485178305,0.4227588383838384,0.1902076261066109,0.7547583309393853,1.2440875944424114e-143,3.856671542771475e-142
locagent_bfs,False,1180,112,0.4209804612250873,0.3933708146246279,0.4479982172275003,0.4131944444444444,0.17543991468798564,0.7409185578856651,1.3399994982276669e-144,4.287998394328534e-143
ppr_fwd,False,1180,112,0.4172858495175891,0.3936093355535845,0.4433180310527523,0.3875,0.17174530298048749,0.7242900746911807,1.7200003124511518e-103,4.128000749882765e-102
ids_und,False,1180,112,0.41322436587762207,0.3866377065085293,0.4386394168784387,0.4,0.16768381934052046,0.7270457483481758,4.357799072835892e-136,1.3073397218507677e-134
bfs_und,False,1180,112,0.4083311374608257,0.38084712801196685,0.4345933551048174,0.3993055555555555,0.16279059092372403,0.7194929617925884,9.30904558328051e-131,2.699623219151348e-129
pagerank,False,1180,112,0.40286956694919657,0.37631184909579857,0.4312415423683129,0.375,0.1573290204120949,0.7109932490663602,8.670386205551234e-121,2.341004275498833e-119
indegree,False,1180,112,0.39119169483330835,0.36606977291985554,0.416782979975533,0.375,0.14565114829620668,0.7036584314852053,7.923554080678813e-121,2.2185951425900676e-119
robillard,False,1180,112,0.39078687766379844,0.36159900756262964,0.417405379354553,0.375,0.14524633112669674,0.6802133007756391,3.2351084797059135e-109,8.087771199264783e-108
aider_repomap,False,1180,112,0.3830671607542876,0.355650895700624,0.41103754844850615,0.375,0.1375266142171859,0.6814209278942832,5.7415035153252684e-99,1.3205458085248117e-97
hits_auth,False,1180,112,0.38300313603769265,0.3569850843132709,0.40933835925175677,0.375,0.13746258950059098,0.6901001867279517,2.5647705137244866e-109,6.668403335683665e-108
closure_fwd_trim,False,1180,112,0.3828988696759586,0.3608193930197989,0.4066574553248579,0.3625,0.13735832313885687,0.6788738868141339,1.0136160503467762e-70,1.9258704956588748e-69
bfs_fwd,False,1180,112,0.3828988696759586,0.3608193930197989,0.4066574553248579,0.3625,0.13735832313885687,0.6788738868141339,1.0136160503467762e-70,1.9258704956588748e-69
directory,False,1180,112,0.35247549910017956,0.3224925205404324,0.3810543243507033,0.325,0.10693495256307788,0.6407113616776788,8.470181058346383e-83,1.7787380222527405e-81
bm25,False,1180,112,0.3425895708360054,0.31317172482121824,0.3705717980500317,0.3125,0.09704902429890366,0.6238821459350762,5.2199531697885505e-54,8.351925071661681e-53
closeness,False,1180,112,0.34115561343776096,0.3149699697646112,0.3677321160673914,0.32569444444444445,0.09561506690065928,0.633518026429187,2.1897236749144937e-60,3.722530247354639e-59
