method,is_reference,n_prs,n_repos,mean_auc,ci_lo,ci_hi,median_auc,diff_vs_random,a12_vs_random,p_vs_random,p_holm_vs_random
oracle,True,718,112,0.7704086988073067,0.7492197694609568,0.7901479593366467,0.78125,0.5220908334484871,0.9888230227884638,3.304282665544366e-119,1.1234561062850843e-117
ppr_und,False,718,112,0.38763918489813276,0.360042577992107,0.415374457907619,0.375,0.13932131953931315,0.7115992659895563,1.3431189134420281e-79,4.29798052301449e-78
locagent_bfs,False,718,112,0.38104591709960456,0.35259861310197266,0.40989100800195,0.36875,0.13272805174078492,0.6977832263871324,2.1411566171639452e-79,6.63758551320823e-78
robillard,False,718,112,0.37483712826716215,0.3434439838641887,0.4056267250997243,0.3533333333333333,0.1265192629083426,0.6632678594982968,2.184214496659802e-64,6.115800590647446e-63
ids_und,False,718,112,0.37263338181793254,0.34395875289315875,0.40151235843662275,0.3625,0.124315516459113,0.6815958131920143,5.543094675106755e-70,1.6629284025320265e-68
bfs_und,False,718,112,0.3668709388753547,0.33783835458445677,0.39657289905789245,0.3625,0.11855307351653516,0.6723925559236816,1.2690139255824423e-66,3.6801403841890824e-65
bm25,False,718,112,0.35389434669775927,0.32363339086479365,0.3837059644990961,0.33125000000000004,0.10557648133893964,0.6473044901886236,2.7682568944370073e-49,6.366990857205117e-48
pagerank,False,718,112,0.34629763921753626,0.31877968939957785,0.3745880750529803,0.34375,0.09797977385871667,0.6549501090152932,3.630181423182648e-55,9.80148984259315e-54
directory,False,718,112,0.34044589030105016,0.310180288490154,0.3722602632885874,0.3125,0.09212802494223052,0.628980416042706,3.267761237178894e-52,7.842626969229345e-51
indegree,False,718,112,0.33734667420552206,0.31148649118982774,0.36567563460103436,0.325,0.08902880884670242,0.6455936096088639,3.0327331430473667e-53,7.581832857618417e-52
cochange,False,718,112,0.33483489303123826,0.3050254234510272,0.36340645382676356,0.31062500000000004,0.08651702767241867,0.6059979748760485,5.028599220149576e-30,9.051478596269237e-29
aider_repomap,False,718,112,0.3313320094395582,0.3040494812832917,0.3593218511078921,0.3125,0.08301414408073861,0.6311684810018545,7.68889648625157e-44,1.6146682621128298e-42
hits_auth,False,718,112,0.330647002880742,0.3036504565270908,0.36040646348800426,0.3125,0.08232913752192243,0.6316757318766925,1.0806225278478694e-45,2.3773695612653126e-44
ppr_fwd,False,718,112,0.3299340644971772,0.30763926914684686,0.35384244942013154,0.3298611111111111,0.08161619913835758,0.6377928088701981,6.342056543824933e-32,1.2049907433267372e-30
repograph_k2,False,718,112,0.3118245754898036,0.28396784226288707,0.33939478841427073,0.3,0.06350671013098397,0.5971545456661571,2.468919500051752e-40,4.937839000103504e-39
closeness,False,718,112,0.30484404273508137,0.27680571023440464,0.33197003878720854,0.29375,0.05652617737626177,0.591615521294838,1.91413342761511e-24,3.062613484184176e-23
cosil_bfs,False,718,112,0.3041326415729532,0.2767544589147291,0.33069767581254617,0.2829166666666667,0.05581477621413363,0.5814792327806271,1.8484821701733733e-27,3.1424196892947344e-26
betweenness,False,718,112,0.2933874326712787,0.26706665502657606,0.3210165722266955,0.28454545454545455,0.04506956731245907,0.5761865596946021,6.235922224506299e-19,8.730291114308819e-18
bfs_fwd,False,718,112,0.287089238105313,0.26713882776357023,0.30804214376388267,0.2875,0.03877137274649333,0.5720703594788992,1.334664335437557e-10,1.4681307689813125e-09
closure_fwd_trim,False,718,112,0.287089238105313,0.26713882776357023,0.30804214376388267,0.2875,0.03877137274649333,0.5720703594788992,1.334664335437557e-10,1.4681307689813125e-09
repograph_k1,False,718,112,0.2735624401622075,0.2486815215803733,0.2985491210151071,0.24875,0.02524457480338786,0.5286291229894243,6.5137299706395166e-09,5.862356973575565e-08
khop1_und,False,718,112,0.2661897066346222,0.2416569082799435,0.29108439301910655,0.23979166666666665,0.017871841275802547,0.49850152466228537,0.012157082877395885,0.04862833150958354
whole_repo,True,718,112,0.26461986004335325,0.23379676088180978,0.29572757867079674,0.25,0.016301994684533645,0.5173473979872907,0.26415060298510284,0.26415060298510284
khop2_und,False,718,112,0.2637066231278061,0.23603113809498702,0.2918933087729714,0.24166666666666667,0.01538875776898645,0.5188051380731062,1.1102789906588259e-12,1.3323347887905911e-11
closure_comb,False,718,112,0.25196189867803276,0.22637719372472248,0.27755108907451503,0.23932291666666666,0.0036440333192131152,0.5000077590955998,0.0006028672478417035,0.0042200707348919245
labelprop,False,718,112,0.24984910214038744,0.22293215036921857,0.2769837276535425,0.21576704545454545,0.0015312367815677966,0.48376118279653324,0.09814462979791623,0.19628925959583246
random,True,718,112,0.2483178653588196,0.2196182894784772,0.27800736739793036,0.23333333333333334,0.0,0.5,1.0,
dfs_und,False,718,112,0.24453033212582223,0.2165661188426907,0.2730160019673578,0.21375000000000002,-0.003787533232997385,0.4868328147671107,0.05967389816264014,0.17902169448792044
topo_fwd,False,718,112,0.229002316943771,0.2093904650694628,0.2511923700702597,0.225,-0.019315548415048612,0.46773477083511145,0.00520896469716019,0.029862304958153
closure_fwd,False,718,112,0.22379591717561553,0.20401974160500272,0.24517159089359322,0.215625,-0.02452194818320409,0.4596216664985529,0.004977050826358833,0.029862304958153
louvain,False,718,112,0.22145972226932112,0.19914961103237777,0.24509951336653954,0.15,-0.026858143089498528,0.41017682978871983,0.0004936479112187594,0.003949183289750075
