method,is_reference,n_prs,n_repos,mean_auc,ci_lo,ci_hi,median_auc,diff_vs_random,a12_vs_random,p_vs_random,p_holm_vs_random
oracle,True,462,107,0.8035763061632465,0.7766238148560684,0.8284470187326233,0.8333333333333333,0.5623520256737496,0.9860267798579487,1.997808884397758e-77,6.792550206952378e-76
ppr_fwd,False,462,107,0.5530403552419524,0.5196785059188629,0.5871199721826013,0.5,0.3118160747524556,0.8570374430764041,5.349176698051046e-69,1.7117365433763346e-67
bfs_fwd,False,462,107,0.5317978209047974,0.4974977187141031,0.5660974991971832,0.525,0.2905735404153007,0.8429962894248608,1.122062624398526e-64,3.02956908587602e-63
closure_fwd_trim,False,462,107,0.5317978209047974,0.4974977187141031,0.5660974991971832,0.525,0.2905735404153007,0.8429962894248608,1.122062624398526e-64,3.02956908587602e-63
ppr_und,False,462,107,0.5105149544647652,0.474881900366215,0.5465648665051397,0.5,0.2692906739752684,0.8218572552988137,5.270007495508145e-65,1.4756020987422806e-63
pagerank,False,462,107,0.490788710047318,0.4562447284306913,0.5278014928777879,0.5,0.2495644295578213,0.7964360675399637,1.9715634149487726e-64,4.7317521958770544e-63
locagent_bfs,False,462,107,0.48304323759326184,0.4475389598237727,0.5165172502156726,0.475,0.2418189571037651,0.8069399936283053,1.0930617090986317e-65,3.279185127295895e-64
ids_und,False,462,107,0.4763073237885681,0.4428917570525795,0.5086442125101803,0.45729166666666665,0.23508304329907137,0.796831955922865,2.2478576601262947e-66,6.968358746391513e-65
indegree,False,462,107,0.47487291736740056,0.44256549891757324,0.5078268279699748,0.46375000000000005,0.23364863687790377,0.7924256479451285,1.4613150633255807e-65,4.237813683644184e-64
bfs_und,False,462,107,0.47276495257850565,0.4385604362408539,0.5063347331023236,0.45,0.23154067208900891,0.7913621371413578,1.5649147049758353e-64,3.9122867624395884e-63
hits_auth,False,462,107,0.46437045986169817,0.43189985986759166,0.4964603196578337,0.4482142857142857,0.22314617937220138,0.7801929311669571,2.076126095703007e-62,4.775090020116916e-61
aider_repomap,False,462,107,0.4634694089014211,0.42571736151948475,0.5014934660490156,0.4375,0.22224512841192437,0.7590960626674912,1.0041422735278098e-55,2.2091130017611817e-54
khop1_und,False,462,107,0.4203958439030827,0.387716308690668,0.4539423617952624,0.425,0.179171563413586,0.6982768313937145,5.15579643915845e-35,8.24927430265352e-34
robillard,False,462,107,0.4155745834360599,0.3810356061497571,0.44849382577344504,0.375,0.17435030294656317,0.7066467082700849,3.197581633586974e-47,6.714921430532646e-46
topo_fwd,False,462,107,0.4049886207991593,0.3618265590854345,0.44885791287773513,0.36041666666666666,0.16376434030966258,0.6731906261127041,1.2774410936231934e-36,2.171649859159429e-35
closeness,False,462,107,0.39758788132634093,0.3649186247517469,0.4312743735857487,0.375,0.15636360083684417,0.6974124360487997,2.7156187921083557e-38,4.88811382579504e-37
closure_fwd,False,462,107,0.37213380469487334,0.3289343795192085,0.41525786655720215,0.35,0.13090952420537658,0.6571255223852627,1.1486791937878909e-39,2.1824904681969926e-38
directory,False,462,107,0.3711708651559695,0.33277704314155293,0.4113161985555133,0.35,0.1299465846664727,0.6596250070276045,2.295548132293476e-33,3.2137673852108665e-32
betweenness,False,462,107,0.35026259445419267,0.3200228233721229,0.38212800160690463,0.34464285714285714,0.10903831396469595,0.6471299263507055,2.6615096355699516e-24,2.9276605991269467e-23
repograph_k2,False,462,107,0.34732312956981254,0.31185154556254213,0.38351136945471664,0.328125,0.10609884908031575,0.645682239838084,5.225344002440696e-35,8.24927430265352e-34
repograph_k1,False,462,107,0.333560989077198,0.2994433450779006,0.3676877335707736,0.325,0.09233670858770124,0.6231353422911864,1.771698938172967e-26,2.1260387258075606e-25
cosil_bfs,False,462,107,0.33187415227866834,0.29924532130124465,0.3656605133075681,0.325,0.09064987178917164,0.6121980472629823,1.5673022036962655e-21,1.5673022036962654e-20
bm25,False,462,107,0.32502067674782503,0.2879726412480065,0.36368319041542013,0.28125,0.08379639625832828,0.589728453364817,1.1479469094891112e-11,9.18357527591289e-11
cochange,False,462,107,0.32070474011436545,0.2851218495114604,0.35594352869070206,0.253125,0.07948045962486874,0.5727544461310695,9.127088142693324e-11,6.388961699885327e-10
closure_comb,False,462,107,0.31524071142713356,0.27451422241054,0.3569156675092911,0.3,0.0740164309376368,0.5918648451115984,1.9261106862819313e-20,1.7334996176537383e-19
khop2_und,False,462,107,0.2798633821584035,0.24808479951410115,0.3106959452573578,0.275,0.03863910166890677,0.5584532711156087,1.2494795528157038e-10,7.496877316894223e-10
labelprop,False,462,107,0.26482068718756135,0.23511063584653694,0.293562359599359,0.25,0.023596406698064593,0.5134976855756077,0.004999895790857611,0.019999583163430444
whole_repo,True,462,107,0.2619823591702152,0.22882072947784426,0.2960066052729302,0.25,0.02075807868071842,0.5086767489364892,0.23818036812414012,0.7145411043724204
dfs_und,False,462,107,0.25067667401113786,0.2175615356399285,0.28286454243857545,0.225,0.009452393521641077,0.494256104645715,0.49762692164339617,0.9952538432867923
random,True,462,107,0.24122428048949673,0.20950057981523557,0.27452176679168067,0.24125000000000002,0.0,0.5,1.0,
louvain,False,462,107,0.23330892976160308,0.20505120946562264,0.26128180554850305,0.14791666666666664,-0.007915350727893658,0.42851286520117693,0.49893802885724714,0.9952538432867923
same_dir,True,462,107,0.19593445298381065,0.16697406770887716,0.22547910615623434,0.02190193965517241,-0.0452898275056861,0.3507992728771949,8.137085581270513e-06,4.0685427906352564e-05
bfs_rev,False,462,107,0.10337147062022255,0.0787650905483155,0.12901790481001338,0.0,-0.1378528098692742,0.21102256329529057,2.3492046239915806e-32,3.0539660111890546e-31
closure_rev,False,462,107,0.08497283753711364,0.06521882351877464,0.10406315675657975,0.0,-0.15625144295238308,0.19187468375780065,1.1521239745512607e-44,2.3042479491025215e-43
seed_alone,True,462,107,0.0,0.0,0.0,0.0,-0.24122428048949673,0.020562770562770564,2.4916042048439248e-74,8.222293875984952e-73
