method,is_reference,n_prs,n_repos,mean_auc,ci_lo,ci_hi,median_auc,diff_vs_random,a12_vs_random,p_vs_random,p_holm_vs_random
oracle,True,1162,112,0.7893429656157402,0.7669712646218204,0.8092971059395945,0.7993055555555555,0.5421239282425588,0.9890175405334147,1.2629995732824421e-191,4.2941985491603033e-190
ppr_und,False,1162,112,0.44030295268710645,0.41382722818182305,0.46823613716942797,0.4340277777777778,0.19308391531392513,0.7584399560375754,2.7030120942298853e-141,8.379337492112644e-140
locagent_bfs,False,1162,112,0.42575832209957715,0.3981408745084372,0.45220215669891833,0.41874999999999996,0.1785392847263958,0.7448642615705013,2.1270516697589735e-142,6.806565343228715e-141
ppr_fwd,False,1162,112,0.41923908811586225,0.3956814146478633,0.44580804089358134,0.38864087301587297,0.17202005074268095,0.7239984032515605,1.383223829667863e-100,3.3197371912028712e-99
ids_und,False,1162,112,0.41818011040131875,0.39133201176389,0.4438396047025044,0.40625,0.17096107302813743,0.7314981588512891,2.359797838183594e-134,7.079393514550782e-133
bfs_und,False,1162,112,0.41326898489395425,0.38619326561938994,0.4393556127971522,0.4,0.16604994752077296,0.723623656168811,4.320008507618728e-129,1.2528024672094312e-127
pagerank,False,1162,112,0.40422750713342626,0.3774031867232077,0.43252018775695145,0.375,0.15700846976024493,0.7099916755786362,6.675775045697217e-117,1.8024592623382486e-115
robillard,False,1162,112,0.3953725327296932,0.3660997919489252,0.4223495575898916,0.375,0.14815349535651187,0.6828154763139107,2.8069763427987085e-107,7.298138491276642e-106
indegree,False,1162,112,0.39350864447360095,0.36780010490078957,0.41934549341799876,0.375,0.1462896071004196,0.7041808739753703,1.7085286689153608e-117,4.78388027296301e-116
bfs_fwd,False,1162,112,0.3858405820358692,0.3636089942768661,0.410746327796661,0.3625,0.13862154466268792,0.6803296293114429,1.7707793546939638e-69,3.3644807739185313e-68
closure_fwd_trim,False,1162,112,0.3858405820358692,0.3636089942768661,0.410746327796661,0.3625,0.13862154466268792,0.6803296293114429,1.7707793546939638e-69,3.3644807739185313e-68
aider_repomap,False,1162,112,0.38578612180196825,0.3580162159762742,0.41433686355605476,0.375,0.13856708442878696,0.6824710941133603,5.821898747500271e-97,1.3390367119250623e-95
hits_auth,False,1162,112,0.3851665547416334,0.3586713706457461,0.4111569761682752,0.375,0.137947517368452,0.6906029576876476,4.533601774941155e-106,1.1334004437352888e-104
directory,False,1162,112,0.3559083538149581,0.32552283267357013,0.3847034318374706,0.325,0.10868931644177682,0.6429330550626405,1.3896690770257204e-81,2.918305061754013e-80
bm25,False,1162,112,0.3478493297742762,0.3184075656645818,0.3759785060723349,0.328125,0.10063029240109479,0.6291514718821191,1.1905709136239276e-55,1.9049134617982842e-54
closeness,False,1162,112,0.3439405086260604,0.3181833836660036,0.3702963299148221,0.33291666666666664,0.09672147125287911,0.6351918616190851,3.650108314252312e-59,6.205184134228931e-58
cochange,False,1162,112,0.33372890845609066,0.30521077178080247,0.3611914706292533,0.3125,0.08650987108290929,0.5968250923536783,4.4942864506915523e-38,5.3931437408298626e-37
khop1_und,False,1162,112,0.3320675234329546,0.3073998728601754,0.355278582611612,0.3031746031746032,0.08484848605977327,0.5830875752826896,5.051240911630372e-28,5.051240911630372e-27
repograph_k2,False,1162,112,0.32870991535108746,0.3003282482662608,0.3558703862400867,0.3125,0.08149087797790615,0.6182097457940935,1.0354284104331282e-71,2.0708568208662562e-70
betweenness,False,1162,112,0.31879477749941587,0.29304392258261747,0.343778205313596,0.30590277777777775,0.07157574012623454,0.6065166740233617,1.3296990064173657e-40,1.7286087083425753e-39
cosil_bfs,False,1162,112,0.3175938441329864,0.2902860909627378,0.34399561320421734,0.3,0.07037480675980508,0.5950602261517178,2.5020914021749577e-46,3.502927963044941e-45
