method,property,rho,p,n_repos,p_bh
closure_rev,loc_total,0.6933577066320429,2.405180458712433e-17,112,2.3811286541253087e-14
closure_rev,largest_loop,0.637401935448854,4.142765426176369e-14,112,1.6163856093699173e-11
bfs_rev,loc_total,0.6359978815731028,4.8981382102118714e-14,112,1.6163856093699173e-11
bfs_rev,largest_loop,0.6292112722974319,1.0875399170531564e-13,112,2.5923054316992744e-11
closure_fwd_trim,import_edges,0.6260245245737769,1.5710942010298634e-13,112,2.5923054316992744e-11
bfs_fwd,import_edges,0.6260245245737769,1.5710942010298634e-13,112,2.5923054316992744e-11
bfs_fwd,loc_total,0.6171797587726793,4.2675434310609084e-13,112,5.281084995937874e-11
closure_fwd_trim,loc_total,0.6171797587726793,4.2675434310609084e-13,112,5.281084995937874e-11
bfs_fwd,files,0.6019220508512209,2.2266853814790196e-12,112,2.2044185276642293e-10
closure_fwd_trim,files,0.6019220508512209,2.2266853814790196e-12,112,2.2044185276642293e-10
louvain,loc_total,0.5761181535517819,3.006800135727033e-11,112,2.6367713147555218e-09
ppr_fwd,import_edges,0.5754848740291233,3.1960864421279053e-11,112,2.6367713147555218e-09
ppr_fwd,loc_total,0.5713346089452285,4.753217329614749e-11,112,3.6197578125527707e-09
khop1_und,loc_total,0.5662777189325862,7.652268105279554e-11,112,5.411246731590542e-09
ppr_fwd,files,0.5512012819751644,3.020334615238842e-10,112,1.9934208460576354e-08
closure_fwd_trim,indeg_max,0.5327899742872891,1.4761193239364156e-09,112,8.596224298217949e-08
bfs_fwd,indeg_max,0.5327899742872891,1.4761193239364156e-09,112,8.596224298217949e-08
closure_rev,loc_mean,0.5304609286910172,1.792133139042281e-09,112,9.856732264732545e-08
closure_rev,share_in_loops,0.5297663075070778,1.8983377912949642e-09,112,9.891339017800078e-08
closure_fwd,files,0.5276027768770414,2.269289873123851e-09,112,1.1232984871963062e-07
closure_rev,import_edges,0.5201445332780816,4.15887755871808e-09,112,1.8313643683286508e-07
closure_fwd,import_edges,0.5199651480568465,4.219159393635073e-09,112,1.8313643683286508e-07
bfs_rev,share_in_loops,0.5198605805625929,4.254684896117067e-09,112,1.8313643683286508e-07
directory,modularity,0.5177503673078895,5.036063451924994e-09,112,2.07737617391906e-07
topo_fwd,import_edges,0.5147245369507627,6.4005823517093e-09,112,2.534630611276883e-07
topo_fwd,indeg_max,0.5076336278056347,1.1124921834047246e-08,112,4.2360279291179896e-07
bfs_rev,largest_loop_share,0.5034962683916907,1.5270968251061923e-08,112,5.599355025389372e-07
closure_rev,largest_loop_share,0.5017278462463622,1.7462736933919675e-08,112,6.174324844493028e-07
ppr_fwd,indeg_max,0.4999231157663437,2.0008484092980208e-08,112,6.830482500707037e-07
closure_fwd,loc_total,0.49501144633888,2.8863068239195226e-08,112,9.489393873761262e-07
bfs_rev,loc_mean,0.4946185123176274,2.9714263645111025e-08,112,9.489393873761262e-07
louvain,files,0.48815376455373544,4.7684221709171645e-08,112,1.4752306091274978e-06
topo_fwd,loc_total,0.48700755116684324,5.180281456951896e-08,112,1.5540844370855686e-06
topo_fwd,files,0.48215269674145256,7.333166584001147e-08,112,2.13524556416504e-06
bfs_rev,spl_mean,0.47794444254621243,9.868441300415123e-08,112,2.7913591106888493e-06
closure_rev,files,0.47753123384259843,1.0158224753852629e-07,112,2.793511807309473e-06
ppr_und,files,0.47607047569896804,1.1249148765855876e-07,112,3.0099073724857618e-06
bfs_fwd,spl_max,0.47521867875659746,1.1935975262522967e-07,112,3.0299014127942916e-06
closure_fwd_trim,spl_max,0.47521867875659746,1.1935975262522967e-07,112,3.0299014127942916e-06
bfs_fwd,spl_mean,0.47133290053644034,1.560954291163444e-07,112,3.7691335323214873e-06
closure_fwd_trim,spl_mean,0.47133290053644034,1.560954291163444e-07,112,3.7691335323214873e-06
repograph_k1,files,0.4703683934716387,1.6676022721364007e-07,112,3.930776784321516e-06
khop1_und,import_edges,0.4685328424827134,1.890048021718968e-07,112,4.272003135988713e-06
closure_fwd,indeg_max,0.46846593534676445,1.898668060439428e-07,112,4.272003135988713e-06
ppr_und,loc_total,0.4634485939795675,2.663491120136828e-07,112,5.7546375585223856e-06
bfs_rev,import_edges,0.4633904661406392,2.673871996889189e-07,112,5.7546375585223856e-06
louvain,density,-0.46209895103700416,2.9147090692757785e-07,112,6.1394935714532345e-06
ppr_fwd,spl_max,0.45883953427258817,3.6177487151803135e-07,112,7.461606725059397e-06
closure_fwd_trim,density,-0.4579048074623296,3.847436114958465e-07,112,7.61792350761776e-06
bfs_fwd,density,-0.4579048074623296,3.847436114958465e-07,112,7.61792350761776e-06
khop1_und,files,0.45239081737064324,5.511413442676516e-07,112,1.0698626094607355e-05
bfs_fwd,largest_loop,0.4513965470117074,5.87650110124406e-07,112,1.0976860547606828e-05
closure_fwd_trim,largest_loop,0.4513965470117074,5.87650110124406e-07,112,1.0976860547606828e-05
closure_rev,spl_mean,0.450404892882769,6.263451461398589e-07,112,1.1482994345897414e-05
ppr_und,import_edges,0.4500262671586211,6.417486084440387e-07,112,1.1551474951992696e-05
ppr_fwd,n_loops,0.44666837835855383,7.95033613433749e-07,112,1.4055058523203778e-05
ids_und,modularity,0.44320916734214433,9.889605016121816e-07,112,1.7176682396422104e-05
robillard,modularity,0.4420934841288824,1.0605478690813102e-06,112,1.810245500673271e-05
closure_rev,indeg_max,0.43724370127741297,1.4329101406811822e-06,112,2.404374642837916e-05
khop1_und,spl_max,0.43530015501808306,1.6144635275253323e-06,112,2.6350599099278938e-05
bfs_rev,files,0.4352076886810959,1.6236227727838538e-06,112,2.6350599099278938e-05
ppr_fwd,spl_mean,0.42910103529572563,2.35044541780926e-06,112,3.753130586501882e-05
repograph_k1,loc_total,0.42844329791232444,2.4449454743069818e-06,112,3.8001640428763546e-05
repograph_k1,import_edges,0.4283633661561295,2.4566717044857242e-06,112,3.8001640428763546e-05
bfs_und,modularity,0.42594902108176447,2.8370202162803706e-06,112,4.3210000217193344e-05
ppr_und,density,-0.4245566679194998,3.081034207785898e-06,112,4.571003366910671e-05
closure_fwd,density,-0.42448833156797766,3.0935073291213632e-06,112,4.571003366910671e-05
ppr_und,spl_max,0.42054989947646143,3.898801553016298e-06,112,5.676196378656081e-05
ids_und,spl_max,0.4194634366646009,4.153629934402682e-06,112,5.95955599283863e-05
ppr_und,n_loops,0.41773011661660986,4.593016869506905e-06,112,6.49583814401691e-05
closure_fwd_trim,n_loops,0.4166333961746875,4.893330704717204e-06,112,6.728329718986155e-05
bfs_fwd,n_loops,0.4166333961746875,4.893330704717204e-06,112,6.728329718986155e-05
closure_rev,outdeg_max,0.41530022083230334,5.2833787917906425e-06,112,7.101589803004911e-05
locagent_bfs,files,0.4152183667156269,5.308259044670337e-06,112,7.101589803004911e-05
ppr_fwd,density,-0.41319574947893534,5.9593633483690045e-06,112,7.789363723494185e-05
repograph_k1,density,-0.4131359551713534,5.979713565510688e-06,112,7.789363723494185e-05
ids_und,n_loops,0.41260851080540834,6.162085163590637e-06,112,7.922680924616533e-05
bfs_rev,spl_max,0.4117263928835276,6.4788701409115485e-06,112,8.223181332695427e-05
closure_rev,spl_max,0.40795716965800244,8.01376577387821e-06,112,0.00010042567235619528
closure_rev,loc_median,0.40525095157971347,9.320666427618924e-06,112,0.00011534324704178419
bfs_und,files,0.4018109988417793,1.127265847984235e-05,112,0.00013777693697585093
khop1_und,spl_mean,0.39961389961389965,1.271432519622117e-05,112,0.00015350221883242632
ids_und,files,0.3993131863347021,1.2924634369140295e-05,112,0.00015416130151143243
louvain,import_edges,0.3986067748145762,1.3431622786926995e-05,112,0.00015830126856021103
ppr_und,spl_mean,0.3982300884955753,1.370955903653611e-05,112,0.0001596760405431853
locagent_bfs,modularity,0.3975125568045922,1.4254017171368298e-05,112,0.000164086941856449
aider_repomap,files,0.3955066742219006,1.5885946837554617e-05,112,0.00018077111918596633
pagerank,import_edges,0.3949293777792557,1.6387217340247627e-05,112,0.0001843561950777858
bfs_und,n_loops,0.3938385521927802,1.7375228754445815e-05,112,0.00019173120313207336
locagent_bfs,density,-0.39377968360269244,1.743010937564303e-05,112,0.00019173120313207336
pagerank,indeg_max,0.39335999480669903,1.7826112808812518e-05,112,0.0001939324360519164
bfs_rev,loc_median,0.3921214375025427,1.9044625262331995e-05,112,0.00020493672836639863
ppr_und,modularity,0.39120852837667,1.9992384030962095e-05,112,0.00021205462178816874
bfs_und,spl_max,0.3910751755532561,2.0134479240492787e-05,112,0.00021205462178816874
ppr_fwd,largest_loop,0.3898063491359903,2.1534752219180347e-05,112,0.00022237015102728391
bfs_rev,outdeg_max,0.389781413148277,2.156316616022147e-05,112,0.00022237015102728391
betweenness,loc_total,0.389525745720436,2.1856530229858726e-05,112,0.00022307180337690865
bfs_und,density,-0.38176102777872684,3.2773057736820404e-05,112,0.0003310747669331857
closeness,import_edges,0.3793143213784061,3.7157090508026756e-05,112,0.00037157090508026756
khop1_und,largest_loop,0.3789025555196996,3.7946807666633035e-05,112,0.0003740975493058611
