repo_key,best_method,best_auc,random_auc
aiogram/aiogram,aider_repomap,0.4599206349206349,0.22546130952380952
astropy/astropy,robillard,0.4934895833333333,0.03606770833333333
astropy/astroquery,topo_fwd,0.6326388888888889,0.12222222222222222
astropy/photutils,ppr_und,0.6163194444444444,0.23930555555555555
aws-cloudformation/cfn-lint,ppr_fwd,0.47982407407407407,0.079375
beeware/briefcase,pagerank,0.4979613095238095,0.3479146825396825
borgbackup/borg,pagerank,0.47884263553906414,0.2201530612244898
bridgecrewio/checkov,ids_und,0.5905888429752065,0.20493801652892563
canonical/charmcraft,pagerank,0.5555555555555555,0.4152777777777777
cloud-custodian/cloud-custodian,pagerank,0.3986769480519481,0.08529153138528138
conan-io/conan,ppr_fwd,0.37975830675172784,0.16587480063795854
dask/dask,robillard,0.2588568376068376,0.14365384615384616
deepset-ai/haystack,locagent_bfs,0.5996284722222223,0.2901597222222222
django-json-api/django-rest-framework-json-api,bfs_fwd,0.7354166666666666,0.5197916666666667
django/django,ppr_fwd,0.4492893217893218,0.0691753683144812
docker/docker-py,indegree,0.6133101851851852,0.41631944444444446
dpkp/kafka-python,directory,0.45361111111111113,0.2816666666666667
dwavesystems/dimod,robillard,0.5542929292929293,0.44166666666666665
elastic/rally,indegree,0.5712450396825397,0.33564484126984123
ethereum/web3.py,robillard,0.4740740740740741,0.21476851851851853
facelessuser/pymdown-extensions,cochange,0.6273989898989899,0.22386363636363635
falconry/falcon,locagent_bfs,0.4572646604938272,0.27557484567901236
fatal1ty/mashumaro,directory,0.661973063973064,0.5094511784511785
fitbenchmarking/fitbenchmarking,robillard,0.5756875,0.39177083333333335
fonttools/fonttools,cochange,0.3972222222222222,0.05416666666666667
frictionlessdata/frictionless-py,ppr_und,0.5562847222222221,0.34975
genericmappingtools/pygmt,aider_repomap,0.7025462962962963,0.39444444444444443
getsentry/sentry-python,betweenness,0.3848958333333333,0.27716145833333333
google/flax,ppr_fwd,0.3866071428571428,0.15892857142857145
google/mobly,locagent_bfs,0.6717261904761905,0.48541666666666666
googleapis/python-storage,ppr_fwd,0.56875,0.36234848484848486
hgrecco/pint,ppr_fwd,0.5729166666666667,0.42782738095238093
ibis-project/ibis,ppr_fwd,0.3843296568627451,0.1296813725490196
instructlab/instructlab,robillard,0.5727926587301587,0.4270064484126984
ipython/ipython,locagent_bfs,0.3782118055555555,0.1344039351851852
iterative/dvc,ids_und,0.5211174242424242,0.36911300505050504
jackdewinter/pymarkdown,ppr_und,0.481385582010582,0.1748716931216931
jlowin/fastmcp,bfs_und,0.5819791666666666,0.41703124999999996
joke2k/faker,ppr_und,0.7269675925925926,0.07824074074074075
kedro-org/kedro,directory,0.5992424242424242,0.39431818181818185
keras-team/keras,ppr_fwd,0.30949743574743577,0.06241836804336805
kozea/weasyprint,ppr_und,0.49312500000000004,0.23741666666666666
linkml/linkml,ppr_und,0.5473214285714285,0.3530357142857143
