method,true,wrong1,wrong2,wrongrand
ppr_und,0.43574817264371213,0.3482131655452785,0.3537130977468491,0.3385142292190129
locagent_bfs,0.4209804612250872,0.28941406076074694,0.311405895376435,0.26800625486216306
ppr_fwd,0.4172858495175898,0.32242516023811457,0.34107197630446934,0.32024082317923835
ids_und,0.41322436587762196,0.29840621334420103,0.3061879299705132,0.24726803684520626
bfs_und,0.4083311374608251,0.29076825510775367,0.30411822637037084,0.24624542350448358
pagerank,0.4028695669491966,0.3631894522081644,0.4026386649189764,0.3980868102568812
indegree,0.39119169483330835,0.35223380949104266,0.3917443581559492,0.3864551594001185
robillard,0.39078687766379827,0.3038221342356573,0.28500596789539406,0.2290362480760704
aider_repomap,0.3830671607542876,0.3059409590369098,0.32966225617013617,0.31990807290784995
hits_auth,0.3830031360376931,0.34607014997906166,0.3829605243040574,0.37844055451095
bfs_fwd,0.38289886967595826,0.24240180645463924,0.26324043241426504,0.1984134943967518
directory,0.35247549910018,0.2964660213113376,0.2811603244088202,0.26543498171834007
bm25,0.34258957083600544,0.22534050023219176,0.2347017482326756,0.2052107994530717
closeness,0.3411556134377608,0.30694758650605797,0.34035557847752795,0.33723649911586273
cochange,0.32930257892310644,0.010851944246391212,0.0020965251995009116,0.0025863437459041267
khop1_und,0.3265653298702396,0.1663604761244822,0.13061993852125242,0.08700762993406257
repograph_k2,0.3257231619177389,0.22268098006984605,0.2617828313779644,0.21686454071887754
betweenness,0.31565550448797897,0.2870791138537902,0.3161638204031202,0.3126186289354177
cosil_bfs,0.3149941483068858,0.20304611752466298,0.2433708243688264,0.20209635547630445
topo_fwd,0.2979054291312194,0.2163499082611623,0.24586439049823133,0.1919850946405836
repograph_k1,0.29705339744926307,0.16189761743525619,0.17335658707531984,0.12593990503079794
closure_fwd,0.28187397144162984,0.19879705383240692,0.2203136382758696,0.1700370381362348
closure_comb,0.27673716265268083,0.22093560530182996,0.24030648129598395,0.19122189766121528
khop2_und,0.2700324050533455,0.24962377284096116,0.23226220826180463,0.17597719507311838
whole_repo,0.2635872113964129,0.24044381877519366,0.2631889704569144,0.2607322634823762
labelprop,0.2557108583198739,0.21400930110319769,0.21056928853410967,0.15161629704396876
dfs_und,0.24693678123685256,0.23109610742220682,0.2599879374358105,0.21903932289981126
random,0.24554054653710183,0.22350891278124246,0.24509304972683818,0.24217952164523085
louvain,0.22609898825358749,0.16047536941961182,0.1143147043810326,0.08415753191424782
same_dir,0.1976834220918038,0.1473158387080165,0.08862744330627971,0.07006092281195317
bfs_rev,0.15438571263725634,0.13991882878304895,0.09835673862658041,0.08180889461886924
closure_rev,0.12600148660921354,0.12705803702071714,0.0908896625079448,0.07665689729110524
seed_alone,0.0,0.0,0.0,0.0
