instance_id,co_edited_same,symbol_only_committed,symbol_only_rebuilt
django__django-13822,True,[],['django/db/models/options.py']
fitbenchmarking__fitbenchmarking-1462,True,[],['fitbenchmarking/utils/fitbm_result.py']
joke2k__faker-1164,True,[],['faker/generator.py']
keras-team__keras-19903,True,[],['keras/src/api_export.py']
keras-team__keras-19915,True,[],"['keras/src/layers/layer.py', 'keras/src/models/sequential.py']"
mwaskom__seaborn-2576,True,[],['seaborn/axisgrid.py']
narwhals-dev__narwhals-1026,True,['narwhals/utils.py'],[]
narwhals-dev__narwhals-1040,True,"['narwhals/__init__.py', 'narwhals/_pandas_like/__init__.py', 'narwhals/_pandas_like/utils.py']",[]
narwhals-dev__narwhals-1159,True,['narwhals/_polars/utils.py'],[]
narwhals-dev__narwhals-1303,True,"['narwhals/_pandas_like/expr.py', 'narwhals/_pandas_like/namespace.py', 'narwhals/typing.py']",[]
narwhals-dev__narwhals-1475,True,"['narwhals/__init__.py', 'narwhals/_pandas_like/__init__.py', 'narwhals/_pandas_like/utils.py', 'narwhals/series.py', 'narwhals/translate.py']",[]
narwhals-dev__narwhals-1679,True,"['narwhals/_arrow/series.py', 'narwhals/utils.py']",[]
narwhals-dev__narwhals-199,True,"['narwhals/__init__.py', 'narwhals/_pandas_like/__init__.py', 'narwhals/_pandas_like/namespace.py', 'narwhals/_pandas_like/utils.py', 'narwhals/utils.py']",[]
narwhals-dev__narwhals-595,True,"['narwhals/_arrow/series.py', 'narwhals/_pandas_like/series.py', 'narwhals/_pandas_like/utils.py']",[]
narwhals-dev__narwhals-828,True,"['narwhals/_arrow/namespace.py', 'narwhals/_dask/namespace.py', 'narwhals/_pandas_like/namespace.py']",[]
narwhals-dev__narwhals-941,True,"['narwhals/_pandas_like/series.py', 'narwhals/series.py', 'narwhals/stable/v1.py']",[]
narwhals-dev__narwhals-944,True,"['narwhals/_dask/dataframe.py', 'narwhals/_pandas_like/dataframe.py']",[]
narwhals-dev__narwhals-978,True,"['narwhals/__init__.py', 'narwhals/_arrow/__init__.py', 'narwhals/_arrow/series.py', 'narwhals/series.py', 'narwhals/stable/v1.py']",[]
openai__openai-agents-python-1043,True,['src/agents/run_context.py'],[]
openai__openai-agents-python-1193,True,['src/agents/result.py'],[]
openai__openai-agents-python-1601,True,"['src/agents/items.py', 'src/agents/result.py']",[]
openai__openai-agents-python-1633,True,['src/agents/realtime/model_events.py'],[]
projectmesa__mesa-1702,True,['docs/tutorials/MoneyModel.py'],[]
python-telegram-bot__python-telegram-bot-4161,True,"['telegram/ext/_application.py', 'telegram/ext/_updater.py']",[]
python__mypy-19573,True,[],['mypy/errorcodes.py']
pyvista__pyvista-1553,True,[],['pyvista/plotting/plotting.py']
scikit-learn__scikit-learn-10306,True,['sklearn/linear_model/ridge.py'],[]
sdv-dev__SDV-2472,True,[],"['sdv/metadata/multi_table.py', 'sdv/metadata/single_table.py']"
sdv-dev__SDV-2656,True,['sdv/data_processing/data_processor.py'],[]
sqlfluff__sqlfluff-4041,True,[],"['src/sqlfluff/core/parser/segments/base.py', 'src/sqlfluff/core/rules/base.py']"
sqlfluff__sqlfluff-6366,True,['src/sqlfluff/utils/analysis/select.py'],[]
statsmodels__statsmodels-9165,True,"['statsmodels/__init__.py', 'statsmodels/tsa/__init__.py', 'statsmodels/tsa/statespace/__init__.py', 'statsmodels/tsa/statespace/simulation_smoother.py']",[]
statsmodels__statsmodels-9390,True,"['statsmodels/base/data.py', 'statsmodels/base/model.py', 'statsmodels/iolib/summary.py', 'statsmodels/regression/linear_model.py', 'statsmodels/tools/decorators.py', 'statsmodels/tsa/ar_model.py', 'statsmodels/tsa/tsatools.py']",[]
statsmodels__statsmodels-9407,True,"['statsmodels/compat/python.py', 'statsmodels/tools/sm_exceptions.py']",[]
statsmodels__statsmodels-9413,True,"['statsmodels/base/data.py', 'statsmodels/base/model.py', 'statsmodels/base/wrapper.py', 'statsmodels/tools/validation/validation.py', 'statsmodels/tsa/base/tsa_model.py', 'statsmodels/tsa/vector_ar/plotting.py', 'statsmodels/tsa/vector_ar/util.py']",[]
statsmodels__statsmodels-9468,True,"['statsmodels/base/model.py', 'statsmodels/tools/numdiff.py']",[]
sympy__sympy-13177,True,[],['sympy/core/basic.py']
sympy__sympy-21527,True,"['sympy/polys/domains/complexfield.py', 'sympy/polys/domains/domain.py', 'sympy/polys/domains/realfield.py']",[]
sympy__sympy-21596,True,[],['sympy/core/operations.py']
zarr-developers__zarr-python-2512,True,['src/zarr/core/indexing.py'],[]
zarr-developers__zarr-python-2679,True,"['src/zarr/core/metadata/v2.py', 'src/zarr/core/metadata/v3.py']",[]
