repo_key,nontest_py_files,all_py_files,checkout_mb,fetch_seconds,graph_build_seconds,nodes,edges
django-json-api/django-rest-framework-json-api,50.0,87.0,0.5,2.0,0.14,73,119
facelessuser/pymdown-extensions,52.0,90.0,6.1,2.6,0.54,90,89
kozea/weasyprint,66.0,144.0,2.6,2.4,0.91,144,424
hgrecco/pint,72.0,109.0,1.3,2.3,0.58,109,398
materials-consortia/optimade-python-tools,78.0,141.0,2.5,3.3,0.64,141,381
python-cmd2/cmd2,82.0,118.0,2.0,2.2,0.71,118,200
astropy/photutils,94.0,187.0,2.9,2.2,1.16,187,449
narwhals-dev/narwhals,109.0,333.0,2.8,2.7,1.16,333,845
fitbenchmarking/fitbenchmarking,121.0,171.0,144.1,17.5,0.48,171,380
mikedh/trimesh,134.0,248.0,33.0,4.8,1.32,248,804
pytorch/ignite,154.0,267.0,10.4,4.1,1.32,267,761
xonsh/xonsh,160.0,239.0,17.8,4.6,1.23,237,681
rdflib/rdflib,182.0,389.0,44.7,3.4,1.4,389,1116
sphinx-doc/sphinx,215.0,717.0,21.4,3.5,2.82,388,1657
pytorch/torchtune,246.0,428.0,12.6,3.0,1.41,428,1135
qutebrowser/qutebrowser,252.0,450.0,16.9,15.2,2.19,448,2196
streamlink/streamlink,268.0,508.0,3.6,3.8,1.59,504,1361
nltk/nltk,308.0,360.0,8.5,3.4,2.16,360,1008
numba/numba,369.0,782.0,13.6,3.0,6.96,780,3443
matrix-org/synapse,524.0,813.0,32.7,5.0,4.4,782,4586
scikit-learn/scikit-learn,622.0,922.0,21.5,5.1,7.96,921,3961
statsmodels/statsmodels,745.0,1195.0,45.3,8.2,13.21,1191,2987
pylint-dev/pylint,1081.0,2307.0,5.6,3.2,3.83,1417,962
bridgecrewio/checkov,2491.0,4550.0,69.2,10.4,32.12,4549,11043
