option,filter,K,repo_key,tasks
A_swebench,2-10,10,django/django,172
A_swebench,2-10,10,matplotlib/matplotlib,38
A_swebench,2-10,10,mwaskom/seaborn,10
A_swebench,2-10,10,pydata/xarray,34
A_swebench,2-10,10,pylint-dev/pylint,22
A_swebench,2-10,10,pytest-dev/pytest,24
A_swebench,2-10,10,scikit-learn/scikit-learn,46
A_swebench,2-10,10,sphinx-doc/sphinx,48
A_swebench,2-10,10,sympy/sympy,77
A_swebench,2-10,15,django/django,172
A_swebench,2-10,15,matplotlib/matplotlib,38
A_swebench,2-10,15,pydata/xarray,34
A_swebench,2-10,15,pylint-dev/pylint,22
A_swebench,2-10,15,pytest-dev/pytest,24
A_swebench,2-10,15,scikit-learn/scikit-learn,46
A_swebench,2-10,15,sphinx-doc/sphinx,48
A_swebench,2-10,15,sympy/sympy,77
A_swebench,2-10,20,django/django,172
A_swebench,2-10,20,matplotlib/matplotlib,38
A_swebench,2-10,20,pydata/xarray,34
A_swebench,2-10,20,pylint-dev/pylint,22
A_swebench,2-10,20,pytest-dev/pytest,24
A_swebench,2-10,20,scikit-learn/scikit-learn,46
A_swebench,2-10,20,sphinx-doc/sphinx,48
A_swebench,2-10,20,sympy/sympy,77
A_swebench,1-10,10,django/django,840
A_swebench,1-10,10,matplotlib/matplotlib,178
A_swebench,1-10,10,mwaskom/seaborn,21
A_swebench,1-10,10,pydata/xarray,99
A_swebench,1-10,10,pylint-dev/pylint,56
A_swebench,1-10,10,pytest-dev/pytest,116
A_swebench,1-10,10,scikit-learn/scikit-learn,220
A_swebench,1-10,10,sphinx-doc/sphinx,183
A_swebench,1-10,10,sympy/sympy,368
A_swebench,1-10,15,django/django,840
A_swebench,1-10,15,matplotlib/matplotlib,178
A_swebench,1-10,15,mwaskom/seaborn,21
A_swebench,1-10,15,pydata/xarray,99
A_swebench,1-10,15,pylint-dev/pylint,56
A_swebench,1-10,15,pytest-dev/pytest,116
A_swebench,1-10,15,scikit-learn/scikit-learn,220
