option,filter,K,repos_passing,tasks_in_passing,median_tasks_per_repo,repos_K_but_failing_rules,repos_K_not_measured,eligible_without_image,eligible_image_unchecked
A_swebench,2-10,10,9,471,38.0,2,0,0,0
A_swebench,2-10,15,8,461,42.0,1,0,0,0
A_swebench,2-10,20,8,461,42.0,1,0,0,0
A_swebench,1-10,10,9,2081,178.0,3,0,0,0
A_swebench,1-10,15,9,2081,178.0,2,0,0,0
A_swebench,1-10,20,9,2081,178.0,2,0,0,0
B_swebench+gym,2-10,10,17,1032,38.0,4,0,15,0
B_swebench+gym,2-10,15,16,1022,38.5,3,0,15,0
B_swebench+gym,2-10,20,15,1005,39.0,3,0,15,0
B_swebench+gym,1-10,10,17,3392,138.0,6,0,30,0
B_swebench+gym,1-10,15,17,3392,138.0,5,0,30,0
B_swebench+gym,1-10,20,17,3392,138.0,5,0,30,0
C_fresh,2-10,10,43,956,15.0,4,0,0,0
C_fresh,2-10,15,22,723,20.0,2,0,0,0
C_fresh,2-10,20,11,543,35.0,1,0,0,0
C_fresh,1-10,10,105,3217,18.0,60,0,1,0
C_fresh,1-10,15,68,2779,24.0,24,0,1,0
C_fresh,1-10,20,49,2464,36.0,14,0,1,0
D_mixed,2-10,10,49,1438,16.0,6,0,0,0
D_mixed,2-10,15,27,1195,30.0,3,0,0,0
D_mixed,2-10,20,18,1047,38.5,2,0,0,0
D_mixed,1-10,10,109,5298,19.0,63,0,1,0
D_mixed,1-10,15,73,4874,25.0,26,0,1,0
D_mixed,1-10,20,54,4559,40.5,16,0,1,0
D+gym+pro,2-10,10,56,2044,17.0,9,0,15,0
D+gym+pro,2-10,15,34,1801,35.5,6,0,15,0
D+gym+pro,2-10,20,25,1653,40.0,5,0,15,0
D+gym+pro,1-10,10,116,6687,21.0,65,0,31,0
D+gym+pro,1-10,15,80,6263,33.0,30,0,31,0
D+gym+pro,1-10,20,61,5948,42.0,20,0,31,0
