option,filter,K,repos_passing,tasks_in_passing,median_tasks_per_repo,repos_K_but_failing_rules,repos_K_not_measured,eligible_without_image,eligible_image_unchecked
A_swebench,2-10,10,10,497,36.0,1,0,0,0
A_swebench,2-10,15,9,487,38.0,0,0,0,0
A_swebench,2-10,20,9,487,38.0,0,0,0,0
A_swebench,1-10,10,10,2174,147.0,2,0,0,0
A_swebench,1-10,15,10,2174,147.0,1,0,0,0
A_swebench,1-10,20,10,2174,147.0,1,0,0,0
B_swebench+gym,2-10,10,20,1331,38.5,1,0,15,0
B_swebench+gym,2-10,15,19,1321,39.0,0,0,15,0
B_swebench+gym,2-10,20,18,1304,42.5,0,0,15,0
B_swebench+gym,1-10,10,20,4367,158.0,3,0,30,0
B_swebench+gym,1-10,15,20,4367,158.0,2,0,30,0
B_swebench+gym,1-10,20,20,4367,158.0,2,0,30,0
C_fresh,2-10,10,44,975,15.0,3,0,0,0
C_fresh,2-10,15,23,742,19.0,1,0,0,0
C_fresh,2-10,20,11,543,35.0,1,0,0,0
C_fresh,1-10,10,108,3294,18.0,57,0,1,0
C_fresh,1-10,15,69,2831,24.0,23,0,1,0
C_fresh,1-10,20,50,2514,37.0,13,0,1,0
D_mixed,2-10,10,51,1485,16.0,4,0,0,0
D_mixed,2-10,15,29,1242,28.0,1,0,0,0
D_mixed,2-10,20,19,1075,37.0,1,0,0,0
D_mixed,1-10,10,113,5475,19.0,59,0,1,0
D_mixed,1-10,15,75,5026,27.0,24,0,1,0
D_mixed,1-10,20,56,4709,41.5,14,0,1,0
D+gym+pro,2-10,10,60,2375,17.5,5,0,15,0
D+gym+pro,2-10,15,38,2132,35.5,2,0,15,0
D+gym+pro,2-10,20,28,1965,40.5,2,0,15,0
D+gym+pro,1-10,10,120,7745,21.0,61,0,31,0
D+gym+pro,1-10,15,84,7321,35.0,26,0,31,0
D+gym+pro,1-10,20,65,7004,44.0,16,0,31,0
