repo_key,eligible_1_10,eligible_2_10,repo,datasets,tasks_all,date_min,date_max,licence_dataset,provisional_sha,fetch_seconds,measure_seconds,files_total,py_files,nontest_py_files,test_py_files,code_lines_nontest_nonvendor,py_lines_nontest_nonvendor,python_share,vendored_code_lines,generated_code_lines,generated_or_vendored_share,ipynb_files,packaging_files,packaging_paths,licence_files,count_errors,pygount_generated_files,pygount_binary_files,checkout_mb,fork,archived,licence_spdx,description,parent,stargazers_count,topics,measured,R2_python_share,R3_min_files,R5_licence,X_fork,X_notebooks,X_generated_vendored,flag_monorepo_check,passes_R2_R3_R5_X,python_share_b,nontest_py_files_b,passes_variant_b
agronholm/anyio,17,2,agronholm/anyio,swerebench_filtered,17,2021-04-30 19:59:31+00:00,2024-12-15 12:31:54+00:00,MIT License,d14f005c9649a42019f0d3fd4394d1fd66d54d18,2.4,2.4,95.0,62.0,39.0,23.0,6945.0,6945.0,1.0,0.0,0.0,0.0,0.0,1.0,pyproject.toml,LICENSE,0.0,0.0,0.0,0.8,False,False,MIT,High level asynchronous concurrency and networking framework that works on top of either Trio or asyncio,,2546.0,"['async-await', 'asyncio', 'trio']",True,True,False,True,False,False,False,False,False,1.0,39.0,False
aio-libs/yarl,10,2,aio-libs/yarl,swerebench_filtered,10,2023-11-20 15:03:26+00:00,2024-11-30 23:35:27+00:00,Apache License 2.0,65d3aed2f2dd5ca3494d6de2ccdc150422e09ca2,2.4,2.6,85.0,33.0,19.0,14.0,2197.0,1845.0,0.8398,0.0,0.0,0.0,0.0,1.0,pyproject.toml,LICENSE,0.0,1.0,0.0,0.5,False,False,Apache-2.0,Yet another URL library,,1497.0,"['aiohttp', 'hacktoberfest', 'url-parsing', 'urls']",True,True,False,True,False,False,False,False,False,1.0,19.0,False
aiogram/aiogram,18,7,aiogram/aiogram,swebench_live_full;swerebench_filtered,20,2021-08-08 16:17:44+00:00,2025-04-15 22:46:44+00:00,MIT License,20d36a2ab8a21eeff2f360f73b14b99d5e397762,3.1,5.0,2486.0,860.0,602.0,258.0,29441.0,29441.0,1.0,0.0,0.0,0.0,0.0,1.0,pyproject.toml,LICENSE,0.0,1.0,0.0,9.0,False,False,MIT,aiogram is a modern and fully asynchronous framework for Telegram Bot API written in Python using asyncio,,5866.0,"['aiogram', 'asyncio', 'bot', 'bot-framework', 'python', 'telegram-bot', 'telegram-bot-api']",True,True,True,True,False,False,False,False,True,1.0,602.0,True
ansible/ansible,72,40,ansible/ansible,swebench_pro,96,,,,6198c7377f545207218fe8eb2e3cfa9673ff8f5e,22.3,10.1,5615.0,1754.0,1386.0,366.0,127443.0,109459.0,0.8589,18.0,0.0,0.0001,0.0,5.0,lib/ansible/modules/setup.py;pyproject.toml;test/integration/targets/collections_runtime_pythonpath/ansible-collection-python-dist-boo/pyproject.toml;test/integration/targets/pip/files/sample-project/pyproject.toml;test/integration/targets/pip/files/setup.py,COPYING;licenses/Apache-License.txt;licenses/BSD-3-Clause.txt;licenses/MIT-license.txt;licenses/PSF-license.txt;licenses/simplified_bsd.txt,0.0,0.0,0.0,15.2,False,False,GPL-3.0,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com.",,70757.0,"['ansible', 'python']",True,True,True,True,False,False,False,True,True,0.9444,572.0,True
asottile/pyupgrade,33,2,asottile/pyupgrade,swerebench_filtered,33,2017-03-13 22:27:20+00:00,2024-03-24 17:04:13+00:00,MIT License,3e4103f24bfd10701d1913f7cc969b44fe165525,2.6,0.7,109.0,99.0,47.0,52.0,3776.0,3776.0,1.0,0.0,0.0,0.0,0.0,1.0,setup.py,LICENSE,0.0,0.0,0.0,0.4,False,False,MIT,A tool (and pre-commit hook) to automatically upgrade syntax for newer versions of the language.,,4111.0,"['linter', 'pre-commit', 'python']",True,True,False,True,False,False,False,False,False,1.0,47.0,False
astropy/astropy,100,28,astropy/astropy,swebench_full;swerebench_filtered,102,2017-12-07 00:01:14+00:00,2025-04-11 14:33:48+00:00,"BSD 3-Clause ""New"" or ""Revised"" License",92b38aebbba6422890f1023031558f6df738e2a5,6.0,24.0,1891.0,945.0,505.0,429.0,196835.0,85405.0,0.4339,5336.0,0.0,0.0264,0.0,2.0,pyproject.toml;setup.py,LICENSE.rst;licenses/AURA_LICENSE.rst;licenses/CONFIGOBJ_LICENSE.rst;licenses/DATATABLES_LICENSE.rst;licenses/ERFA.rst;licenses/EXPAT_LICENSE.rst;licenses/GATSPY_LICENSE.rst;licenses/JQUERY_LICENSE.rst;licenses/NUMPY_LICENSE.rst;licenses/PLY_LICENSE.rst;licenses/POSITIONAL_DEFAULTS.rst;licenses/PYFITS.rst;licenses/PYTHON.rst;licenses/README.rst;licenses/WCSLIB_LICENSE.rst,0.0,12.0,0.0,28.7,False,False,BSD-3-Clause,Astronomy and astrophysics core library,,5311.0,"['astronomy', 'astrophysics', 'astropy', 'python', 'science']",True,False,True,True,False,False,False,False,False,0.8811,505.0,True
astropy/astroquery,12,1,astropy/astroquery,swerebench_filtered,12,2019-11-11 10:20:57+00:00,2025-03-26 16:32:21+00:00,"BSD 3-Clause ""New"" or ""Revised"" License",f3f44261e811f690690eed8c2073d0a91e9eca81,4.8,1.6,979.0,518.0,249.0,269.0,25355.0,25355.0,1.0,0.0,0.0,0.0,0.0,2.0,pyproject.toml;setup.py,LICENSE.rst;licenses/README.rst;licenses/SCHEMA.rst,0.0,2.0,0.0,24.2,False,False,BSD-3-Clause,Functions and classes to access online data resources. Maintainers: @keflavich and @bsipocz,,792.0,"['astronomy', 'astropy', 'astropy-affiliated', 'closember', 'python']",True,True,True,True,False,False,False,False,True,1.0,249.0,True
astropy/photutils,12,3,astropy/photutils,swerebench_filtered,12,2022-02-09 17:27:42+00:00,2024-12-30 09:20:06+00:00,"BSD 3-Clause ""New"" or ""Revised"" License",3d06161529624d7d3e886bb46d22aa99dcd015b5,2.2,1.3,299.0,187.0,94.0,91.0,13036.0,12517.0,0.9602,159.0,0.0,0.0121,0.0,1.0,pyproject.toml,LICENSE.rst,0.0,0.0,0.0,2.9,False,False,BSD-3-Clause,Astropy package for source detection and photometry. Maintainer: @larrybradley,,309.0,"['astronomy', 'astropy', 'astropy-affiliated', 'photometry', 'python', 'source-detection']",True,True,True,True,False,False,False,False,True,1.0,94.0,True
aws-cloudformation/cfn-lint,94,35,aws-cloudformation/cfn-lint,swebench_live_full,109,2024-06-20 13:19:52+00:00,2025-08-26 18:22:09+00:00,,89ea045335200022a08aefa933beaa9b4c73e10d,3.5,7.0,7128.0,2504.0,2180.0,324.0,21108.0,21079.0,0.9986,0.0,0.0,0.0,0.0,1.0,pyproject.toml,LICENSE,0.0,0.0,0.0,32.9,False,False,MIT-0,CloudFormation Linter,,2640.0,"['aws', 'aws-cloudformation', 'cfn-lint', 'cloudformation', 'linter']",True,True,True,True,False,False,False,False,True,0.9986,2091.0,True
azure/azure-cli,10,6,Azure/azure-cli,swerebench_filtered,10,2017-01-26 00:16:00+00:00,2017-08-18 19:52:45+00:00,MIT License,85c0e4c8fb21e26a4984cad3b21a5e22a6a8b92b,5.8,3.4,1406.0,782.0,631.0,151.0,54239.0,54016.0,0.9959,0.0,0.0,0.0,0.0,41.0,doc/authoring_command_modules/example_module_template/setup.py;scripts/setup.py;src/azure-cli-command_modules-nspkg/setup.py;src/azure-cli-core/setup.py;src/azure-cli-nspkg/setup.py;src/azure-cli-testsdk/setup.py;src/azure-cli/setup.py;src/command_modules/azure-cli-acr/setup.py;src/command_modules/azure-cli-acs/setup.py;src/command_modules/azure-cli-appservice/setup.py,LICENSE.txt,0.0,1.0,0.0,37.0,False,False,MIT,Azure Command-Line Interface,,4638.0,"['azure', 'azure-cli', 'cloud']",True,True,True,True,False,False,False,True,True,0.9959,631.0,True
