option,filter,K,size,source,repos
A_swebench,1-10,10,large,swebench,3.0
A_swebench,1-10,10,medium,swebench,3.0
A_swebench,1-10,10,small,swebench,3.0
A_swebench,1-10,10,tercile_cuts,192/806 files,
A_swebench,1-10,15,large,swebench,3.0
A_swebench,1-10,15,medium,swebench,3.0
A_swebench,1-10,15,small,swebench,3.0
A_swebench,1-10,15,tercile_cuts,192/806 files,
A_swebench,1-10,20,large,swebench,3.0
A_swebench,1-10,20,medium,swebench,3.0
A_swebench,1-10,20,small,swebench,3.0
A_swebench,1-10,20,tercile_cuts,192/806 files,
A_swebench,2-10,10,large,swebench,3.0
A_swebench,2-10,10,medium,swebench,3.0
A_swebench,2-10,10,small,swebench,3.0
A_swebench,2-10,10,tercile_cuts,192/806 files,
A_swebench,2-10,15,large,swebench,3.0
A_swebench,2-10,15,medium,swebench,2.0
A_swebench,2-10,15,small,swebench,3.0
A_swebench,2-10,15,tercile_cuts,351/838 files,
A_swebench,2-10,20,large,swebench,3.0
A_swebench,2-10,20,medium,swebench,2.0
A_swebench,2-10,20,small,swebench,3.0
A_swebench,2-10,20,tercile_cuts,351/838 files,
B_swebench+gym,1-10,10,large,other,1.0
B_swebench+gym,1-10,10,large,swebench,5.0
B_swebench+gym,1-10,10,medium,other,5.0
B_swebench+gym,1-10,10,medium,swebench,0.0
B_swebench+gym,1-10,10,small,other,2.0
B_swebench+gym,1-10,10,small,swebench,4.0
B_swebench+gym,1-10,10,tercile_cuts,221/584 files,
B_swebench+gym,1-10,15,large,other,1.0
B_swebench+gym,1-10,15,large,swebench,5.0
B_swebench+gym,1-10,15,medium,other,5.0
B_swebench+gym,1-10,15,medium,swebench,0.0
B_swebench+gym,1-10,15,small,other,2.0
B_swebench+gym,1-10,15,small,swebench,4.0
B_swebench+gym,1-10,15,tercile_cuts,221/584 files,
B_swebench+gym,1-10,20,large,other,1.0
B_swebench+gym,1-10,20,large,swebench,5.0
B_swebench+gym,1-10,20,medium,other,5.0
B_swebench+gym,1-10,20,medium,swebench,0.0
B_swebench+gym,1-10,20,small,other,2.0
B_swebench+gym,1-10,20,small,swebench,4.0
B_swebench+gym,1-10,20,tercile_cuts,221/584 files,
B_swebench+gym,2-10,10,large,other,1.0
B_swebench+gym,2-10,10,large,swebench,5.0
B_swebench+gym,2-10,10,medium,other,5.0
B_swebench+gym,2-10,10,medium,swebench,0.0
B_swebench+gym,2-10,10,small,other,2.0
B_swebench+gym,2-10,10,small,swebench,4.0
B_swebench+gym,2-10,10,tercile_cuts,221/584 files,
B_swebench+gym,2-10,15,large,other,1.0
B_swebench+gym,2-10,15,large,swebench,4.0
B_swebench+gym,2-10,15,medium,other,4.0
B_swebench+gym,2-10,15,medium,swebench,1.0
B_swebench+gym,2-10,15,small,other,3.0
B_swebench+gym,2-10,15,small,swebench,3.0
B_swebench+gym,2-10,15,tercile_cuts,232/622 files,
B_swebench+gym,2-10,20,large,other,1.0
