dataset,compressed_GB
swebench_full,1.527539264
swebench_full,1.096562916
swebench_full,1.151813411
swebench_full,3.575364699
swebench_full,1.14203519
swebench_full,1.068318748
swebench_full,1.541640656
swebench_full,1.979811776
swegym,2.42058459
swegym,
swegym,
swegym,1.151524546
swegym,8.183947224
swegym,1.084748804
swegym,3.202831117
swegym,1.08977848
swebench_live_full,0.571261956
swebench_live_full,0.501107691
swebench_live_full,0.559203317
swebench_live_full,0.534765481
swebench_live_full,0.742208967
swebench_live_full,0.596767454
swebench_live_full,0.498962094
swebench_live_full,0.58381734
swerebench_filtered,1.365352014
swerebench_filtered,1.541965015
swerebench_filtered,2.241393681
swerebench_filtered,2.259436101
swerebench_filtered,2.494487429
swerebench_filtered,2.012207108
swerebench_filtered,2.900429094
swerebench_filtered,1.310154359
swebench_pro,0.965891384
swebench_pro,0.698097216
swebench_pro,0.543874985
swebench_pro,0.521378346
swebench_pro,0.575638042
swebench_pro,0.537726808
swebench_pro,0.543165584
swebench_pro,0.818322449
