dataset,files,line_cap,eligible,repos_10plus,repos_15plus
swebench_full,2-10,50,326,11,6
swebench_full,2-10,100,445,11,9
swebench_full,2-10,200,511,11,9
swebench_full,2-10,300,533,11,9
swebench_full,2-10,500,541,11,9
swebench_full,2-10,none,545,11,9
swebench_full,1-10,50,1921,11,11
swebench_full,1-10,100,2135,12,11
swebench_full,1-10,200,2228,12,11
swebench_full,1-10,300,2257,12,11
swebench_full,1-10,500,2265,12,11
swebench_full,1-10,none,2269,12,11
swebench_verified,2-10,50,51,1,1
swebench_verified,2-10,100,64,1,1
swebench_verified,2-10,200,68,1,1
swebench_verified,2-10,300,69,1,1
swebench_verified,2-10,500,69,1,1
swebench_verified,2-10,none,69,1,1
swebench_verified,1-10,50,474,8,8
swebench_verified,1-10,100,492,8,8
swebench_verified,1-10,200,497,9,8
swebench_verified,1-10,300,499,9,8
swebench_verified,1-10,500,499,9,8
swebench_verified,1-10,none,499,9,8
swebench_lite,2-10,50,0,0,0
swebench_lite,2-10,100,0,0,0
swebench_lite,2-10,200,0,0,0
swebench_lite,2-10,300,0,0,0
swebench_lite,2-10,500,0,0,0
swebench_lite,2-10,none,0,0,0
swebench_lite,1-10,50,292,6,6
swebench_lite,1-10,100,300,6,6
swebench_lite,1-10,200,300,6,6
swebench_lite,1-10,300,300,6,6
swebench_lite,1-10,500,300,6,6
swebench_lite,1-10,none,300,6,6
swegym,2-10,50,516,10,9
swegym,2-10,100,719,10,10
swegym,2-10,200,858,10,10
swegym,2-10,300,901,10,10
swegym,2-10,500,923,11,10
swegym,2-10,none,936,11,10
swegym,1-10,50,1833,11,11
swegym,1-10,100,2087,11,11
swegym,1-10,200,2245,11,11
swegym,1-10,300,2293,11,11
swegym,1-10,500,2317,11,11
swegym,1-10,none,2331,11,11
swebench_live_full,2-10,50,347,9,3
swebench_live_full,2-10,100,511,11,9
swebench_live_full,2-10,200,610,14,10
swebench_live_full,2-10,300,640,15,10
swebench_live_full,2-10,500,673,18,11
swebench_live_full,2-10,none,692,18,11
swebench_live_full,1-10,50,1312,35,23
swebench_live_full,1-10,100,1568,37,27
swebench_live_full,1-10,200,1710,45,28
swebench_live_full,1-10,300,1750,46,29
swebench_live_full,1-10,500,1786,46,29
swebench_live_full,1-10,none,1809,47,30
swerebench_filtered,2-10,50,1577,15,8
swerebench_filtered,2-10,100,2036,24,10
swerebench_filtered,2-10,200,2253,32,12
swerebench_filtered,2-10,300,2303,33,12
swerebench_filtered,2-10,500,2321,34,12
swerebench_filtered,2-10,none,2324,34,12
swerebench_filtered,1-10,50,5426,97,51
swerebench_filtered,1-10,100,6124,115,55
swerebench_filtered,1-10,200,6422,126,66
swerebench_filtered,1-10,300,6487,128,67
swerebench_filtered,1-10,500,6509,130,67
swerebench_filtered,1-10,none,6513,130,67
swebench_pro,2-10,50,51,3,2
swebench_pro,2-10,100,99,3,3
swebench_pro,2-10,200,120,3,3
swebench_pro,2-10,300,140,3,3
swebench_pro,2-10,500,150,3,3
swebench_pro,2-10,none,162,3,3
swebench_pro,1-10,50,105,3,3
swebench_pro,1-10,100,183,3,3
swebench_pro,1-10,200,214,3,3
swebench_pro,1-10,300,239,3,3
swebench_pro,1-10,500,251,3,3
swebench_pro,1-10,none,266,3,3
locbench_v1,2-10,50,32,0,0
locbench_v1,2-10,100,59,0,0
locbench_v1,2-10,200,78,0,0
locbench_v1,2-10,300,86,0,0
locbench_v1,2-10,500,88,0,0
locbench_v1,2-10,none,92,0,0
locbench_v1,1-10,50,437,13,5
locbench_v1,1-10,100,499,14,8
locbench_v1,1-10,200,538,15,10
locbench_v1,1-10,300,553,15,10
locbench_v1,1-10,500,556,15,11
locbench_v1,1-10,none,560,15,11
