repo_key,datasets,n_datasets
matplotlib/matplotlib,locbench_v1;swebench_full;swebench_lite;swebench_live_full;swebench_verified;swerebench_filtered,6
sphinx-doc/sphinx,locbench_v1;swebench_full;swebench_lite;swebench_live_full;swebench_verified;swerebench_filtered,6
sympy/sympy,locbench_v1;swebench_full;swebench_lite;swebench_live_full;swebench_verified;swerebench_filtered,6
pydata/xarray,swebench_full;swebench_lite;swebench_live_full;swebench_verified;swerebench_filtered,5
pylint-dev/pylint,locbench_v1;swebench_full;swebench_lite;swebench_live_full;swebench_verified,5
astropy/astropy,swebench_full;swebench_lite;swebench_verified;swerebench_filtered,4
psf/requests,swebench_full;swebench_lite;swebench_live_full;swebench_verified,4
pallets/flask,swebench_full;swebench_lite;swebench_live_full;swebench_verified,4
scikit-learn/scikit-learn,locbench_v1;swebench_full;swebench_lite;swebench_verified,4
pytest-dev/pytest,swebench_full;swebench_lite;swebench_live_full;swebench_verified,4
django/django,locbench_v1;swebench_full;swebench_lite;swebench_verified,4
conan-io/conan,locbench_v1;swebench_live_full;swegym;swerebench_filtered,4
iterative/dvc,locbench_v1;swebench_live_full;swegym;swerebench_filtered,4
delgan/loguru,locbench_v1;swebench_live_full;swerebench_filtered,3
dask/dask,locbench_v1;swegym;swerebench_filtered,3
facebookresearch/hydra,swebench_live_full;swegym;swerebench_filtered,3
modin-project/modin,locbench_v1;swegym;swerebench_filtered,3
yt-dlp/yt-dlp,locbench_v1;swebench_live_full;swerebench_filtered,3
mwaskom/seaborn,swebench_full;swebench_lite;swebench_verified,3
networkx/networkx,locbench_v1;swebench_live_full;swerebench_filtered,3
python/mypy,locbench_v1;swebench_live_full;swegym,3
pandas-dev/pandas,locbench_v1;swegym;swerebench_filtered,3
mesonbuild/meson,locbench_v1;swebench_live_full;swerebench_filtered,3
kedro-org/kedro,locbench_v1;swebench_live_full;swerebench_filtered,3
certbot/certbot,locbench_v1;swebench_live_full;swerebench_filtered,3
bridgecrewio/checkov,locbench_v1;swebench_live_full;swerebench_filtered,3
celery/django-celery-beat,locbench_v1;swebench_live_full,2
casbin/pycasbin,swebench_live_full;swerebench_filtered,2
arviz-devs/arviz,swebench_live_full;swerebench_filtered,2
azuread/microsoft-authentication-library-for-python,locbench_v1;swerebench_filtered,2
facelessuser/pymdown-extensions,swebench_live_full;swerebench_filtered,2
encode/starlette,swebench_live_full;swerebench_filtered,2
ds4sd/docling,locbench_v1;swerebench_filtered,2
dpkp/kafka-python,swebench_live_full;swerebench_filtered,2
falconry/falcon,swebench_live_full;swerebench_filtered,2
feast-dev/feast,locbench_v1;swebench_live_full,2
feature-engine/feature_engine,swebench_live_full;swerebench_filtered,2
fsspec/filesystem_spec,swebench_live_full;swerebench_filtered,2
hgrecco/pint,swebench_live_full;swerebench_filtered,2
home-assistant/core,locbench_v1;swerebench_filtered,2
huggingface/smolagents,swebench_live_full;swerebench_filtered,2
hynek/structlog,swebench_live_full;swerebench_filtered,2
geopandas/geopandas,swebench_live_full;swerebench_filtered,2
getmoto/moto,locbench_v1;swegym,2
gitpython-developers/gitpython,locbench_v1;swebench_live_full,2
graphistry/pygraphistry,swebench_live_full;swerebench_filtered,2
ipython/ipython,swebench_live_full;swerebench_filtered,2
internetarchive/openlibrary,locbench_v1;swebench_pro,2
bokeh/bokeh,swegym;swerebench_filtered,2
berriai/litellm,locbench_v1;swebench_live_full,2
beetbox/beets,swebench_live_full;swerebench_filtered,2
beeware/briefcase,swebench_live_full;swerebench_filtered,2
cloud-custodian/cloud-custodian,swebench_live_full;swerebench_filtered,2
celery/kombu,swebench_live_full;swerebench_filtered,2
deepset-ai/haystack,swebench_live_full;swerebench_filtered,2
crossgl/crosstl,locbench_v1;swerebench_filtered,2
django/asgiref,swebench_live_full;swerebench_filtered,2
django-json-api/django-rest-framework-json-api,swebench_live_full;swerebench_filtered,2
albumentations-team/albumentations,locbench_v1;swebench_live_full,2
ansible/ansible,locbench_v1;swebench_pro,2
arrow-py/arrow,swebench_live_full;swerebench_filtered,2
aiogram/aiogram,swebench_live_full;swerebench_filtered,2
mlflow/mlflow,locbench_v1;swerebench_filtered,2
mikedh/trimesh,swebench_live_full;swerebench_filtered,2
