repo_key,python_share,nontest_py_files,python_share_b,nontest_py_files_b,R2_a,R2_b,R3_a,R3_b
agronholm/anyio,1.0,39.0,1.0,39,True,True,False,False
aio-libs/yarl,0.8398,19.0,1.0,19,True,True,False,False
aiogram/aiogram,1.0,602.0,1.0,602,True,True,True,True
ansible/ansible,0.8589,1386.0,0.9444,572,True,True,True,True
asottile/pyupgrade,1.0,47.0,1.0,47,True,True,False,False
astropy/astropy,0.4339,505.0,0.8811,505,False,True,True,True
astropy/astroquery,1.0,249.0,1.0,249,True,True,True,True
astropy/photutils,0.9602,94.0,1.0,94,True,True,True,True
aws-cloudformation/cfn-lint,0.9986,2180.0,0.9986,2091,True,True,True,True
azure/azure-cli,0.9959,631.0,0.9959,631,True,True,True,True
beetbox/beets,0.7973,122.0,0.7915,113,False,False,True,True
beeware/briefcase,1.0,76.0,1.0,76,True,True,True,True
bids-standard/pybids,0.9842,45.0,0.9842,45,True,True,False,False
bokeh/bokeh,0.3064,931.0,0.4008,931,False,False,True,True
borgbackup/borg,0.8664,147.0,0.9738,147,True,True,True,True
bridgecrewio/checkov,0.9478,2491.0,0.9492,2491,True,True,True,True
burnash/gspread,1.0,11.0,1.0,11,True,True,False,False
canonical/charmcraft,0.9815,81.0,0.9815,81,True,True,True,True
canonical/operator,0.9968,29.0,0.9966,23,True,True,False,False
cekit/cekit,1.0,50.0,1.0,46,True,True,True,False
cloud-custodian/cloud-custodian,0.994,626.0,0.994,626,True,True,True,True
conan-io/conan,1.0,508.0,1.0,363,True,True,True,True
core-gatech-group/serpent-tools,0.2527,48.0,0.2527,48,False,False,False,False
cwacek/python-jsonschema-objects,1.0,15.0,1.0,15,True,True,False,False
dask/dask,0.9957,183.0,0.9957,183,True,True,True,True
deepset-ai/haystack,0.9995,265.0,0.9995,238,True,True,True,True
delgan/loguru,0.8824,20.0,0.988,20,True,True,False,False
django-json-api/django-rest-framework-json-api,1.0,50.0,1.0,50,True,True,True,True
django/django,0.9749,870.0,0.9739,862,True,True,True,True
dlr-eoc/ukis-pysat,1.0,7.0,1.0,7,True,True,False,False
docker/docker-py,0.9952,69.0,0.9952,69,True,True,True,True
dpkp/kafka-python,1.0,125.0,1.0,120,True,True,True,True
dwavesystems/dimod,0.7988,56.0,0.8034,56,False,True,True,True
dwavesystems/dwave-cloud-client,0.9963,49.0,0.9963,49,True,True,False,False
elastic/rally,0.9707,63.0,0.9707,63,True,True,True,True
encode/httpx,1.0,23.0,1.0,23,True,True,False,False
encode/starlette,1.0,34.0,1.0,34,True,True,False,False
ethereum/web3.py,0.9982,172.0,0.9982,172,True,True,True,True
facebookresearch/hydra,0.9754,232.0,0.9758,232,True,True,True,True
facelessuser/pymdown-extensions,0.921,52.0,0.921,52,True,True,True,True
falconry/falcon,0.9547,154.0,0.9926,154,True,True,True,True
fatal1ty/mashumaro,0.9933,76.0,0.9981,76,True,True,True,True
feder-observatory/stellarphot,1.0,47.0,1.0,47,True,True,False,False
fitbenchmarking/fitbenchmarking,0.9175,121.0,0.9175,121,True,True,True,True
fonttools/fonttools,1.0,357.0,1.0,357,True,True,True,True
frictionlessdata/frictionless-py,0.9503,249.0,0.9503,249,True,True,True,True
fsspec/filesystem_spec,0.9995,47.0,0.9995,47,True,True,False,False
genericmappingtools/pygmt,0.9935,167.0,0.9935,167,True,True,True,True
geopandas/geopandas,0.9969,45.0,0.9969,45,True,True,False,False
getmoto/moto,0.9989,1204.0,0.999,1203,True,True,True,True
getsentry/responses,0.9901,5.0,0.9901,5,True,True,False,False
getsentry/sentry-python,0.9942,155.0,0.9942,155,True,True,True,True
google/flax,0.9939,219.0,0.9942,219,True,True,True,True
google/mobly,1.0,50.0,1.0,50,True,True,True,True
googleapis/python-storage,0.9556,160.0,0.9556,160,True,True,True,True
hgrecco/pint,1.0,72.0,1.0,72,True,True,True,True
hylang/hy,1.0,24.0,1.0,24,True,True,False,False
hynek/structlog,1.0,23.0,1.0,23,True,True,False,False
iamconsortium/nomenclature,1.0,21.0,1.0,21,True,True,False,False
ibis-project/ibis,0.9429,195.0,0.9429,195,True,True,True,True
instructlab/instructlab,0.8736,108.0,0.8736,108,True,True,True,True
internetarchive/openlibrary,0.7061,262.0,0.7061,262,False,False,True,True
ipython/ipython,0.9903,183.0,0.9903,183,True,True,True,True
iterative/dvc,1.0,257.0,1.0,257,True,True,True,True
jackdewinter/pymarkdown,0.9981,244.0,1.0,203,True,True,True,True
jlowin/fastmcp,1.0,157.0,1.0,157,True,True,True,True
joke2k/faker,0.9999,698.0,0.9999,698,True,True,True,True
jpadilla/pyjwt,1.0,13.0,1.0,13,True,True,False,False
jupyterlab/jupyter-ai,0.6526,62.0,0.6526,62,False,False,True,True
kedro-org/kedro,0.9772,91.0,0.9772,91,True,True,True,True
keras-team/keras,0.9986,637.0,0.9986,637,True,True,True,True
koxudaxi/datamodel-code-generator,1.0,38.0,1.0,38,True,True,False,False
kozea/weasyprint,1.0,66.0,1.0,66,True,True,True,True
lincc-frameworks/nested-pandas,0.9809,18.0,0.9809,18,True,True,False,False
linkml/linkml,0.9907,111.0,0.9907,111,True,True,True,True
marcosschroh/dataclasses-avroschema,1.0,51.0,1.0,51,True,True,True,True
marshmallow-code/apispec,1.0,13.0,1.0,13,True,True,False,False
marshmallow-code/marshmallow,1.0,18.0,1.0,18,True,True,False,False
materials-consortia/optimade-python-tools,0.9774,78.0,0.9774,78,True,True,True,True
matplotlib/matplotlib,0.8214,775.0,0.9137,775,True,True,True,True
matrix-org/synapse,0.9564,524.0,0.9636,524,True,True,True,True
matthewwithanm/python-markdownify,1.0,2.0,1.0,2,True,True,False,False
