repo_key,sha,nodes,edges,clumps,files_in_loops,unresolved_internal,internal_statements,parse_failures,read_failures,skipped_non_identifier,skipped_duplicate,build_seconds,is_pinned
aiogram/aiogram,20d36a2ab8a21eeff2f360f73b14b99d5e397762,602,2056,2,489,0,2234,0,0,0,0,10.387,True
aiogram/aiogram,02683b8c3736b87f7af6ab86d4e1f56932309b0e,545,1896,2,437,0,2075,0,0,0,0,1.58,False
aiogram/aiogram,90654ac0fa3b33e3dc3dd7ff47ea9a4e84a040d5,384,1288,2,308,0,1425,0,0,0,0,4.095,False
aiogram/aiogram,25e9127db9004c9c49ca46bdf5297682fac71fbb,545,1896,2,437,0,2075,0,0,0,0,3.348,False
aiogram/aiogram,0ca9f98baf5820c2f6cd3d770d7e6cc61bdf8306,290,930,2,154,1,976,0,0,0,0,4.041,False
aiogram/aiogram,6d655330afe90a1277bcfbe3b5861b7552634f75,453,1603,2,358,0,1743,0,0,0,0,5.175,False
aiogram/aiogram,577b44cdc1807eb181cd982b20b6492bb24b42de,391,1317,2,308,0,1454,0,0,0,0,2.296,False
aiogram/aiogram,b311d59fce5d1f7554825b6c60daadcce189e9e7,386,1299,2,308,0,1436,0,0,0,0,1.209,False
aiogram/aiogram,b7be9c2b81c2f4312634d2e1173c8a1c04f8dbb4,394,1326,2,310,0,1464,0,0,0,0,1.154,False
aiogram/aiogram,ebade3d51f11fdcbc8b673cdde7b9f034d652ad5,397,1340,2,310,0,1478,0,0,0,0,1.338,False
aiogram/aiogram,51beb4825723c83947377738d9fd449aa2f7d746,500,1808,2,397,0,1987,0,0,0,0,3.42,False
aiogram/aiogram,8a77939d5bf7778be8a65e3531781220245724ff,397,1340,2,310,0,1478,0,0,0,0,1.968,False
aiogram/aiogram,6ad242399b88f522060d9ce4578d9599e5137762,319,1034,1,175,0,1086,0,0,0,0,3.939,False
aiogram/aiogram,b5d94f17b567fbc49a1c809e9fee6e19931b977f,466,1658,2,370,0,1798,0,0,0,0,4.051,False
aiogram/aiogram,e7cee430b21eb8eb26988f7dc56e1928ddbc014e,322,1043,1,176,0,1097,0,0,0,0,2.967,False
aiogram/aiogram,080878be865ea63857ab67be1db6cd8f1bb9e503,500,1808,2,397,0,1987,0,0,0,0,4.088,False
aiogram/aiogram,78748d36fd1fe9a71c3d42a7a88e0b63edd1c3d7,545,1896,2,437,0,2075,0,0,0,0,3.982,False
aiogram/aiogram,f1c9fc50f0a7e186bab4587b28d019a909a7e97f,453,1603,2,358,0,1743,0,0,0,0,2.97,False
astropy/astropy,92b38aebbba6422890f1023031558f6df738e2a5,512,1986,6,320,23,2142,0,0,0,0,12.443,True
astropy/astropy,b3b8295c4b0478558bd0e4c6ec28bf16b90880b8,467,1774,6,282,19,1891,0,0,11,0,9.642,False
astropy/astropy,09e54670e4a46ed510e32d8206e4853920684952,497,1865,6,283,21,1990,0,0,11,0,5.675,False
astropy/astropy,d083189bbc188807c3d62bd419ea5bbf38cf7d56,492,1855,6,279,11,1972,0,0,11,0,7.378,False
astropy/astropy,c748299218dcbd9e15caef558722cc04aa658fad,496,1865,6,283,21,1991,0,0,11,0,7.688,False
astropy/astropy,3a0cd2d8cd7b459cdc1e1b97a14f3040ccc1fffc,487,1827,6,279,10,1982,0,0,11,0,11.044,False
astropy/astropy,34d79ea59b3ba25820dfe7fc9782e9014826e8b0,497,1863,6,282,21,1984,0,0,11,0,9.85,False
astropy/astropy,0e1d299f8f7084b8cb6286caed92e3169317027f,413,1464,8,213,12,1561,0,0,11,0,8.727,False
astropy/astropy,d441bfdbb8e6dc57a52d8c1b117cadd030f0657a,491,1849,6,283,10,2003,0,0,11,0,10.081,False
astropy/astropy,a6c712375ed38d422812e013566a34f928677acd,491,1850,6,277,10,1963,0,0,11,0,8.956,False
astropy/astropy,13b1bef09be51cb875ca665bb2cb14f5e5cf68de,497,1866,6,283,21,1991,0,0,11,0,10.2,False
astropy/astropy,5e5764ed27a8ee1a162a09e3398fcfb7481389af,389,1375,6,196,25,1467,0,0,11,0,8.421,False
astropy/astropy,3b448815e21b117d34fe63007b8ef63ee084fefb,491,1850,6,277,10,1961,0,0,11,0,9.433,False
astropy/astropy,6ed769d58d89380ebaa1ef52b300691eefda8928,489,1835,6,280,10,1989,0,0,11,0,7.932,False
astropy/astropy,4bd88be61fdf4185b9c198f7e689a40041e392ee,490,1840,6,282,10,1994,0,0,11,0,5.966,False
astropy/astropy,16743c6faf5cb8433bf9f7702ae70d002a96caaf,490,1840,6,282,10,1994,0,0,11,0,4.336,False
astropy/astropy,b6769c18c0881b6d290e543e9334c25043018b3f,489,1832,6,280,10,1986,0,0,11,0,5.429,False
astropy/astropy,5f74eacbcc7fff707a44d8eb58adaa514cb7dcb5,497,1866,6,283,21,1991,0,0,11,0,9.142,False
astropy/astropy,d707b792d3ca45518a53b4a395c81ee86bd7b451,487,1819,6,278,10,1990,0,0,11,0,8.709,False
astropy/astropy,b750a0e6ee76fb6b8a099a4d16ec51977be46bf6,430,1516,7,217,16,1620,0,0,11,0,7.437,False
astropy/astropy,153e9447ae032d92be74e54272565f6e39c69b3c,392,1385,6,197,27,1483,0,0,11,0,6.507,False
astropy/astroquery,f3f44261e811f690690eed8c2073d0a91e9eca81,249,490,56,130,3,481,0,0,0,0,4.81,True
astropy/astroquery,88b640990ccb590905c3bc45ebda983c2963b148,249,482,55,128,3,475,0,0,0,0,1.927,False
astropy/astroquery,b1805f64eec5ff8874890105c70c1381b36f1a50,240,471,53,122,3,459,0,0,0,0,3.453,False
astropy/astroquery,cc25c379de5bbed3ab3d39dc1567cc939ece30f1,249,482,55,128,3,475,0,0,0,0,2.93,False
astropy/astroquery,aeccd83259aaa9ebdc9a48325791f89789e4324d,245,476,54,126,3,468,0,0,0,0,1.675,False
astropy/astroquery,5019431af2ce05bc51c18f3626e62790f4f5d3a7,247,485,55,128,3,476,0,0,0,0,1.829,False
astropy/astroquery,8b24c19057bdd0b51028ac545983149abc87b05a,244,475,55,126,3,463,0,0,0,0,2.777,False
astropy/astroquery,241d896bede51d68dc48d02f3569d532178492ef,238,477,53,120,5,473,0,0,11,0,3.138,False
astropy/astroquery,604f284c1d63ac4ab2dc00c3fc85414786da3db3,247,482,55,128,3,474,0,0,0,0,2.878,False
astropy/astroquery,2543cc26f4ee53a0aaa4c629e814adf8a3ff93d2,244,503,55,126,5,498,0,0,11,0,2.417,False
astropy/astroquery,0667ec801ed66f38f11fcb3eff01d5314d2c9212,249,482,55,128,3,475,0,0,0,0,2.601,False
astropy/astroquery,819280102e2de055ae4680aa151290dc1ef8e4fc,247,485,55,128,3,476,0,0,0,0,1.76,False
astropy/photutils,3d06161529624d7d3e886bb46d22aa99dcd015b5,96,248,5,32,4,253,0,0,0,0,0.659,True
astropy/photutils,ab71f240b0ef610871165a514355d6bbebdc0839,75,154,3,19,4,164,0,0,0,0,1.582,False
astropy/photutils,fe8272af6b93138cc2ab8bd6098872a2078b5cca,73,148,3,12,4,152,0,0,0,0,0.634,False
astropy/photutils,dcfe91707566dfb7b2f7e6d0e511132c1d10066a,96,246,5,32,4,251,0,0,0,0,2.099,False
astropy/photutils,6feb1204a8388f7cca5f702906d96ea2ac7e335c,87,204,3,28,4,209,0,0,0,0,1.647,False
astropy/photutils,349a5aa6dc52291b587c4ea8720f5a064272ec1c,96,245,5,32,4,250,0,0,0,0,1.594,False
astropy/photutils,a50fe171cf1242560cace73d2e04e729a4420fbc,87,204,3,28,4,209,0,0,0,0,1.346,False
astropy/photutils,1f474ae20fcf1b0a7953d59948a1fd458ba91aa5,90,229,3,32,4,230,0,0,0,0,1.65,False
astropy/photutils,d73bfb7b311565909da2cc554739617cdf2193ef,96,246,5,32,4,251,0,0,0,0,1.352,False
astropy/photutils,d501ad53210917bad71f870adb98243f0fb60d2f,87,208,3,28,4,213,0,0,0,0,1.316,False
astropy/photutils,2f5e0759acc7477cc4c2ed185ce445825771af5a,82,187,2,22,4,192,0,0,0,0,1.215,False
astropy/photutils,29d92acce49438c9d22bcdae11c12145f93ce613,80,180,2,22,4,185,0,0,0,0,0.802,False
aws-cloudformation/cfn-lint,89ea045335200022a08aefa933beaa9b4c73e10d,2091,1016,3,58,1,1018,0,0,0,0,9.941,True
aws-cloudformation/cfn-lint,9782e80c58fb4e403cc48d64a2369f9748a7e5e1,889,882,4,49,1,882,0,0,0,0,5.114,False
aws-cloudformation/cfn-lint,5d5e6c8f0e9cc6f37c73fc3b5967f8d4f3acaa22,704,752,3,46,1,754,0,0,0,0,3.62,False
aws-cloudformation/cfn-lint,c944440469ccdc5cd79c825da46536997429850b,889,879,4,49,1,879,0,0,0,0,3.052,False
aws-cloudformation/cfn-lint,b16d6b4ce0796020a0ad5ee1c56453fde6079f2b,868,828,4,48,1,830,0,0,0,0,3.064,False
aws-cloudformation/cfn-lint,cf66b46cf9fdbb050a6e29438ca226757359af7d,889,879,4,49,1,879,0,0,0,0,2.648,False
aws-cloudformation/cfn-lint,df3f505f90faf20d2d1023c18627808166666cac,881,859,4,49,1,859,0,0,0,0,2.662,False
aws-cloudformation/cfn-lint,e17d66e519d5dc5ac56dc687d5849d1e59fdcc24,867,825,4,48,1,827,0,0,0,0,3.101,False
aws-cloudformation/cfn-lint,8454bc9a7146e2b648090e866d09054589070599,1904,891,4,50,1,892,0,0,0,0,4.922,False
aws-cloudformation/cfn-lint,a6eb97ac7ecc6c09a67c33f013d110ed207319a1,1162,887,4,49,1,888,0,0,0,0,3.593,False
aws-cloudformation/cfn-lint,8e57c919f45e57f6b9199aaae415d423ad033c5d,2035,976,3,57,1,976,0,0,0,0,6.183,False
aws-cloudformation/cfn-lint,d61eb8c4c8c5a4645e937913d60200d6ffd85799,889,884,4,49,1,884,0,0,0,0,3.948,False
