repo_key,graphs,unresolved,internal_statements,parse_failures,median_build_s,unresolved_share
aiogram/aiogram,18,1,29611,0,3.384,0.0
astropy/astropy,21,328,39945,0,8.709,0.0082
astropy/astroquery,12,40,5693,0,2.689,0.007
astropy/photutils,12,48,2559,0,1.3490000000000002,0.0188
aws-cloudformation/cfn-lint,20,20,17481,0,3.5375,0.0011
azure/azure-cli,10,0,49,0,0.61,0.0
beeware/briefcase,21,88,4052,0,0.963,0.0217
borgbackup/borg,20,2950,13088,0,1.8599999999999999,0.2254
bridgecrewio/checkov,19,0,71655,0,9.369,0.0
canonical/charmcraft,19,11,2627,0,0.789,0.0042
cloud-custodian/cloud-custodian,10,20,10300,0,5.310499999999999,0.0019
conan-io/conan,20,0,23290,0,3.8145,0.0
dask/dask,19,114,14007,1,2.68,0.0081
deepset-ai/haystack,21,66,10997,0,2.173,0.006
django-json-api/django-rest-framework-json-api,11,0,540,0,0.353,0.0
django/django,21,232,55914,3,10.548,0.0041
docker/docker-py,11,3,1495,0,0.629,0.002
dpkp/kafka-python,11,41,3202,22,1.205,0.0128
dwavesystems/dimod,16,25,1886,0,0.3415,0.0133
elastic/rally,15,0,1144,0,0.8,0.0
ethereum/web3.py,14,0,9004,0,1.925,0.0
facelessuser/pymdown-extensions,16,0,440,0,1.005,0.0
falconry/falcon,20,48,11250,0,1.169,0.0043
fatal1ty/mashumaro,13,0,1583,0,0.355,0.0
fitbenchmarking/fitbenchmarking,20,8,3102,6,1.0815000000000001,0.0026
fonttools/fonttools,15,0,3957,0,3.779,0.0
frictionlessdata/frictionless-py,20,0,10518,0,1.2625000000000002,0.0
genericmappingtools/pygmt,13,0,2779,0,0.864,0.0
getsentry/sentry-python,15,0,10362,0,1.596,0.0
google/flax,14,77,6641,0,2.368,0.0116
google/mobly,9,0,484,0,0.426,0.0
googleapis/python-storage,20,773,3183,0,0.367,0.2429
hgrecco/pint,20,0,2275,0,0.425,0.0
ibis-project/ibis,10,11,11624,0,3.3345,0.0009
instructlab/instructlab,20,379,2244,0,0.5395000000000001,0.1689
ipython/ipython,18,278,7577,0,2.343,0.0367
iterative/dvc,20,18,14313,0,1.7425,0.0013
jackdewinter/pymarkdown,19,0,16197,0,2.191,0.0
jlowin/fastmcp,20,0,5291,0,0.9025,0.0
joke2k/faker,20,0,12331,0,6.3795,0.0
kedro-org/kedro,20,0,3059,0,0.8265,0.0
keras-team/keras,20,23,89878,0,6.991,0.0003
kozea/weasyprint,17,0,4698,0,1.59,0.0
linkml/linkml,10,0,1647,8,1.456,0.0
marcosschroh/dataclasses-avroschema,11,0,601,0,0.285,0.0
materials-consortia/optimade-python-tools,11,0,2434,0,0.735,0.0
matplotlib/matplotlib,21,123,3908,0,11.17,0.0315
matrix-org/synapse,14,0,25520,36,6.0055,0.0
mikedh/trimesh,18,2,9362,2,2.31,0.0002
missionpinball/mpf,10,99,6793,9,3.043,0.0146
mne-tools/mne-python,12,16,28520,0,10.1025,0.0006
mwaskom/seaborn,20,0,3874,0,1.2055,0.0
narwhals-dev/narwhals,20,0,13458,0,1.3745,0.0
networkx/networkx,20,18,18334,0,4.9425,0.001
nilearn/nilearn,19,86,9403,0,2.528,0.0091
nipy/nipype,16,47,18630,0,6.2085,0.0025
nltk/nltk,11,0,10685,0,6.215,0.0
numba/numba,17,220,21289,17,4.883,0.0103
nvidia/hpc-container-maker,9,0,5930,0,0.916,0.0
oasis-open/cti-python-stix2,20,0,2779,0,0.531,0.0
openai/openai-agents-python,11,10,5432,0,0.843,0.0018
pandas-dev/pandas,11,2939,32880,0,5.972,0.0894
patroni/patroni,19,0,4571,0,1.224,0.0
pdm-project/pdm,21,20,12713,0,1.084,0.0016
pennylaneai/pennylane,21,3,24379,0,4.434,0.0001
pre-commit/pre-commit,21,0,5291,0,0.571,0.0
projectmesa/mesa,14,0,1719,0,0.7095,0.0
psf/black,15,3,1573,0,2.066,0.0019
pvlib/pvlib-python,20,20,2839,0,0.882,0.007
pydata/xarray,21,0,12082,0,1.741,0.0
pylint-dev/pylint,20,143,10817,0,2.98,0.0132
pypsa/pypsa,10,0,1458,0,0.734,0.0
pytest-dev/pytest,21,55,11269,0,1.346,0.0049
python-cmd2/cmd2,21,5,1547,0,0.539,0.0032
python-control/python-control,16,24,4870,8,1.335,0.0049
python-telegram-bot/python-telegram-bot,13,0,16953,0,2.488,0.0
python/mypy,14,0,19051,0,4.54,0.0
pytorch/ignite,21,0,5876,0,1.053,0.0
pytorch/torchtune,12,4,5445,0,1.9,0.0007
pyvista/pyvista,19,60,16388,0,3.048,0.0037
rdflib/rdflib,11,0,3768,0,1.786,0.0
reflex-dev/reflex,20,0,21503,0,2.442,0.0
reframe-hpc/reframe,14,0,5635,14,1.5045000000000002,0.0
repobee/repobee,15,0,748,0,0.256,0.0
scikit-learn/scikit-learn,21,2351,55220,3,8.073,0.0426
scipp/plopp,19,0,2527,0,0.483,0.0
scrapy/scrapy,19,0,10419,8,1.726,0.0
sdv-dev/sdv,15,0,2362,0,0.598,0.0
sissbruecker/linkding,20,20,1958,0,0.42,0.0102
spacetelescope/jwst,15,76,12772,0,3.995,0.006
spdx/tools-python,15,0,10155,0,0.746,0.0
sphinx-doc/sphinx,21,57,22596,0,4.037,0.0025
spikeinterface/spikeinterface,10,1,13159,4,4.96,0.0001
sqlfluff/sqlfluff,20,0,9360,0,1.996,0.0
stanfordnlp/dspy,18,0,6926,0,1.7285,0.0
statsmodels/statsmodels,12,408,23160,0,8.4285,0.0176
streamlink/streamlink,20,0,17150,0,3.4050000000000002,0.0
sunpy/sunpy,12,24,8885,0,2.7295,0.0027
sympy/sympy,21,156,125727,0,31.639,0.0012
tefra/xsdata,21,0,12259,0,1.131,0.0
terrapower/armi,12,1,13322,0,4.1795,0.0001
textualize/textual,21,0,28520,0,2.924,0.0
tobymao/sqlglot,21,89,8200,0,1.968,0.0109
tornadoweb/tornado,16,16,4281,6,1.0405,0.0037
tox-dev/tox,21,72,5589,0,0.85,0.0129
twisted/twisted,13,26,27221,0,5.71,0.001
ucfopen/canvasapi,20,0,6986,0,0.561,0.0
vertexproject/synapse,11,0,4164,45,0.915,0.0
wemake-services/wemake-python-styleguide,20,0,7505,0,1.0394999999999999,0.0
xonsh/xonsh,18,1,8308,33,2.5155,0.0001
yt-dlp/yt-dlp,10,66,36223,1,10.052,0.0018
yukinarit/pyserde,10,0,1108,0,0.453,0.0
zarr-developers/zarr-python,20,28,5115,0,0.8745,0.0055
