repo,chosen_by,a,b,a_edges,b_edges,both,only_a,only_b,jaccard
pytest-dev/pytest,rule,ast,ast_parent_inits,392,458,392,0,66,0.8559
pytest-dev/pytest,rule,ast,ast_defining,392,393,371,21,22,0.8961
pytest-dev/pytest,rule,ast,ast_no_type_checking,392,363,363,29,0,0.926
pytest-dev/pytest,rule,ast,ast_no_function_level,392,364,364,28,0,0.9286
pytest-dev/pytest,rule,ast,treesitter,392,392,392,0,0,1.0
pytest-dev/pytest,rule,ast,grimp,392,392,392,0,0,1.0
pytest-dev/pytest,rule,ast,pydeps,392,465,392,0,73,0.843
pytest-dev/pytest,rule,ast_parent_inits,ast_defining,458,393,371,87,22,0.7729
pytest-dev/pytest,rule,ast_parent_inits,ast_no_type_checking,458,363,363,95,0,0.7926
pytest-dev/pytest,rule,ast_parent_inits,ast_no_function_level,458,364,364,94,0,0.7948
pytest-dev/pytest,rule,ast_parent_inits,treesitter,458,392,392,66,0,0.8559
pytest-dev/pytest,rule,ast_parent_inits,grimp,458,392,392,66,0,0.8559
pytest-dev/pytest,rule,ast_parent_inits,pydeps,458,465,455,3,10,0.9722
pytest-dev/pytest,rule,ast_defining,ast_no_type_checking,393,363,342,51,21,0.8261
pytest-dev/pytest,rule,ast_defining,ast_no_function_level,393,364,346,47,18,0.8418
pytest-dev/pytest,rule,ast_defining,treesitter,393,392,371,22,21,0.8961
pytest-dev/pytest,rule,ast_defining,grimp,393,392,371,22,21,0.8961
pytest-dev/pytest,rule,ast_defining,pydeps,393,465,381,12,84,0.7987
pytest-dev/pytest,rule,ast_no_type_checking,ast_no_function_level,363,364,336,27,28,0.8593
pytest-dev/pytest,rule,ast_no_type_checking,treesitter,363,392,363,0,29,0.926
pytest-dev/pytest,rule,ast_no_type_checking,grimp,363,392,363,0,29,0.926
pytest-dev/pytest,rule,ast_no_type_checking,pydeps,363,465,363,0,102,0.7806
pytest-dev/pytest,rule,ast_no_function_level,treesitter,364,392,364,0,28,0.9286
pytest-dev/pytest,rule,ast_no_function_level,grimp,364,392,364,0,28,0.9286
pytest-dev/pytest,rule,ast_no_function_level,pydeps,364,465,364,0,101,0.7828
pytest-dev/pytest,rule,treesitter,grimp,392,392,392,0,0,1.0
pytest-dev/pytest,rule,treesitter,pydeps,392,465,392,0,73,0.843
pytest-dev/pytest,rule,grimp,pydeps,392,465,392,0,73,0.843
cekit/cekit,rule,ast,ast_parent_inits,140,189,140,0,49,0.7407
cekit/cekit,rule,ast,ast_defining,140,153,125,15,28,0.744
cekit/cekit,rule,ast,ast_no_type_checking,140,130,130,10,0,0.9286
cekit/cekit,rule,ast,ast_no_function_level,140,131,131,9,0,0.9357
cekit/cekit,rule,ast,treesitter,140,140,140,0,0,1.0
cekit/cekit,rule,ast,grimp,140,140,140,0,0,1.0
cekit/cekit,rule,ast,pydeps,140,206,140,0,66,0.6796
cekit/cekit,rule,ast_parent_inits,ast_defining,189,153,125,64,28,0.576
cekit/cekit,rule,ast_parent_inits,ast_no_type_checking,189,130,130,59,0,0.6878
cekit/cekit,rule,ast_parent_inits,ast_no_function_level,189,131,131,58,0,0.6931
cekit/cekit,rule,ast_parent_inits,treesitter,189,140,140,49,0,0.7407
cekit/cekit,rule,ast_parent_inits,grimp,189,140,140,49,0,0.7407
cekit/cekit,rule,ast_parent_inits,pydeps,189,206,189,0,17,0.9175
cekit/cekit,rule,ast_defining,ast_no_type_checking,153,130,118,35,12,0.7152
cekit/cekit,rule,ast_defining,ast_no_function_level,153,131,116,37,15,0.6905
cekit/cekit,rule,ast_defining,treesitter,153,140,125,28,15,0.744
cekit/cekit,rule,ast_defining,grimp,153,140,125,28,15,0.744
cekit/cekit,rule,ast_defining,pydeps,153,206,142,11,64,0.6544
cekit/cekit,rule,ast_no_type_checking,ast_no_function_level,130,131,121,9,10,0.8643
cekit/cekit,rule,ast_no_type_checking,treesitter,130,140,130,0,10,0.9286
cekit/cekit,rule,ast_no_type_checking,grimp,130,140,130,0,10,0.9286
cekit/cekit,rule,ast_no_type_checking,pydeps,130,206,130,0,76,0.6311
cekit/cekit,rule,ast_no_function_level,treesitter,131,140,131,0,9,0.9357
cekit/cekit,rule,ast_no_function_level,grimp,131,140,131,0,9,0.9357
cekit/cekit,rule,ast_no_function_level,pydeps,131,206,131,0,75,0.6359
cekit/cekit,rule,treesitter,grimp,140,140,140,0,0,1.0
cekit/cekit,rule,treesitter,pydeps,140,206,140,0,66,0.6796
cekit/cekit,rule,grimp,pydeps,140,206,140,0,66,0.6796
mwaskom/seaborn,extra,ast,ast_parent_inits,154,231,154,0,77,0.6667
mwaskom/seaborn,extra,ast,ast_defining,154,154,154,0,0,1.0
mwaskom/seaborn,extra,ast,ast_no_type_checking,154,147,147,7,0,0.9545
mwaskom/seaborn,extra,ast,ast_no_function_level,154,145,145,9,0,0.9416
mwaskom/seaborn,extra,ast,treesitter,154,154,154,0,0,1.0
mwaskom/seaborn,extra,ast,grimp,154,154,154,0,0,1.0
mwaskom/seaborn,extra,ast,pydeps,154,223,154,0,69,0.6906
mwaskom/seaborn,extra,ast_parent_inits,ast_defining,231,154,154,77,0,0.6667
mwaskom/seaborn,extra,ast_parent_inits,ast_no_type_checking,231,147,147,84,0,0.6364
mwaskom/seaborn,extra,ast_parent_inits,ast_no_function_level,231,145,145,86,0,0.6277
mwaskom/seaborn,extra,ast_parent_inits,treesitter,231,154,154,77,0,0.6667
mwaskom/seaborn,extra,ast_parent_inits,grimp,231,154,154,77,0,0.6667
mwaskom/seaborn,extra,ast_parent_inits,pydeps,231,223,223,8,0,0.9654
mwaskom/seaborn,extra,ast_defining,ast_no_type_checking,154,147,147,7,0,0.9545
mwaskom/seaborn,extra,ast_defining,ast_no_function_level,154,145,145,9,0,0.9416
mwaskom/seaborn,extra,ast_defining,treesitter,154,154,154,0,0,1.0
mwaskom/seaborn,extra,ast_defining,grimp,154,154,154,0,0,1.0
mwaskom/seaborn,extra,ast_defining,pydeps,154,223,154,0,69,0.6906
mwaskom/seaborn,extra,ast_no_type_checking,ast_no_function_level,147,145,138,9,7,0.8961
mwaskom/seaborn,extra,ast_no_type_checking,treesitter,147,154,147,0,7,0.9545
mwaskom/seaborn,extra,ast_no_type_checking,grimp,147,154,147,0,7,0.9545
mwaskom/seaborn,extra,ast_no_type_checking,pydeps,147,223,147,0,76,0.6592
mwaskom/seaborn,extra,ast_no_function_level,treesitter,145,154,145,0,9,0.9416
mwaskom/seaborn,extra,ast_no_function_level,grimp,145,154,145,0,9,0.9416
mwaskom/seaborn,extra,ast_no_function_level,pydeps,145,223,145,0,78,0.6502
mwaskom/seaborn,extra,treesitter,grimp,154,154,154,0,0,1.0
mwaskom/seaborn,extra,treesitter,pydeps,154,223,154,0,69,0.6906
mwaskom/seaborn,extra,grimp,pydeps,154,223,154,0,69,0.6906
django-json-api/django-rest-framework-json-api,extra,ast,ast_parent_inits,25,35,25,0,10,0.7143
django-json-api/django-rest-framework-json-api,extra,ast,ast_defining,25,25,25,0,0,1.0
django-json-api/django-rest-framework-json-api,extra,ast,ast_no_type_checking,25,25,25,0,0,1.0
django-json-api/django-rest-framework-json-api,extra,ast,ast_no_function_level,25,21,21,4,0,0.84
django-json-api/django-rest-framework-json-api,extra,ast,treesitter,25,25,25,0,0,1.0
django-json-api/django-rest-framework-json-api,extra,ast,grimp,25,25,25,0,0,1.0
django-json-api/django-rest-framework-json-api,extra,ast,pydeps,25,34,25,0,9,0.7353
django-json-api/django-rest-framework-json-api,extra,ast_parent_inits,ast_defining,35,25,25,10,0,0.7143
django-json-api/django-rest-framework-json-api,extra,ast_parent_inits,ast_no_type_checking,35,25,25,10,0,0.7143
django-json-api/django-rest-framework-json-api,extra,ast_parent_inits,ast_no_function_level,35,21,21,14,0,0.6
django-json-api/django-rest-framework-json-api,extra,ast_parent_inits,treesitter,35,25,25,10,0,0.7143
django-json-api/django-rest-framework-json-api,extra,ast_parent_inits,grimp,35,25,25,10,0,0.7143
django-json-api/django-rest-framework-json-api,extra,ast_parent_inits,pydeps,35,34,34,1,0,0.9714
django-json-api/django-rest-framework-json-api,extra,ast_defining,ast_no_type_checking,25,25,25,0,0,1.0
django-json-api/django-rest-framework-json-api,extra,ast_defining,ast_no_function_level,25,21,21,4,0,0.84
django-json-api/django-rest-framework-json-api,extra,ast_defining,treesitter,25,25,25,0,0,1.0
django-json-api/django-rest-framework-json-api,extra,ast_defining,grimp,25,25,25,0,0,1.0
django-json-api/django-rest-framework-json-api,extra,ast_defining,pydeps,25,34,25,0,9,0.7353
django-json-api/django-rest-framework-json-api,extra,ast_no_type_checking,ast_no_function_level,25,21,21,4,0,0.84
django-json-api/django-rest-framework-json-api,extra,ast_no_type_checking,treesitter,25,25,25,0,0,1.0
django-json-api/django-rest-framework-json-api,extra,ast_no_type_checking,grimp,25,25,25,0,0,1.0
django-json-api/django-rest-framework-json-api,extra,ast_no_type_checking,pydeps,25,34,25,0,9,0.7353
django-json-api/django-rest-framework-json-api,extra,ast_no_function_level,treesitter,21,25,21,0,4,0.84
django-json-api/django-rest-framework-json-api,extra,ast_no_function_level,grimp,21,25,21,0,4,0.84
django-json-api/django-rest-framework-json-api,extra,ast_no_function_level,pydeps,21,34,21,0,13,0.6176
django-json-api/django-rest-framework-json-api,extra,treesitter,grimp,25,25,25,0,0,1.0
django-json-api/django-rest-framework-json-api,extra,treesitter,pydeps,25,34,25,0,9,0.7353
django-json-api/django-rest-framework-json-api,extra,grimp,pydeps,25,34,25,0,9,0.7353
