repo_key,files,import_edges,density,indeg_mean,indeg_median,indeg_max,indeg_gini,outdeg_mean,outdeg_median,outdeg_max,outdeg_gini,hub_share_top5pct,n_loops,largest_loop,largest_loop_share,share_in_loops,depth_condensed,spl_mean,spl_max,n_wcc,largest_wcc_share,isolated,isolated_share,modularity,n_clusters,clustering,single_importer_share,nesting_max,nesting_mean,unresolved_share,loc_total,loc_mean,loc_median
aiogram/aiogram,425.0,1471.5,0.008176176395105327,3.3952986267437675,1.0,138.5,0.667078867590772,3.3952986267437675,2.0,176.0,0.6158768130081179,0.545115815454718,2.0,304.0,0.7240100717439294,0.792139196013226,9.0,3.5818927345854394,10.0,13.0,0.9725062622242048,12.0,0.027493737775795217,0.49596466203157036,18.0,0.5202963211431123,0.4893517051172981,4.0,2.03918810736285,0.0,40744.5,94.91821976846812,46.5
astropy/astropy,490.0,1840.0,0.007685345633322353,3.7535417000983404,2.0,132.0,0.6558114792334861,3.7535417000983404,3.0,28.5,0.5202317872939675,0.40949321099840696,6.0,259.5,0.5290514983997672,0.5694164989939637,14.0,5.8489599992736245,20.0,49.0,0.90010183299389,47.0,0.09582069080177896,0.6019346606384646,60.0,0.3189362959923323,0.30817969564127706,6.0,2.8489795918367347,0.006632736595488667,195542.0,399.13034623217925,169.0
astropy/astroquery,247.0,482.0,0.007972245842360955,1.9569585020242914,1.0,59.0,0.6478042801894794,1.9569585020242914,1.0,12.0,0.5641320468596377,0.5279411764705882,55.0,11.0,0.044534412955465584,0.5153395784543325,6.0,2.596909035462229,9.0,38.0,0.8353413654618473,34.0,0.13654618473895583,0.4992203633569592,48.0,0.10486314457649552,0.5943775100401606,4.0,2.389004114953209,0.006322451698867422,53839.0,216.52008032128515,51.0
astropy/photutils,87.0,206.0,0.027506592398332575,2.367816091954023,2.0,14.0,0.44838623799667937,2.367816091954023,2.0,11.0,0.5789663005656425,0.2210911784068466,3.0,20.0,0.22431752873563218,0.3218390804597701,11.0,5.228354534263438,15.5,4.0,0.9612499999999999,3.0,0.03286637931034483,0.599097135960147,11.0,0.2608144279350542,0.3645833333333333,3.0,1.9885057471264367,0.018959049351932968,32670.0,371.1034482758621,207.0
aws-cloudformation/cfn-lint,889.0,880.5,0.0010987957198909995,0.9515570934256056,0.0,139.0,0.9567929014644709,0.9515570934256056,0.0,14.0,0.7515459089161511,0.8539069473943424,4.0,38.0,0.04274465691788527,0.05511811023622047,10.0,4.3878693551384504,10.0,514.0,0.41522491349480967,513.0,0.5847750865051903,0.5437813205284627,523.0,0.10528353247657313,0.06636670416197975,8.0,6.139561707035756,0.0011357216379156896,91587.0,101.2333819675878,0.0
azure/azure-cli,54.5,5.0,0.0017152658662092624,0.09175084175084175,0.0,3.0,0.966969696969697,0.09175084175084175,0.0,2.0,0.9522895622895623,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,50.5,0.09175084175084175,49.5,0.9082491582491583,0.16666666666666663,51.5,0.0,0.0,7.0,2.887121212121212,0.0,3747.5,70.33807017543859,41.5
beeware/briefcase,68.5,210.0,0.04072072072072072,3.013333333333333,1.0,37.5,0.7256637168141593,3.013333333333333,2.0,15.0,0.5355752212389381,0.43146464646464644,1.0,13.0,0.17333333333333334,0.17333333333333334,8.0,2.246994930963253,5.0,13.0,0.8278070175438597,12.0,0.17219298245614034,0.3030612225932726,17.0,0.33572111853425135,0.2,4.0,3.238421052631579,0.017857142857142856,17996.0,274.08196721311475,155.0
borgbackup/borg,82.5,297.0,0.04417076215094,3.7371794871794872,1.0,33.0,0.7056379155435759,3.7371794871794872,2.0,23.0,0.5486589535371458,0.36824324324324326,2.0,20.0,0.17857142857142858,0.21428571428571427,11.0,2.647178904640102,7.0,4.0,0.9634146341463414,3.0,0.036585365853658534,0.283488390082918,10.0,0.3517819896829614,0.23529411764705882,4.0,2.551282051282051,0.24205378973105135,33556.0,404.1646341463414,176.0
bridgecrewio/checkov,2329.0,5274.0,0.0009727195867435695,2.2639967306906414,0.0,1349.0,0.951030368917892,2.2639967306906414,2.0,62.0,0.42873058788273444,0.8497171145685997,10.0,91.0,0.038696537678207736,0.05046805046805047,19.0,6.766279857348225,11.0,356.0,0.8329987956643918,327.0,0.13309207880981103,0.5640013645346102,377.0,0.5580124965065553,0.13075356415478614,6.0,4.2951347004423,0.0,106201.0,44.858193706579485,25.0
canonical/charmcraft,71.0,166.0,0.03340040241448692,2.4565217391304346,1.0,18.0,0.5493395493395493,2.4565217391304346,2.0,12.0,0.5559137960291872,0.3192771084337349,2.0,15.0,0.2112676056338028,0.23943661971830985,14.0,3.5051359516616314,11.0,5.0,0.9436619718309859,4.0,0.056338028169014086,0.4054180495727703,11.0,0.2423859337589859,0.45454545454545453,3.0,1.839080459770115,0.004878048780487805,13365.0,201.98850574712642,109.5
