instance_id,repo_key,status,n_co_edited,n_new_files,n_symbol_files,names_tried,names_resolved_in_repo,jedi_errors,truncated,seconds
aiogram__aiogram-1247,aiogram/aiogram,ok,1,0,1,3,2,0,False,2.1
aiogram__aiogram-1250,aiogram/aiogram,ok,1,0,3,22,17,0,False,1.1
aiogram__aiogram-1267,aiogram/aiogram,ok,4,0,7,41,25,0,False,1.8
aiogram__aiogram-1283,aiogram/aiogram,ok,2,0,3,17,12,0,False,0.4
aiogram__aiogram-1318,aiogram/aiogram,ok,1,0,2,5,4,0,False,1.3
aiogram__aiogram-1370,aiogram/aiogram,ok,2,0,1,36,7,0,False,0.5
aiogram__aiogram-1469,aiogram/aiogram,ok,1,0,1,37,16,0,False,1.7
aiogram__aiogram-1474,aiogram/aiogram,ok,1,0,11,22,23,0,False,2.2
aiogram__aiogram-1497,aiogram/aiogram,ok,1,0,1,6,6,0,False,1.8
aiogram__aiogram-1585,aiogram/aiogram,ok,1,0,1,5,3,0,False,2.7
aiogram__aiogram-1594,aiogram/aiogram,ok,4,0,4,290,84,0,False,2.1
aiogram__aiogram-1657,aiogram/aiogram,ok,1,0,1,175,31,0,False,1.3
aiogram__aiogram-1665,aiogram/aiogram,ok,1,0,1,8,1,0,False,2.2
aiogram__aiogram-1670,aiogram/aiogram,ok,1,0,1,155,28,0,False,5.0
aiogram__aiogram-1674,aiogram/aiogram,ok,1,0,3,16,14,0,False,0.9
aiogram__aiogram-661,aiogram/aiogram,ok,2,0,3,133,46,0,False,3.1
aiogram__aiogram-912,aiogram/aiogram,ok,2,0,2,7,2,0,False,1.1
aiogram__aiogram-989,aiogram/aiogram,ok,2,0,2,11,6,0,False,1.4
astropy__astropy-12057,astropy/astropy,ok,1,0,1,135,78,0,False,15.6
astropy__astropy-12544,astropy/astropy,ok,1,0,1,72,11,0,False,1.6
astropy__astropy-13032,astropy/astropy,ok,1,0,1,29,25,0,False,6.2
astropy__astropy-13236,astropy/astropy,ok,1,0,0,0,0,0,False,1.4
astropy__astropy-13404,astropy/astropy,ok,1,0,1,14,1,9,False,0.5
astropy__astropy-13438,astropy/astropy,ok,1,0,0,0,0,0,False,1.2
astropy__astropy-13462,astropy/astropy,ok,1,0,1,15,13,0,False,3.4
astropy__astropy-13838,astropy/astropy,ok,1,0,1,8,6,0,False,6.5
astropy__astropy-13842,astropy/astropy,ok,2,0,3,26,21,0,False,13.6
astropy__astropy-14163,astropy/astropy,ok,1,0,2,26,21,0,False,2.2
astropy__astropy-14413,astropy/astropy,ok,3,0,3,38,30,0,False,23.1
astropy__astropy-14484,astropy/astropy,ok,1,0,0,16,0,0,False,2.4
astropy__astropy-14528,astropy/astropy,ok,1,0,2,14,7,0,False,1.4
astropy__astropy-14578,astropy/astropy,ok,1,0,1,35,25,0,False,12.7
astropy__astropy-14590,astropy/astropy,ok,1,0,2,152,79,0,False,9.7
astropy__astropy-14702,astropy/astropy,ok,1,0,1,9,8,0,False,4.2
astropy__astropy-7441,astropy/astropy,ok,2,0,3,91,52,0,False,10.2
astropy__astropy-7737,astropy/astropy,ok,1,0,1,17,17,0,False,6.3
astropy__astropy-8519,astropy/astropy,ok,1,0,2,11,10,0,False,4.0
astropy__astropy-8872,astropy/astropy,ok,1,0,1,20,6,0,False,21.1
astropy__astroquery-1584,astropy/astroquery,ok,1,0,1,64,40,0,False,1.1
astropy__astroquery-2160,astropy/astroquery,ok,1,0,0,6,0,0,False,0.7
astropy__astroquery-2444,astropy/astroquery,ok,1,0,1,20,1,0,False,4.0
astropy__astroquery-2654,astropy/astroquery,ok,1,0,0,0,0,0,False,0.6
astropy__astroquery-3031,astropy/astroquery,ok,3,0,4,197,131,0,False,12.8
astropy__astroquery-3068,astropy/astroquery,ok,1,0,3,22,24,0,False,5.8
astropy__astroquery-3105,astropy/astroquery,ok,1,0,1,42,23,0,False,3.2
astropy__astroquery-3116,astropy/astroquery,ok,1,0,1,31,17,0,False,3.5
astropy__astroquery-3168,astropy/astroquery,ok,1,0,1,3,3,0,False,0.4
astropy__astroquery-3199,astropy/astroquery,ok,1,0,1,3,3,0,False,0.5
astropy__astroquery-3224,astropy/astroquery,ok,1,0,1,8,7,0,False,3.0
astropy__astroquery-3275,astropy/astroquery,ok,1,0,1,9,11,0,False,0.9
astropy__photutils-1292,astropy/photutils,ok,1,0,1,9,8,0,False,8.5
astropy__photutils-1312,astropy/photutils,ok,1,0,1,29,24,0,False,6.0
astropy__photutils-1477,astropy/photutils,ok,1,0,2,409,61,0,False,1.7
astropy__photutils-1512,astropy/photutils,ok,1,0,1,1,1,0,False,0.3
astropy__photutils-1648,astropy/photutils,ok,1,0,2,42,10,0,False,1.7
astropy__photutils-1663,astropy/photutils,ok,4,0,3,125,24,0,False,0.9
astropy__photutils-1679,astropy/photutils,ok,1,0,1,101,14,0,False,1.7
astropy__photutils-1805,astropy/photutils,ok,1,0,1,286,110,1,False,5.3
astropy__photutils-1935,astropy/photutils,ok,1,0,1,9,8,0,False,2.2
astropy__photutils-1943,astropy/photutils,ok,4,0,4,79,41,0,False,6.1
astropy__photutils-1956,astropy/photutils,ok,1,0,1,7,5,0,False,0.7
astropy__photutils-1978,astropy/photutils,ok,2,0,2,42,22,0,False,1.0
aws-cloudformation__cfn-lint-3399,aws-cloudformation/cfn-lint,ok,2,0,5,42,30,0,False,4.8
aws-cloudformation__cfn-lint-3450,aws-cloudformation/cfn-lint,ok,2,0,4,87,82,0,False,1.8
aws-cloudformation__cfn-lint-3548,aws-cloudformation/cfn-lint,ok,2,0,5,27,24,0,False,1.6
aws-cloudformation__cfn-lint-3552,aws-cloudformation/cfn-lint,ok,4,1,10,419,84,0,False,6.4
aws-cloudformation__cfn-lint-3563,aws-cloudformation/cfn-lint,ok,5,0,8,75,60,0,False,2.8
aws-cloudformation__cfn-lint-3629,aws-cloudformation/cfn-lint,ok,1,0,1,15,19,0,False,3.2
aws-cloudformation__cfn-lint-3639,aws-cloudformation/cfn-lint,ok,1,0,5,12,9,0,False,2.7
aws-cloudformation__cfn-lint-3663,aws-cloudformation/cfn-lint,ok,2,0,2,18,12,0,False,1.8
aws-cloudformation__cfn-lint-3707,aws-cloudformation/cfn-lint,ok,1,0,3,8,8,0,False,1.7
aws-cloudformation__cfn-lint-3712,aws-cloudformation/cfn-lint,ok,3,0,7,45,45,0,False,3.3
aws-cloudformation__cfn-lint-3714,aws-cloudformation/cfn-lint,ok,2,0,4,43,24,0,False,6.9
aws-cloudformation__cfn-lint-3731,aws-cloudformation/cfn-lint,ok,3,0,3,16,11,0,False,4.0
aws-cloudformation__cfn-lint-3749,aws-cloudformation/cfn-lint,ok,1,0,1,15,20,0,False,3.7
aws-cloudformation__cfn-lint-3785,aws-cloudformation/cfn-lint,ok,1,0,4,52,42,0,False,2.6
aws-cloudformation__cfn-lint-3855,aws-cloudformation/cfn-lint,ok,1,0,2,17,9,0,False,4.5
aws-cloudformation__cfn-lint-3875,aws-cloudformation/cfn-lint,ok,1,0,1,13,17,0,False,4.5
aws-cloudformation__cfn-lint-3890,aws-cloudformation/cfn-lint,ok,1,0,1,15,10,0,False,3.9
aws-cloudformation__cfn-lint-4026,aws-cloudformation/cfn-lint,ok,2,0,6,52,39,0,False,5.2
aws-cloudformation__cfn-lint-4149,aws-cloudformation/cfn-lint,ok,1,0,0,0,0,0,False,3.9
aws-cloudformation__cfn-lint-4236,aws-cloudformation/cfn-lint,ok,1,0,3,15,9,0,False,5.1
Azure__azure-cli-1876,azure/azure-cli,ok,2,0,2,39,25,0,False,5.9
Azure__azure-cli-2053,azure/azure-cli,ok,4,0,2,200,73,0,False,3.9
Azure__azure-cli-2214,azure/azure-cli,ok,1,0,1,7,3,0,False,1.5
Azure__azure-cli-2467,azure/azure-cli,ok,2,0,1,10,1,0,False,1.1
Azure__azure-cli-2844,azure/azure-cli,ok,2,0,1,7,1,0,False,1.3
Azure__azure-cli-2955,azure/azure-cli,ok,4,1,2,140,19,0,False,5.5
Azure__azure-cli-3354,azure/azure-cli,ok,1,0,1,23,15,0,False,6.6
Azure__azure-cli-3643,azure/azure-cli,ok,1,0,1,1,1,0,False,1.9
Azure__azure-cli-3743,azure/azure-cli,ok,1,0,1,12,10,0,False,1.4
Azure__azure-cli-4265,azure/azure-cli,ok,2,0,2,56,28,0,False,5.0
beeware__briefcase-1054,beeware/briefcase,ok,1,0,1,48,9,0,False,1.4
beeware__briefcase-1088,beeware/briefcase,ok,1,0,1,8,4,0,False,0.6
beeware__briefcase-1180,beeware/briefcase,ok,1,0,0,0,0,0,False,1.4
beeware__briefcase-1307,beeware/briefcase,ok,1,0,2,224,42,0,False,2.0
beeware__briefcase-1373,beeware/briefcase,ok,1,0,2,3,4,0,False,0.8
beeware__briefcase-1387,beeware/briefcase,ok,1,0,2,14,12,0,False,0.9
beeware__briefcase-1598,beeware/briefcase,ok,2,0,5,87,67,0,False,1.7
beeware__briefcase-1823,beeware/briefcase,ok,1,0,0,5,0,0,False,0.5
