instance_id,repo_key,n_edited,n_seeds,edited_not_in_graph,n_new_files,has_exec
aiogram__aiogram-1665,aiogram/aiogram,1,1,0,0,False
aiogram__aiogram-1247,aiogram/aiogram,1,1,0,0,False
aiogram__aiogram-1670,aiogram/aiogram,1,1,0,0,False
aiogram__aiogram-1674,aiogram/aiogram,1,1,0,0,False
aiogram__aiogram-661,aiogram/aiogram,2,2,0,0,False
aiogram__aiogram-1474,aiogram/aiogram,1,1,0,0,False
aiogram__aiogram-1267,aiogram/aiogram,4,4,0,0,False
aiogram__aiogram-1250,aiogram/aiogram,1,1,0,0,False
aiogram__aiogram-1283,aiogram/aiogram,2,2,0,0,False
aiogram__aiogram-1370,aiogram/aiogram,2,2,0,0,False
aiogram__aiogram-1594,aiogram/aiogram,4,4,0,0,False
aiogram__aiogram-1318,aiogram/aiogram,1,1,0,0,False
aiogram__aiogram-912,aiogram/aiogram,2,2,0,0,False
aiogram__aiogram-1497,aiogram/aiogram,1,1,0,0,False
aiogram__aiogram-989,aiogram/aiogram,2,2,0,0,False
aiogram__aiogram-1585,aiogram/aiogram,1,1,0,0,False
aiogram__aiogram-1657,aiogram/aiogram,1,1,0,0,False
aiogram__aiogram-1469,aiogram/aiogram,1,1,0,0,False
astropy__astropy-14702,astropy/astropy,1,1,0,0,False
astropy__astropy-14484,astropy/astropy,1,1,0,0,False
astropy__astropy-14163,astropy/astropy,1,1,0,0,False
astropy__astropy-14578,astropy/astropy,1,1,0,0,False
astropy__astropy-12544,astropy/astropy,1,1,0,0,False
astropy__astropy-14413,astropy/astropy,3,3,0,0,False
astropy__astropy-8519,astropy/astropy,1,1,0,0,False
astropy__astropy-13462,astropy/astropy,1,1,0,0,False
astropy__astropy-13838,astropy/astropy,1,1,0,0,False
astropy__astropy-14528,astropy/astropy,1,1,0,0,False
astropy__astropy-7441,astropy/astropy,2,2,0,0,False
astropy__astropy-13842,astropy/astropy,2,2,0,0,False
astropy__astropy-13236,astropy/astropy,1,1,0,0,False
astropy__astropy-13438,astropy/astropy,1,1,0,0,False
astropy__astropy-13404,astropy/astropy,1,1,0,0,False
astropy__astropy-12057,astropy/astropy,1,1,0,0,False
astropy__astropy-14590,astropy/astropy,1,1,0,0,False
astropy__astropy-13032,astropy/astropy,1,1,0,0,False
astropy__astropy-8872,astropy/astropy,1,1,0,0,False
astropy__astropy-7737,astropy/astropy,1,1,0,0,False
astropy__astroquery-3116,astropy/astroquery,1,1,0,0,False
astropy__astroquery-1584,astropy/astroquery,1,1,0,0,False
astropy__astroquery-3068,astropy/astroquery,1,1,0,0,False
astropy__astroquery-3168,astropy/astroquery,1,1,0,0,False
astropy__astroquery-3199,astropy/astroquery,1,1,0,0,False
astropy__astroquery-2654,astropy/astroquery,1,1,0,0,False
astropy__astroquery-2160,astropy/astroquery,1,1,0,0,False
astropy__astroquery-3031,astropy/astroquery,3,3,0,0,False
astropy__astroquery-2444,astropy/astroquery,1,1,0,0,False
astropy__astroquery-3105,astropy/astroquery,1,1,0,0,False
astropy__astroquery-3224,astropy/astroquery,1,1,0,0,False
astropy__astroquery-3275,astropy/astroquery,1,1,0,0,False
astropy__photutils-1312,astropy/photutils,1,1,0,0,False
astropy__photutils-1292,astropy/photutils,1,1,0,0,False
astropy__photutils-1943,astropy/photutils,4,4,0,0,False
astropy__photutils-1648,astropy/photutils,1,1,0,0,False
astropy__photutils-1935,astropy/photutils,1,1,0,0,False
astropy__photutils-1663,astropy/photutils,4,4,0,0,False
astropy__photutils-1805,astropy/photutils,1,1,0,0,False
astropy__photutils-1956,astropy/photutils,1,1,0,0,False
astropy__photutils-1978,astropy/photutils,2,2,0,0,False
astropy__photutils-1679,astropy/photutils,1,1,0,0,False
astropy__photutils-1512,astropy/photutils,1,1,0,0,False
astropy__photutils-1477,astropy/photutils,1,1,0,0,False
aws-cloudformation__cfn-lint-3714,aws-cloudformation/cfn-lint,2,2,0,0,False
aws-cloudformation__cfn-lint-3399,aws-cloudformation/cfn-lint,2,2,0,0,False
