task_id,repo_key,repo_files,ball_files,ball_lines,key_files,key_lines,ball_recall,ball_share_of_repo
aiogram__aiogram-1674::aiogram/fsm/scene.py,aiogram/aiogram,602,503,50008,2,146,1.0,0.8369384359400999
aiogram__aiogram-661::aiogram/methods/answer_inline_query.py,aiogram/aiogram,290,243,15815,2,1976,1.0,0.8408304498269896
aiogram__aiogram-661::aiogram/types/message.py,aiogram/aiogram,290,244,14319,2,197,1.0,0.8442906574394463
aiogram__aiogram-1474::aiogram/dispatcher/middlewares/user_context.py,aiogram/aiogram,453,334,38837,10,1846,1.0,0.7389380530973452
aiogram__aiogram-1267::aiogram/dispatcher/event/telegram.py,aiogram/aiogram,391,289,33105,7,4029,1.0,0.7410256410256411
aiogram__aiogram-1267::aiogram/dispatcher/router.py,aiogram/aiogram,391,290,33067,7,3937,1.0,0.7435897435897436
aiogram__aiogram-1267::examples/context_addition_from_filter.py,aiogram/aiogram,391,284,32764,7,4140,0.8571428571428571,0.7282051282051282
aiogram__aiogram-1267::examples/multibot.py,aiogram/aiogram,391,311,33713,7,4082,0.8571428571428571,0.7974358974358975
aiogram__aiogram-1250::aiogram/utils/chat_action.py,aiogram/aiogram,386,278,32211,2,7575,1.0,0.7220779220779221
aiogram__aiogram-1283::aiogram/utils/magic_filter.py,aiogram/aiogram,394,44,9238,2,436,0.5,0.11195928753180662
aiogram__aiogram-1283::aiogram/utils/markdown.py,aiogram/aiogram,394,35,10757,2,273,0.5,0.089058524173028
aiogram__aiogram-1370::aiogram/__init__.py,aiogram/aiogram,397,376,37180,1,182,1.0,0.9494949494949495
aiogram__aiogram-1370::aiogram/filters/callback_data.py,aiogram/aiogram,397,280,32720,1,41,1.0,0.7070707070707071
aiogram__aiogram-1594::aiogram/fsm/context.py,aiogram/aiogram,500,30,6101,3,1163,1.0,0.06012024048096192
aiogram__aiogram-1594::aiogram/fsm/scene.py,aiogram/aiogram,500,388,45299,3,289,1.0,0.7775551102204409
aiogram__aiogram-1594::aiogram/fsm/storage/base.py,aiogram/aiogram,500,30,9906,3,1012,1.0,0.06012024048096192
aiogram__aiogram-1594::aiogram/fsm/storage/memory.py,aiogram/aiogram,500,38,11949,3,1121,1.0,0.07615230460921844
aiogram__aiogram-1318::aiogram/fsm/middleware.py,aiogram/aiogram,397,293,33874,1,32,1.0,0.73989898989899
aiogram__aiogram-912::aiogram/methods/base.py,aiogram/aiogram,319,278,18904,1,27,1.0,0.8742138364779874
aiogram__aiogram-912::aiogram/types/force_reply.py,aiogram/aiogram,319,240,17648,1,158,1.0,0.7547169811320755
aiogram__aiogram-989::aiogram/dispatcher/dispatcher.py,aiogram/aiogram,322,297,19768,1,120,1.0,0.9252336448598131
aiogram__aiogram-989::aiogram/exceptions.py,aiogram/aiogram,322,130,13003,1,480,1.0,0.40498442367601245
astropy__astropy-14163::astropy/units/quantity_helper/function_helpers.py,astropy/astropy,492,198,137359,1,2651,1.0,0.40325865580448067
astropy__astropy-14413::astropy/units/format/console.py,astropy/astropy,497,14,8549,2,214,1.0,0.028225806451612902
astropy__astropy-14413::astropy/units/format/latex.py,astropy/astropy,497,14,8506,2,171,1.0,0.028225806451612902
astropy__astropy-14413::astropy/units/format/unicode_format.py,astropy/astropy,497,14,8582,2,247,1.0,0.028225806451612902
astropy__astropy-8519::astropy/units/function/core.py,astropy/astropy,413,114,73364,1,2358,1.0,0.2766990291262136
astropy__astropy-14528::astropy/io/fits/hdu/image.py,astropy/astropy,497,92,81027,1,932,1.0,0.18548387096774194
astropy__astropy-7441::astropy/time/core.py,astropy/astropy,389,162,98253,2,1200,1.0,0.4175257731958763
astropy__astropy-7441::astropy/time/formats.py,astropy/astropy,389,133,82644,2,2057,1.0,0.3427835051546392
astropy__astropy-13842::astropy/table/table.py,astropy/astropy,491,279,153121,2,1912,1.0,0.5693877551020409
astropy__astropy-13842::astropy/table/table_helpers.py,astropy/astropy,491,71,50142,2,5677,1.0,0.14489795918367346
astropy__astropy-14590::astropy/utils/masked/core.py,astropy/astropy,497,33,31399,1,466,1.0,0.06653225806451613
astropy__astroquery-3068::astroquery/simbad/core.py,astropy/astroquery,249,77,38579,2,183,1.0,0.31048387096774194
astropy__astroquery-3031::astroquery/mast/cloud.py,astropy/astroquery,247,60,34679,3,1687,1.0,0.24390243902439024
astropy__astroquery-3031::astroquery/mast/observations.py,astropy/astroquery,247,86,42293,3,934,1.0,0.34959349593495936
astropy__astroquery-3031::astroquery/query.py,astropy/astroquery,247,157,46895,3,1329,1.0,0.6382113821138211
astropy__photutils-1943::photutils/detection/core.py,astropy/photutils,96,16,5223,3,1310,1.0,0.16842105263157894
astropy__photutils-1943::photutils/detection/irafstarfinder.py,astropy/photutils,96,21,12095,3,976,1.0,0.22105263157894736
astropy__photutils-1943::photutils/detection/peakfinder.py,astropy/photutils,96,29,17319,3,1380,1.0,0.30526315789473685
astropy__photutils-1943::photutils/detection/starfinder.py,astropy/photutils,96,27,14977,3,1143,1.0,0.28421052631578947
astropy__photutils-1648::photutils/morphology/core.py,astropy/photutils,87,11,6876,1,3684,1.0,0.12790697674418605
astropy__photutils-1663::photutils/detection/core.py,astropy/photutils,87,15,5176,3,1634,1.0,0.1744186046511628
astropy__photutils-1663::photutils/detection/daofinder.py,astropy/photutils,87,18,12237,3,1208,1.0,0.20930232558139536
astropy__photutils-1663::photutils/detection/irafstarfinder.py,astropy/photutils,87,20,12472,3,1370,1.0,0.23255813953488372
astropy__photutils-1663::photutils/detection/starfinder.py,astropy/photutils,87,20,12614,3,1512,1.0,0.23255813953488372
astropy__photutils-1978::photutils/detection/daofinder.py,astropy/photutils,96,19,11896,1,626,1.0,0.2
astropy__photutils-1978::photutils/detection/irafstarfinder.py,astropy/photutils,96,21,12133,1,790,1.0,0.22105263157894736
astropy__photutils-1477::photutils/psf/photometry.py,astropy/photutils,80,40,21018,1,344,1.0,0.5063291139240507
aws-cloudformation__cfn-lint-3714::src/cfnlint/conditions/_equals.py,aws-cloudformation/cfn-lint,889,88,14743,3,853,1.0,0.0990990990990991
aws-cloudformation__cfn-lint-3714::src/cfnlint/conditions/conditions.py,aws-cloudformation/cfn-lint,889,14,4112,3,576,1.0,0.015765765765765764
aws-cloudformation__cfn-lint-3399::src/cfnlint/jsonschema/_filter.py,aws-cloudformation/cfn-lint,704,77,12930,4,970,0.75,0.10953058321479374
aws-cloudformation__cfn-lint-3399::src/cfnlint/rules/functions/FindInMap.py,aws-cloudformation/cfn-lint,704,127,10366,4,1033,0.5,0.1806543385490754
aws-cloudformation__cfn-lint-3712::src/cfnlint/rules/conditions/And.py,aws-cloudformation/cfn-lint,889,147,12404,6,1523,0.6666666666666666,0.16554054054054054
aws-cloudformation__cfn-lint-3712::src/cfnlint/rules/conditions/Not.py,aws-cloudformation/cfn-lint,889,147,12404,6,1523,0.6666666666666666,0.16554054054054054
aws-cloudformation__cfn-lint-3712::src/cfnlint/rules/conditions/Or.py,aws-cloudformation/cfn-lint,889,147,12404,6,1523,0.6666666666666666,0.16554054054054054
aws-cloudformation__cfn-lint-3563::src/cfnlint/context/conditions/_conditions.py,aws-cloudformation/cfn-lint,868,18,3277,8,1601,0.5,0.020761245674740483
aws-cloudformation__cfn-lint-3563::src/cfnlint/context/conditions/_utils.py,aws-cloudformation/cfn-lint,868,84,14395,8,1635,0.75,0.09688581314878893
aws-cloudformation__cfn-lint-3563::src/cfnlint/jsonschema/_filter.py,aws-cloudformation/cfn-lint,868,90,14397,8,1578,0.75,0.10380622837370242
aws-cloudformation__cfn-lint-3563::src/cfnlint/rules/resources/properties/Properties.py,aws-cloudformation/cfn-lint,868,194,19000,8,1642,0.625,0.223760092272203
aws-cloudformation__cfn-lint-3563::src/cfnlint/rules/resources/properties/Tagging.py,aws-cloudformation/cfn-lint,868,233,22419,8,1705,0.75,0.2687427912341407
aws-cloudformation__cfn-lint-3707::src/cfnlint/rules/functions/DynamicReferenceSecretsManagerPath.py,aws-cloudformation/cfn-lint,889,226,19190,2,690,0.5,0.2545045045045045
aws-cloudformation__cfn-lint-3663::src/cfnlint/conditions/_equals.py,aws-cloudformation/cfn-lint,881,83,14414,1,144,1.0,0.09431818181818181
aws-cloudformation__cfn-lint-3663::src/cfnlint/conditions/_rule.py,aws-cloudformation/cfn-lint,881,82,14292,1,175,1.0,0.09318181818181819
aws-cloudformation__cfn-lint-3548::src/cfnlint/rules/resources/ectwo/InstanceImageId.py,aws-cloudformation/cfn-lint,867,168,18076,4,1118,1.0,0.19399538106235567
aws-cloudformation__cfn-lint-3548::src/cfnlint/rules/resources/lmbd/PermissionSourceAccount.py,aws-cloudformation/cfn-lint,867,169,18288,4,1146,1.0,0.1951501154734411
aws-cloudformation__cfn-lint-4236::src/cfnlint/rules/resources/iam/StatementResources.py,aws-cloudformation/cfn-lint,2091,200,22013,2,758,0.5,0.09569377990430622
aws-cloudformation__cfn-lint-3785::src/cfnlint/jsonschema/_resolvers_cfn.py,aws-cloudformation/cfn-lint,1162,185,20060,3,1173,0.6666666666666666,0.15934539190353145
aws-cloudformation__cfn-lint-3731::src/cfnlint/jsonschema/_resolvers_cfn.py,aws-cloudformation/cfn-lint,889,184,19972,3,967,1.0,0.2072072072072072
aws-cloudformation__cfn-lint-3731::src/cfnlint/rules/functions/GetAtt.py,aws-cloudformation/cfn-lint,889,185,20127,3,1229,1.0,0.20833333333333334
aws-cloudformation__cfn-lint-3731::src/cfnlint/rules/outputs/Value.py,aws-cloudformation/cfn-lint,889,203,20404,3,1339,1.0,0.2286036036036036
aws-cloudformation__cfn-lint-3552::src/cfnlint/context/conditions/_conditions.py,aws-cloudformation/cfn-lint,867,16,3047,9,2778,0.2222222222222222,0.018475750577367205
aws-cloudformation__cfn-lint-3552::src/cfnlint/jsonschema/_filter.py,aws-cloudformation/cfn-lint,867,89,14283,9,2732,0.3333333333333333,0.10277136258660508
aws-cloudformation__cfn-lint-3552::src/cfnlint/jsonschema/validators.py,aws-cloudformation/cfn-lint,867,202,21486,9,2479,0.4444444444444444,0.23325635103926096
aws-cloudformation__cfn-lint-3552::src/cfnlint/template/template.py,aws-cloudformation/cfn-lint,867,180,19377,9,1617,0.6666666666666666,0.20785219399538107
aws-cloudformation__cfn-lint-3855::src/cfnlint/rules/conditions/EqualsIsUseful.py,aws-cloudformation/cfn-lint,1896,227,19364,1,344,1.0,0.11978891820580474
aws-cloudformation__cfn-lint-3639::src/cfnlint/rules/functions/GetAtt.py,aws-cloudformation/cfn-lint,879,178,19402,4,193,0.5,0.20273348519362186
aws-cloudformation__cfn-lint-3450::src/cfnlint/rules/resources/PrimaryIdentifiers.py,aws-cloudformation/cfn-lint,836,115,12510,3,1249,0.6666666666666666,0.1377245508982036
aws-cloudformation__cfn-lint-3450::src/cfnlint/schema/manager.py,aws-cloudformation/cfn-lint,836,77,12013,3,878,1.0,0.09221556886227544
aws-cloudformation__cfn-lint-4026::src/cfnlint/rules/resources/iam/Permissions.py,aws-cloudformation/cfn-lint,2002,195,21800,5,1787,1.0,0.09745127436281859
aws-cloudformation__cfn-lint-4026::src/cfnlint/rules/resources/iam/StatementResources.py,aws-cloudformation/cfn-lint,2002,197,21729,5,1700,1.0,0.09845077461269365
beeware__briefcase-2214::src/briefcase/commands/build.py,beeware/briefcase,76,48,20664,7,3503,1.0,0.64
beeware__briefcase-2214::src/briefcase/commands/create.py,beeware/briefcase,76,49,19829,7,2635,1.0,0.6533333333333333
beeware__briefcase-2214::src/briefcase/commands/package.py,beeware/briefcase,76,48,20625,7,3464,1.0,0.64
beeware__briefcase-2214::src/briefcase/commands/update.py,beeware/briefcase,76,38,18085,7,3547,1.0,0.5066666666666667
beeware__briefcase-1387::src/briefcase/integrations/docker.py,beeware/briefcase,61,47,15584,1,613,1.0,0.7833333333333333
beeware__briefcase-2302::src/briefcase/platforms/macOS/app.py,beeware/briefcase,76,38,18764,4,4454,1.0,0.5066666666666667
beeware__briefcase-1373::src/briefcase/platforms/linux/appimage.py,beeware/briefcase,61,46,15694,1,536,1.0,0.7666666666666667
beeware__briefcase-927::src/briefcase/commands/create.py,beeware/briefcase,60,44,10831,1,543,1.0,0.7457627118644068
beeware__briefcase-927::src/briefcase/commands/new.py,beeware/briefcase,60,32,8092,1,813,1.0,0.5423728813559322
