source,size_q,method,auc,rank
co_edited,Q1,bm25_issue,0.5155181086519114,7
co_edited,Q2,bm25_issue,0.4017836433778283,7
co_edited,Q3,bm25_issue,0.3341122454787926,6
co_edited,Q4,bm25_issue,0.28703235815602834,6
co_edited,Q1,bm25_issue_pl,0.5065895372233401,10
co_edited,Q2,bm25_issue_pl,0.3787666856006816,12
co_edited,Q3,bm25_issue_pl,0.293694298074421,12
co_edited,Q4,bm25_issue_pl,0.20001773049645388,14
co_edited,Q1,bm25_seed,0.5078345070422535,9
co_edited,Q2,bm25_seed,0.38517111616018174,10
co_edited,Q3,bm25_seed,0.3337831162177986,7
co_edited,Q4,bm25_seed,0.2771969984802432,7
co_edited,Q1,hops_lines,0.5167169684775319,6
co_edited,Q2,hops_lines,0.4121591877307583,6
co_edited,Q3,hops_lines,0.3287592701014832,8
co_edited,Q4,hops_lines,0.24366451367781156,10
co_edited,Q1,pagerank,0.4417435166554885,19
co_edited,Q2,pagerank,0.29869503218782545,19
co_edited,Q3,pagerank,0.1985688264376789,19
co_edited,Q4,pagerank,0.11262664640324214,19
co_edited,Q1,path_issue,0.5372373127654818,5
co_edited,Q2,path_issue,0.4369990375209063,4
co_edited,Q3,path_issue,0.3724476727166276,5
co_edited,Q4,path_issue,0.3019432835190814,5
co_edited,Q1,path_seed,0.49844902749832326,11
co_edited,Q2,path_seed,0.38325690697087317,11
co_edited,Q3,path_seed,0.2955384248417035,11
co_edited,Q4,path_seed,0.2614833459979737,9
co_edited,Q1,ppr_in,0.4504597026604069,17
co_edited,Q2,ppr_in,0.3390835542301745,17
co_edited,Q3,ppr_in,0.2409936694964871,18
co_edited,Q4,ppr_in,0.15577771445457617,18
co_edited,Q1,ppr_in_pl,0.4502445226917058,18
co_edited,Q2,ppr_in_pl,0.34313060131275835,16
co_edited,Q3,ppr_in_pl,0.2544637436030879,16
co_edited,Q4,ppr_in_pl,0.1569325185748058,17
co_edited,Q1,ppr_out,0.4599723340040241,16
