source,method,budget,share_full
co_edited,bfs_und,250,0.01059322033898305
co_edited,bfs_und,500,0.01765536723163842
co_edited,bfs_und,1000,0.04778719397363466
co_edited,bfs_und,2000,0.10334274952919022
co_edited,bfs_und,4000,0.20289548022598872
co_edited,bfs_und,8000,0.36586629001883236
co_edited,bfs_und,16000,0.5511859922876872
co_edited,bfs_und,32000,0.740356246076585
co_edited,bm25_issue,250,0.025423728813559324
co_edited,bm25_issue,500,0.051789077212806026
co_edited,bm25_issue,1000,0.11664312617702448
co_edited,bm25_issue,2000,0.21756120527306969
co_edited,bm25_issue,4000,0.3624058380414312
co_edited,bm25_issue,8000,0.5177495291902071
co_edited,bm25_issue,16000,0.6772363465160075
co_edited,bm25_issue,32000,0.8376647834274954
co_edited,bm25_issue_pl,250,0.034486817325800376
co_edited,bm25_issue_pl,500,0.05943973634651601
co_edited,bm25_issue_pl,1000,0.0992231638418079
co_edited,bm25_issue_pl,2000,0.1608286252354049
co_edited,bm25_issue_pl,4000,0.2584510357815442
co_edited,bm25_issue_pl,8000,0.3984855618330195
co_edited,bm25_issue_pl,16000,0.5853023271455475
co_edited,bm25_issue_pl,32000,0.7746351224105462
co_edited,bm25_seed,250,0.0253060263653484
co_edited,bm25_seed,500,0.05520244821092279
co_edited,bm25_seed,1000,0.1074623352165725
co_edited,bm25_seed,2000,0.1955743879472693
co_edited,bm25_seed,4000,0.3413370998116761
co_edited,bm25_seed,8000,0.4877824858757063
co_edited,bm25_seed,16000,0.6672591023226616
co_edited,bm25_seed,32000,0.8162311676082862
co_edited,hops_lines,250,0.038370998116760834
co_edited,hops_lines,500,0.06638418079096045
co_edited,hops_lines,1000,0.11146421845574389
co_edited,hops_lines,2000,0.1875
co_edited,hops_lines,4000,0.31751412429378534
co_edited,hops_lines,8000,0.4805947897049592
co_edited,hops_lines,16000,0.6516416689086181
co_edited,hops_lines,32000,0.8080076898932831
co_edited,indegree,250,0.002824858757062147
co_edited,indegree,500,0.007768361581920904
co_edited,indegree,1000,0.02354048964218456
co_edited,indegree,2000,0.060193032015065914
co_edited,indegree,4000,0.1404190207156309
co_edited,indegree,8000,0.2817796610169492
co_edited,indegree,16000,0.5040411173885749
co_edited,indegree,32000,0.706120527306968
co_edited,oracle,250,0.18443973634651603
co_edited,oracle,500,0.3403954802259887
co_edited,oracle,1000,0.5426710608913998
co_edited,oracle,2000,0.7496115819209039
co_edited,oracle,4000,0.9050483140525514
co_edited,oracle,8000,0.9750470809792844
co_edited,oracle,16000,0.9958568738229756
co_edited,oracle,32000,1.0
co_edited,pagerank,250,0.0007062146892655367
co_edited,pagerank,500,0.010357815442561204
co_edited,pagerank,1000,0.03695856873822976
co_edited,pagerank,2000,0.07085687382297551
co_edited,pagerank,4000,0.16895009416195855
co_edited,pagerank,8000,0.3193032015065913
co_edited,pagerank,16000,0.5008553044569993
co_edited,pagerank,32000,0.7235640301318267
co_edited,path_issue,250,0.042725988700564974
co_edited,path_issue,500,0.08403954802259887
co_edited,path_issue,1000,0.15028248587570622
co_edited,path_issue,2000,0.23693502824858756
co_edited,path_issue,4000,0.34467984934086626
co_edited,path_issue,8000,0.4839924670433145
co_edited,path_issue,16000,0.6257297551789077
co_edited,path_issue,32000,0.8003060263653484
co_edited,path_seed,250,0.025423728813559324
co_edited,path_seed,500,0.04296139359698682
co_edited,path_seed,1000,0.0762241054613936
co_edited,path_seed,2000,0.13342749529190207
co_edited,path_seed,4000,0.24912900188323917
co_edited,path_seed,8000,0.39555084745762714
co_edited,path_seed,16000,0.5646337772397094
co_edited,path_seed,32000,0.7943009595551969
co_edited,ppr_in,250,0.013182674199623353
co_edited,ppr_in,500,0.0237758945386064
co_edited,ppr_in,1000,0.054143126177024485
co_edited,ppr_in,2000,0.10654425612052731
co_edited,ppr_in,4000,0.20393126177024481
co_edited,ppr_in,8000,0.33990897677338355
co_edited,ppr_in,16000,0.5283377051385526
co_edited,ppr_in,32000,0.7341101694915254
co_edited,ppr_in_pl,250,0.01577212806026365
co_edited,ppr_in_pl,500,0.0371939736346516
co_edited,ppr_in_pl,1000,0.06878531073446328
co_edited,ppr_in_pl,2000,0.1044256120527307
co_edited,ppr_in_pl,4000,0.19896421845574389
co_edited,ppr_in_pl,8000,0.3393126177024482
co_edited,ppr_in_pl,16000,0.5271068738229755
co_edited,ppr_in_pl,32000,0.7311676082862523
co_edited,ppr_out,250,0.014595103578154427
co_edited,ppr_out,500,0.024246704331450097
co_edited,ppr_out,1000,0.04766949152542373
co_edited,ppr_out,2000,0.10115348399246703
co_edited,ppr_out,4000,0.19260828625235407
co_edited,ppr_out,8000,0.34500941619585684
co_edited,ppr_out,16000,0.5381042059008161
co_edited,ppr_out,32000,0.7463590709353422
co_edited,ppr_out_pl,250,0.0237758945386064
co_edited,ppr_out_pl,500,0.038370998116760834
co_edited,ppr_out_pl,1000,0.06485404896421845
co_edited,ppr_out_pl,2000,0.11845574387947268
co_edited,ppr_out_pl,4000,0.2121468926553672
co_edited,ppr_out_pl,8000,0.35383709981167605
co_edited,ppr_out_pl,16000,0.5448777015514303
co_edited,ppr_out_pl,32000,0.7462570621468927
co_edited,ppr_und,250,0.011299435028248588
co_edited,ppr_und,500,0.025423728813559324
co_edited,ppr_und,1000,0.0687382297551789
co_edited,ppr_und,2000,0.15496704331450095
co_edited,ppr_und,4000,0.2908662900188324
co_edited,ppr_und,8000,0.45014124293785307
co_edited,ppr_und,16000,0.6550141242937854
co_edited,ppr_und,32000,0.8164783427495292
co_edited,ppr_und_pl,250,0.025659133709981168
co_edited,ppr_und_pl,500,0.05167137476459511
co_edited,ppr_und_pl,1000,0.10357815442561205
co_edited,ppr_und_pl,2000,0.1568502824858757
co_edited,ppr_und_pl,4000,0.29171374764595104
co_edited,ppr_und_pl,8000,0.4505728185812931
co_edited,ppr_und_pl,16000,0.6392823513586225
co_edited,ppr_und_pl,32000,0.8126586180611604
co_edited,random,250,0.0
co_edited,random,500,0.0
co_edited,random,1000,0.002824858757062147
co_edited,random,2000,0.007886064030131826
co_edited,random,4000,0.035381355932203394
co_edited,random,8000,0.15298964218455743
co_edited,random,16000,0.31682696619137296
co_edited,random,32000,0.5745056497175142
co_edited,rrf_hops_issue_path,250,0.03613465160075329
co_edited,rrf_hops_issue_path,500,0.08498116760828625
co_edited,rrf_hops_issue_path,1000,0.16257062146892653
co_edited,rrf_hops_issue_path,2000,0.2643596986817326
co_edited,rrf_hops_issue_path,4000,0.4185969868173258
co_edited,rrf_hops_issue_path,8000,0.5850517890772128
co_edited,rrf_hops_issue_path,16000,0.7372427360774818
co_edited,rrf_hops_issue_path,32000,0.8710922787193974
co_edited,rrf_hops_path,250,0.04543314500941619
co_edited,rrf_hops_path,500,0.08286252354048963
co_edited,rrf_hops_path,1000,0.13333333333333333
co_edited,rrf_hops_path,2000,0.23700564971751414
co_edited,rrf_hops_path,4000,0.3783662900188324
co_edited,rrf_hops_path,8000,0.5450486503452605
co_edited,rrf_hops_path,16000,0.7001602995247064
co_edited,rrf_hops_path,32000,0.8382062146892656
co_edited,rrf_ppr_issue,250,0.014124293785310734
co_edited,rrf_ppr_issue,500,0.03625235404896422
co_edited,rrf_ppr_issue,1000,0.0937617702448211
co_edited,rrf_ppr_issue,2000,0.1821563088512241
co_edited,rrf_ppr_issue,4000,0.3385828625235405
co_edited,rrf_ppr_issue,8000,0.5059322033898305
co_edited,rrf_ppr_issue,16000,0.7103107344632767
co_edited,rrf_ppr_issue,32000,0.857455609362389
co_edited,rrf_ppr_issue_path,250,0.026836158192090395
co_edited,rrf_ppr_issue_path,500,0.06061676082862523
co_edited,rrf_ppr_issue_path,1000,0.12766007532956686
co_edited,rrf_ppr_issue_path,2000,0.2193973634651601
co_edited,rrf_ppr_issue_path,4000,0.3654425612052731
co_edited,rrf_ppr_issue_path,8000,0.5335922787193973
co_edited,rrf_ppr_issue_path,16000,0.7256826741996233
co_edited,rrf_ppr_issue_path,32000,0.8673493408662901
co_edited,rrf_pprpl_issue_path,250,0.0464924670433145
co_edited,rrf_pprpl_issue_path,500,0.09675141242937853
co_edited,rrf_pprpl_issue_path,1000,0.16657250470809792
co_edited,rrf_pprpl_issue_path,2000,0.2704331450094162
co_edited,rrf_pprpl_issue_path,4000,0.41862052730696797
co_edited,rrf_pprpl_issue_path,8000,0.5654661016949153
co_edited,rrf_pprpl_issue_path,16000,0.7393709084387051
co_edited,rrf_pprpl_issue_path,32000,0.8788606403013183
co_edited,same_dir,250,0.008945386064030132
co_edited,same_dir,500,0.019538606403013182
co_edited,same_dir,1000,0.04025423728813559
co_edited,same_dir,2000,0.08121468926553672
co_edited,same_dir,4000,0.1586629001883239
co_edited,same_dir,8000,0.2775423728813559
co_edited,same_dir,16000,0.4429064657878217
co_edited,same_dir,32000,0.6741525423728814
symbol,bfs_und,250,0.010813148788927335
symbol,bfs_und,500,0.025807381776239906
symbol,bfs_und,1000,0.06473471741637832
symbol,bfs_und,2000,0.12809976931949252
symbol,bfs_und,4000,0.23693771626297577
symbol,bfs_und,8000,0.40064878892733563
symbol,bfs_und,16000,0.579731353325644
symbol,bfs_und,32000,0.7641724336793541
symbol,bm25_issue,250,0.009948096885813149
symbol,bm25_issue,500,0.02696078431372549
symbol,bm25_issue,1000,0.07129469434832757
symbol,bm25_issue,2000,0.13155997693194926
symbol,bm25_issue,4000,0.23911476355247982
symbol,bm25_issue,8000,0.3689302191464821
symbol,bm25_issue,16000,0.538538062283737
symbol,bm25_issue,32000,0.7462370242214532
symbol,bm25_issue_pl,250,0.026239907727797
symbol,bm25_issue_pl,500,0.045487312572087664
symbol,bm25_issue_pl,1000,0.07713379469434833
symbol,bm25_issue_pl,2000,0.11959342560553633
symbol,bm25_issue_pl,4000,0.2067329873125721
symbol,bm25_issue_pl,8000,0.33881199538638984
symbol,bm25_issue_pl,16000,0.5158520761245675
symbol,bm25_issue_pl,32000,0.7268694732795078
symbol,bm25_seed,250,0.012254901960784314
symbol,bm25_seed,500,0.028546712802768166
symbol,bm25_seed,1000,0.06221164936562861
symbol,bm25_seed,2000,0.13155997693194926
symbol,bm25_seed,4000,0.23398212226066897
symbol,bm25_seed,8000,0.3656430219146482
symbol,bm25_seed,16000,0.5419646289888504
symbol,bm25_seed,32000,0.7422433679354095
symbol,hops_lines,250,0.048875432525951557
symbol,hops_lines,500,0.0845876585928489
symbol,hops_lines,1000,0.14658304498269895
symbol,hops_lines,2000,0.23748558246828144
symbol,hops_lines,4000,0.36131776239907726
symbol,hops_lines,8000,0.5099913494809688
symbol,hops_lines,16000,0.6637302960399847
symbol,hops_lines,32000,0.8164311803152634
symbol,indegree,250,0.01787773933102653
symbol,indegree,500,0.03726931949250289
symbol,indegree,1000,0.06646482122260669
symbol,indegree,2000,0.12636966551326415
symbol,indegree,4000,0.23013264129181085
symbol,indegree,8000,0.3892733564013841
symbol,indegree,16000,0.6153917449332674
symbol,indegree,32000,0.7776672433679355
symbol,oracle,250,0.17267877739331028
symbol,oracle,500,0.30472895040369086
symbol,oracle,1000,0.5014850057670127
symbol,oracle,2000,0.714499231064975
symbol,oracle,4000,0.8793863623880925
symbol,oracle,8000,0.9594579008073819
symbol,oracle,16000,0.9924163783160324
symbol,oracle,32000,1.0
symbol,pagerank,250,0.02371683967704729
symbol,pagerank,500,0.04988465974625144
symbol,pagerank,1000,0.09119088811995386
symbol,pagerank,2000,0.15722318339100347
symbol,pagerank,4000,0.27122260668973475
symbol,pagerank,8000,0.43414071510957325
symbol,pagerank,16000,0.6238033448673587
symbol,pagerank,32000,0.7918973471741637
symbol,path_issue,250,0.02861880046136102
symbol,path_issue,500,0.055435409457900806
symbol,path_issue,1000,0.09421856978085352
symbol,path_issue,2000,0.15862168396770474
symbol,path_issue,4000,0.23246828143021916
symbol,path_issue,8000,0.3692329873125721
symbol,path_issue,16000,0.5353902345251826
symbol,path_issue,32000,0.7365772779700116
symbol,path_seed,250,0.009948096885813149
symbol,path_seed,500,0.027393310265282585
symbol,path_seed,1000,0.057309688581314876
symbol,path_seed,2000,0.10755478662053056
symbol,path_seed,4000,0.21461937716262974
symbol,path_seed,8000,0.3629325259515571
symbol,path_seed,16000,0.5371563821607074
symbol,path_seed,32000,0.7744665513264128
symbol,ppr_in,250,0.003748558246828143
symbol,ppr_in,500,0.009371395617070358
symbol,ppr_in,1000,0.021986735870818917
symbol,ppr_in,2000,0.051643598615916955
symbol,ppr_in,4000,0.11317762399077279
symbol,ppr_in,8000,0.2278258362168397
symbol,ppr_in,16000,0.41330738177623993
symbol,ppr_in,32000,0.6543540945790081
symbol,ppr_in_pl,250,0.005046136101499423
symbol,ppr_in_pl,500,0.012110726643598616
symbol,ppr_in_pl,1000,0.026744521337946945
symbol,ppr_in_pl,2000,0.05149942329873126
symbol,ppr_in_pl,4000,0.11378316032295271
symbol,ppr_in_pl,8000,0.22264994232987312
symbol,ppr_in_pl,16000,0.41123125720876585
symbol,ppr_in_pl,32000,0.6498702422145328
symbol,ppr_out,250,0.037197231833910036
