source,method,family,n_pr,auc,ci_lo,ci_hi,rank,rank_if_ranked,population
co_edited,rrf_pprpl_issue_path_dense,dense,702,0.5159832922564404,0.48507405855360736,0.5470498628275348,,2.0,shared
co_edited,rrf_pprpl_dense_path,dense,702,0.5053572606234643,0.47454827888354484,0.53605230703218,,2.0,shared
co_edited,rrf_pprpl_issue_path,fusion,702,0.4868572078641523,0.45608882368826287,0.5178689607900248,2.0,2.0,shared
co_edited,rrf_pprpl_dense,dense,702,0.4739545177045177,0.4410371402479848,0.5063936394643492,,4.0,shared
co_edited,dense_issue,dense,702,0.4728296138018361,0.4394260292809178,0.5047379344449298,,4.0,shared
co_edited,path_issue,lexical,702,0.43484535868795127,0.40520991860295896,0.46362612141863263,6.0,6.0,shared
co_edited,rrf_pprpl_seedpath,fusion-control,702,0.4180679210193099,0.38471266298808443,0.45115996085533727,,7.0,shared
co_edited,rrf_pprpl_seeddense_path,dense,702,0.4175517276790425,0.3825316021681101,0.4517851121906311,,7.0,shared
co_edited,bm25_issue,lexical,702,0.4085275064441732,0.3806867909545591,0.43499356246722604,7.0,7.0,shared
co_edited,dense_seed,dense,702,0.39765600269072493,0.36060684624267475,0.4328133138078706,,8.0,shared
co_edited,bm25_seed,lexical,702,0.39305894722561396,0.36101820112769034,0.423757273706407,9.0,9.0,shared
co_edited,ppr_und_pl,structure,702,0.37193597940125717,0.33814131882495657,0.40552050983436844,11.0,11.0,shared
symbol,rrf_pprpl_dense_path,dense,702,0.48780429249215274,0.45768287536666746,0.5166478527368988,,2.0,shared
symbol,rrf_pprpl_issue_path_dense,dense,702,0.4801599578044453,0.4489850142682817,0.5092919694226987,,2.0,shared
symbol,rrf_pprpl_dense,dense,702,0.47624370024238816,0.444355245020545,0.5058940818120748,,2.0,shared
symbol,rrf_pprpl_issue_path,fusion,702,0.47021607080736594,0.4388222421294165,0.49911503864880397,2.0,2.0,shared
symbol,ppr_und_pl,structure,702,0.4361279357486342,0.4053305520368309,0.4670313924522664,5.0,5.0,shared
symbol,rrf_pprpl_seeddense_path,dense,702,0.4260100944143473,0.39422636109104897,0.45660391139328027,,6.0,shared
symbol,dense_issue,dense,702,0.4216360617167523,0.38655447452056513,0.45554478557498,,7.0,shared
symbol,rrf_pprpl_seedpath,fusion-control,702,0.4186166888144805,0.3878945318129833,0.4480878280666184,,8.0,shared
symbol,path_issue,lexical,702,0.40422188588561886,0.37308582883586877,0.43479371021320407,9.0,9.0,shared
symbol,bm25_issue,lexical,702,0.36666381133942183,0.3366325294436705,0.3943019634100412,14.0,14.0,shared
symbol,dense_seed,dense,702,0.3641756515648172,0.3293456142640494,0.39751777074979816,,16.0,shared
symbol,bm25_seed,lexical,702,0.35281852006743114,0.3224792224192183,0.38188474699287933,17.0,17.0,shared
co_edited,rrf_pprpl_issue_path_dense,dense,707,0.5143747941971069,,,,2.0,all
co_edited,rrf_pprpl_dense_path,dense,707,0.5038681121513512,,,,2.0,all
co_edited,rrf_pprpl_issue_path,fusion,708,0.48582589285714284,,,2.0,2.0,all
co_edited,rrf_pprpl_dense,dense,707,0.47213985429155164,,,,4.0,all
co_edited,dense_issue,dense,707,0.4708223649745927,,,,4.0,all
co_edited,path_issue,lexical,708,0.4342253964517383,,,6.0,6.0,all
co_edited,rrf_pprpl_seedpath,fusion-control,708,0.4177814069365976,,,,7.0,all
co_edited,rrf_pprpl_seeddense_path,dense,707,0.4163987019450244,,,,7.0,all
co_edited,bm25_issue,lexical,708,0.4072061222087705,,,7.0,7.0,all
co_edited,dense_seed,dense,707,0.39519733223322334,,,,8.0,all
co_edited,bm25_seed,lexical,708,0.39307755470361405,,,8.0,8.0,all
co_edited,ppr_und_pl,structure,708,0.37141511972020447,,,11.0,11.0,all
symbol,ppr_und_pl,structure,1156,0.48932899880616615,,,3.0,3.0,all
symbol,rrf_pprpl_dense_path,dense,1149,0.48070600514323564,,,,4.0,all
symbol,rrf_pprpl_issue_path,fusion,1156,0.47350017102079317,,,6.0,6.0,all
symbol,rrf_pprpl_issue_path_dense,dense,1149,0.471379384711787,,,,7.0,all
symbol,rrf_pprpl_seeddense_path,dense,1149,0.4698258355442084,,,,7.0,all
symbol,rrf_pprpl_dense,dense,1149,0.468831799445554,,,,7.0,all
symbol,rrf_pprpl_seedpath,fusion-control,1156,0.43629101316501817,,,,10.0,all
symbol,path_issue,lexical,1156,0.38238263552099244,,,15.0,15.0,all
symbol,dense_issue,dense,1149,0.3636955945069694,,,,17.0,all
symbol,bm25_issue,lexical,1156,0.3404272250723622,,,18.0,18.0,all
symbol,bm25_seed,lexical,1156,0.33602775615587943,,,19.0,19.0,all
symbol,dense_seed,dense,1149,0.24397251738717732,,,,24.0,all
