half,source,method,family,n_pr,auc,ci_lo,ci_hi,rank,chosen_on_select,n_repos
select,co_edited,oracle,reference,320,0.7764536830357143,0.7487152471516421,0.8040332249426996,1.0,rrf_pprpl_issue_path,56
select,co_edited,rrf_pprpl_issue_path,fusion,320,0.48085136615410046,0.4355743619416176,0.5262544720736524,2.0,rrf_pprpl_issue_path,56
select,co_edited,rrf_hops_issue_path,fusion,320,0.47770270130621684,0.43212762185486847,0.5230686759982502,3.0,rrf_pprpl_issue_path,56
select,co_edited,rrf_hops_path,fusion,320,0.455888206845238,0.40975771255918203,0.5007482631907342,4.0,rrf_pprpl_issue_path,56
select,co_edited,rrf_ppr_issue_path,fusion,320,0.44622463004298946,0.401216398711551,0.4935482641821457,5.0,rrf_pprpl_issue_path,56
select,co_edited,path_issue,lexical,320,0.42235568576388893,0.3782099142249634,0.4660702102478418,6.0,rrf_pprpl_issue_path,56
select,co_edited,bm25_issue,lexical,320,0.40424339657738095,0.36051078804628206,0.4476309681030469,7.0,rrf_pprpl_issue_path,56
select,co_edited,rrf_ppr_issue,fusion,320,0.39066127232142855,0.34430308377574004,0.4375295576526804,8.0,rrf_pprpl_issue_path,56
select,co_edited,hops_lines,structure,320,0.3901179625496032,0.3399029205025084,0.43823008523802925,9.0,rrf_pprpl_issue_path,56
select,co_edited,bm25_seed,lexical,320,0.38709650917658733,0.342383088903232,0.430693356725402,10.0,rrf_pprpl_issue_path,56
select,co_edited,ppr_und_pl,structure,320,0.3693974764384921,0.31807639770361223,0.4177330607264213,11.0,rrf_pprpl_issue_path,56
select,co_edited,path_seed,lexical,320,0.3670949074074074,0.31894003169965807,0.4131851777901404,12.0,rrf_pprpl_issue_path,56
select,co_edited,bfs_und,structure,320,0.365587642609127,0.31754976378632943,0.4123360256262669,13.0,rrf_pprpl_issue_path,56
select,co_edited,ppr_und,structure,320,0.36325153976521163,0.3170838716734452,0.4079166463306561,14.0,rrf_pprpl_issue_path,56
select,co_edited,bm25_issue_pl,lexical,320,0.3425688244047619,0.28839120528713835,0.392825417120807,15.0,rrf_pprpl_issue_path,56
select,co_edited,ppr_out_pl,structure,320,0.32777865616732804,0.2805740864748677,0.3722883480052638,16.0,rrf_pprpl_issue_path,56
select,co_edited,same_dir,reference,320,0.3210137132109788,0.27584936604078975,0.36435980828125597,17.0,rrf_pprpl_issue_path,56
select,co_edited,ppr_out,structure,320,0.31306945477843917,0.2665137400809589,0.356732078800063,18.0,rrf_pprpl_issue_path,56
select,co_edited,ppr_in_pl,structure,320,0.3020178674768519,0.2518729590973215,0.34809179086068154,19.0,rrf_pprpl_issue_path,56
select,co_edited,ppr_in,structure,320,0.3012062355324074,0.2519131527541334,0.3474264715750027,20.0,rrf_pprpl_issue_path,56
select,co_edited,pagerank,global,320,0.2693821304563492,0.22102151490173655,0.31693314790394095,21.0,rrf_pprpl_issue_path,56
select,co_edited,indegree,global,320,0.2686159680886243,0.22218397144492374,0.31232160226917194,22.0,rrf_pprpl_issue_path,56
select,co_edited,random,reference,320,0.23765516493055555,0.19158485323388566,0.28336023784149067,23.0,rrf_pprpl_issue_path,56
select,co_edited,rrf_hops_pathseed,fusion-control,320,0.39998475735780425,0.35224832998231526,0.44553122373023535,,rrf_pprpl_issue_path,56
select,co_edited,rrf_pprpl_seedpath,fusion-control,320,0.415774997933201,0.369386621145029,0.4606708588497101,,rrf_pprpl_issue_path,56
select,symbol,oracle,reference,320,0.7861248245820794,0.7578253018350197,0.8126872379560441,1.0,rrf_pprpl_issue_path,56
select,symbol,rrf_pprpl_issue_path,fusion,320,0.471170046701467,0.42656685214389717,0.5156489159462027,2.0,rrf_pprpl_issue_path,56
select,symbol,rrf_hops_path,fusion,320,0.4591699479248101,0.4163218070892546,0.501571629115428,3.0,rrf_pprpl_issue_path,56
select,symbol,rrf_hops_issue_path,fusion,320,0.4556751998250981,0.4113149852697787,0.49926696766127965,4.0,rrf_pprpl_issue_path,56
select,symbol,ppr_und_pl,structure,320,0.4414612839538982,0.3983585195404464,0.48301175138195174,5.0,rrf_pprpl_issue_path,56
select,symbol,hops_lines,structure,320,0.43203078018855656,0.38905387860916546,0.4738201241886042,6.0,rrf_pprpl_issue_path,56
select,symbol,rrf_ppr_issue_path,fusion,320,0.426527743618977,0.38120925617816226,0.4715475065114512,7.0,rrf_pprpl_issue_path,56
select,symbol,ppr_out_pl,structure,320,0.42235607468415726,0.38287945370896287,0.46057083120662606,8.0,rrf_pprpl_issue_path,56
select,symbol,ppr_und,structure,320,0.41025075611530737,0.3709889122304077,0.4489581397214372,9.0,rrf_pprpl_issue_path,56
select,symbol,path_issue,lexical,320,0.3939869458963089,0.3463408730517081,0.44102048999766025,10.0,rrf_pprpl_issue_path,56
select,symbol,ppr_out,structure,320,0.39341834858022545,0.35371798333798804,0.43311521382164114,11.0,rrf_pprpl_issue_path,56
select,symbol,bfs_und,structure,320,0.3866924243218052,0.34344979192882275,0.4282242188761753,12.0,rrf_pprpl_issue_path,56
select,symbol,rrf_ppr_issue,fusion,320,0.3864272951390061,0.33863892068607715,0.43334342900466694,13.0,rrf_pprpl_issue_path,56
select,symbol,bm25_issue,lexical,320,0.3605775017947459,0.3135995908553995,0.4064207147692013,14.0,rrf_pprpl_issue_path,56
select,symbol,path_seed,lexical,320,0.35883384235726756,0.309745493959313,0.4052343198773353,15.0,rrf_pprpl_issue_path,56
select,symbol,pagerank,global,320,0.3568065110535157,0.3136361868222533,0.3991532272574762,16.0,rrf_pprpl_issue_path,56
select,symbol,indegree,global,320,0.34848710977712216,0.3065282636030374,0.38810370138649114,17.0,rrf_pprpl_issue_path,56
select,symbol,bm25_seed,lexical,320,0.34408223879996713,0.296295944366237,0.39144307727665223,18.0,rrf_pprpl_issue_path,56
select,symbol,bm25_issue_pl,lexical,320,0.3417996317812679,0.2907655831452951,0.3905197838098647,19.0,rrf_pprpl_issue_path,56
select,symbol,same_dir,reference,320,0.31211626477926524,0.267202168615587,0.3555323833471287,20.0,rrf_pprpl_issue_path,56
