task_id,instance_id,repo_key,source,key_files,key_lines,key_tokens,repo_files,repo_tokens
aiogram__aiogram-1674::aiogram/fsm/scene.py,aiogram__aiogram-1674,aiogram/aiogram,symbol,2,146,1105,602,537783
aiogram__aiogram-661::aiogram/methods/answer_inline_query.py,aiogram__aiogram-661,aiogram/aiogram,co_edited,1,1820,12840,290,164254
aiogram__aiogram-661::aiogram/methods/answer_inline_query.py,aiogram__aiogram-661,aiogram/aiogram,symbol,2,1976,14048,290,164254
aiogram__aiogram-661::aiogram/types/message.py,aiogram__aiogram-661,aiogram/aiogram,co_edited,1,41,514,290,164254
aiogram__aiogram-661::aiogram/types/message.py,aiogram__aiogram-661,aiogram/aiogram,symbol,2,197,1722,290,164254
aiogram__aiogram-1474::aiogram/dispatcher/middlewares/user_context.py,aiogram__aiogram-1474,aiogram/aiogram,symbol,10,1846,18820,453,411949
aiogram__aiogram-1267::aiogram/dispatcher/event/telegram.py,aiogram__aiogram-1267,aiogram/aiogram,co_edited,3,360,2701,391,352455
aiogram__aiogram-1267::aiogram/dispatcher/event/telegram.py,aiogram__aiogram-1267,aiogram/aiogram,symbol,6,3938,44423,391,352455
aiogram__aiogram-1267::aiogram/dispatcher/router.py,aiogram__aiogram-1267,aiogram/aiogram,co_edited,3,268,1863,391,352455
aiogram__aiogram-1267::aiogram/dispatcher/router.py,aiogram__aiogram-1267,aiogram/aiogram,symbol,6,3846,43585,391,352455
aiogram__aiogram-1267::examples/context_addition_from_filter.py,aiogram__aiogram-1267,aiogram/aiogram,co_edited,3,471,3430,391,352455
aiogram__aiogram-1267::examples/context_addition_from_filter.py,aiogram__aiogram-1267,aiogram/aiogram,symbol,6,4049,45152,391,352455
aiogram__aiogram-1267::examples/multibot.py,aiogram__aiogram-1267,aiogram/aiogram,co_edited,3,413,2932,391,352455
aiogram__aiogram-1267::examples/multibot.py,aiogram__aiogram-1267,aiogram/aiogram,symbol,7,4082,45364,391,352455
aiogram__aiogram-1250::aiogram/utils/chat_action.py,aiogram__aiogram-1250,aiogram/aiogram,symbol,2,7575,88465,386,351392
aiogram__aiogram-1283::aiogram/utils/magic_filter.py,aiogram__aiogram-1283,aiogram/aiogram,co_edited,1,185,1051,394,354389
aiogram__aiogram-1283::aiogram/utils/magic_filter.py,aiogram__aiogram-1283,aiogram/aiogram,symbol,2,436,2881,394,354389
aiogram__aiogram-1283::aiogram/utils/markdown.py,aiogram__aiogram-1283,aiogram/aiogram,co_edited,1,22,145,394,354389
aiogram__aiogram-1283::aiogram/utils/markdown.py,aiogram__aiogram-1283,aiogram/aiogram,symbol,2,273,1975,394,354389
aiogram__aiogram-1370::aiogram/__init__.py,aiogram__aiogram-1370,aiogram/aiogram,co_edited,1,182,1215,397,360000
aiogram__aiogram-1370::aiogram/__init__.py,aiogram__aiogram-1370,aiogram/aiogram,symbol,1,182,1215,397,360000
aiogram__aiogram-1370::aiogram/filters/callback_data.py,aiogram__aiogram-1370,aiogram/aiogram,co_edited,1,41,217,397,360000
aiogram__aiogram-1594::aiogram/fsm/context.py,aiogram__aiogram-1594,aiogram/aiogram,co_edited,3,1163,8149,500,487448
aiogram__aiogram-1594::aiogram/fsm/context.py,aiogram__aiogram-1594,aiogram/aiogram,symbol,3,1163,8149,500,487448
aiogram__aiogram-1594::aiogram/fsm/scene.py,aiogram__aiogram-1594,aiogram/aiogram,co_edited,3,289,1877,500,487448
aiogram__aiogram-1594::aiogram/fsm/scene.py,aiogram__aiogram-1594,aiogram/aiogram,symbol,3,289,1877,500,487448
aiogram__aiogram-1594::aiogram/fsm/storage/base.py,aiogram__aiogram-1594,aiogram/aiogram,co_edited,3,1012,7266,500,487448
aiogram__aiogram-1594::aiogram/fsm/storage/base.py,aiogram__aiogram-1594,aiogram/aiogram,symbol,3,1012,7266,500,487448
aiogram__aiogram-1594::aiogram/fsm/storage/memory.py,aiogram__aiogram-1594,aiogram/aiogram,co_edited,3,1121,7905,500,487448
aiogram__aiogram-1594::aiogram/fsm/storage/memory.py,aiogram__aiogram-1594,aiogram/aiogram,symbol,3,1121,7905,500,487448
aiogram__aiogram-1318::aiogram/fsm/middleware.py,aiogram__aiogram-1318,aiogram/aiogram,symbol,1,32,250,397,358526
aiogram__aiogram-912::aiogram/methods/base.py,aiogram__aiogram-912,aiogram/aiogram,co_edited,1,27,460,319,192297
aiogram__aiogram-912::aiogram/methods/base.py,aiogram__aiogram-912,aiogram/aiogram,symbol,1,27,460,319,192297
aiogram__aiogram-912::aiogram/types/force_reply.py,aiogram__aiogram-912,aiogram/aiogram,co_edited,1,158,1207,319,192297
aiogram__aiogram-912::aiogram/types/force_reply.py,aiogram__aiogram-912,aiogram/aiogram,symbol,1,158,1207,319,192297
aiogram__aiogram-989::aiogram/dispatcher/dispatcher.py,aiogram__aiogram-989,aiogram/aiogram,co_edited,1,120,745,322,194216
aiogram__aiogram-989::aiogram/dispatcher/dispatcher.py,aiogram__aiogram-989,aiogram/aiogram,symbol,1,120,745,322,194216
aiogram__aiogram-989::aiogram/exceptions.py,aiogram__aiogram-989,aiogram/aiogram,co_edited,1,480,3553,322,194216
aiogram__aiogram-989::aiogram/exceptions.py,aiogram__aiogram-989,aiogram/aiogram,symbol,1,480,3553,322,194216
astropy__astropy-14163::astropy/units/quantity_helper/function_helpers.py,astropy__astropy-14163,astropy/astropy,symbol,1,2651,18919,492,1684127
astropy__astropy-14413::astropy/units/format/console.py,astropy__astropy-14413,astropy/astropy,co_edited,2,214,1404,497,1696978
astropy__astropy-14413::astropy/units/format/console.py,astropy__astropy-14413,astropy/astropy,symbol,2,214,1404,497,1696978
astropy__astropy-14413::astropy/units/format/latex.py,astropy__astropy-14413,astropy/astropy,co_edited,2,171,1069,497,1696978
astropy__astropy-14413::astropy/units/format/latex.py,astropy__astropy-14413,astropy/astropy,symbol,2,171,1069,497,1696978
astropy__astropy-14413::astropy/units/format/unicode_format.py,astropy__astropy-14413,astropy/astropy,co_edited,2,247,1639,497,1696978
astropy__astropy-14413::astropy/units/format/unicode_format.py,astropy__astropy-14413,astropy/astropy,symbol,2,247,1639,497,1696978
astropy__astropy-8519::astropy/units/function/core.py,astropy__astropy-8519,astropy/astropy,symbol,1,2358,17160,413,1353632
astropy__astropy-14528::astropy/io/fits/hdu/image.py,astropy__astropy-14528,astropy/astropy,symbol,1,932,7062,497,1703796
astropy__astropy-7441::astropy/time/core.py,astropy__astropy-7441,astropy/astropy,co_edited,1,1193,11577,389,1284712
astropy__astropy-7441::astropy/time/core.py,astropy__astropy-7441,astropy/astropy,symbol,2,1200,11632,389,1284712
astropy__astropy-7441::astropy/time/formats.py,astropy__astropy-7441,astropy/astropy,co_edited,1,2050,18749,389,1284712
astropy__astropy-7441::astropy/time/formats.py,astropy__astropy-7441,astropy/astropy,symbol,2,2057,18804,389,1284712
astropy__astropy-13842::astropy/table/table.py,astropy__astropy-13842,astropy/astropy,co_edited,1,207,1555,491,1660546
astropy__astropy-13842::astropy/table/table.py,astropy__astropy-13842,astropy/astropy,symbol,2,1912,16209,491,1660546
astropy__astropy-13842::astropy/table/table_helpers.py,astropy__astropy-13842,astropy/astropy,co_edited,1,3972,32840,491,1660546
astropy__astropy-13842::astropy/table/table_helpers.py,astropy__astropy-13842,astropy/astropy,symbol,2,5677,47494,491,1660546
astropy__astropy-14590::astropy/utils/masked/core.py,astropy__astropy-14590,astropy/astropy,symbol,1,466,3767,497,1703774
astropy__astroquery-3068::astroquery/simbad/core.py,astropy__astroquery-3068,astropy/astroquery,symbol,2,183,1020,249,450308
astropy__astroquery-3031::astroquery/mast/cloud.py,astropy__astroquery-3031,astropy/astroquery,co_edited,2,1563,12772,247,441842
astropy__astroquery-3031::astroquery/mast/cloud.py,astropy__astroquery-3031,astropy/astroquery,symbol,3,1687,13542,247,441842
astropy__astroquery-3031::astroquery/mast/observations.py,astropy__astroquery-3031,astropy/astroquery,co_edited,2,810,6253,247,441842
astropy__astroquery-3031::astroquery/mast/observations.py,astropy__astroquery-3031,astropy/astroquery,symbol,3,934,7023,247,441842
astropy__astroquery-3031::astroquery/query.py,astropy__astroquery-3031,astropy/astroquery,co_edited,2,1205,9983,247,441842
astropy__astroquery-3031::astroquery/query.py,astropy__astroquery-3031,astropy/astroquery,symbol,3,1329,10753,247,441842
astropy__photutils-1943::photutils/detection/core.py,astropy__photutils-1943,astropy/photutils,co_edited,3,1310,11037,96,324438
astropy__photutils-1943::photutils/detection/core.py,astropy__photutils-1943,astropy/photutils,symbol,3,1310,11037,96,324438
astropy__photutils-1943::photutils/detection/irafstarfinder.py,astropy__photutils-1943,astropy/photutils,co_edited,3,976,8311,96,324438
astropy__photutils-1943::photutils/detection/irafstarfinder.py,astropy__photutils-1943,astropy/photutils,symbol,3,976,8311,96,324438
astropy__photutils-1943::photutils/detection/peakfinder.py,astropy__photutils-1943,astropy/photutils,co_edited,3,1380,11450,96,324438
astropy__photutils-1943::photutils/detection/peakfinder.py,astropy__photutils-1943,astropy/photutils,symbol,3,1380,11450,96,324438
astropy__photutils-1943::photutils/detection/starfinder.py,astropy__photutils-1943,astropy/photutils,co_edited,3,1143,9939,96,324438
astropy__photutils-1943::photutils/detection/starfinder.py,astropy__photutils-1943,astropy/photutils,symbol,3,1143,9939,96,324438
astropy__photutils-1648::photutils/morphology/core.py,astropy__photutils-1648,astropy/photutils,symbol,1,3684,30671,87,279694
astropy__photutils-1663::photutils/detection/core.py,astropy__photutils-1663,astropy/photutils,co_edited,3,1634,13613,87,285976
astropy__photutils-1663::photutils/detection/core.py,astropy__photutils-1663,astropy/photutils,symbol,2,1238,10649,87,285976
astropy__photutils-1663::photutils/detection/daofinder.py,astropy__photutils-1663,astropy/photutils,co_edited,3,1208,9831,87,285976
astropy__photutils-1663::photutils/detection/daofinder.py,astropy__photutils-1663,astropy/photutils,symbol,2,812,6867,87,285976
astropy__photutils-1663::photutils/detection/irafstarfinder.py,astropy__photutils-1663,astropy/photutils,co_edited,3,1370,11566,87,285976
astropy__photutils-1663::photutils/detection/irafstarfinder.py,astropy__photutils-1663,astropy/photutils,symbol,2,974,8602,87,285976
astropy__photutils-1663::photutils/detection/starfinder.py,astropy__photutils-1663,astropy/photutils,co_edited,3,1512,13059,87,285976
astropy__photutils-1663::photutils/detection/starfinder.py,astropy__photutils-1663,astropy/photutils,symbol,3,1512,13059,87,285976
astropy__photutils-1978::photutils/detection/daofinder.py,astropy__photutils-1978,astropy/photutils,co_edited,1,626,5280,96,324637
astropy__photutils-1978::photutils/detection/daofinder.py,astropy__photutils-1978,astropy/photutils,symbol,1,626,5280,96,324637
astropy__photutils-1978::photutils/detection/irafstarfinder.py,astropy__photutils-1978,astropy/photutils,co_edited,1,790,6903,96,324637
astropy__photutils-1978::photutils/detection/irafstarfinder.py,astropy__photutils-1978,astropy/photutils,symbol,1,790,6903,96,324637
astropy__photutils-1477::photutils/psf/photometry.py,astropy__photutils-1477,astropy/photutils,symbol,1,344,3033,80,248860
aws-cloudformation__cfn-lint-3714::src/cfnlint/conditions/_equals.py,aws-cloudformation__cfn-lint-3714,aws-cloudformation/cfn-lint,co_edited,1,455,3431,889,845155
aws-cloudformation__cfn-lint-3714::src/cfnlint/conditions/_equals.py,aws-cloudformation__cfn-lint-3714,aws-cloudformation/cfn-lint,symbol,3,853,6356,889,845155
aws-cloudformation__cfn-lint-3714::src/cfnlint/conditions/conditions.py,aws-cloudformation__cfn-lint-3714,aws-cloudformation/cfn-lint,co_edited,1,178,1244,889,845155
aws-cloudformation__cfn-lint-3714::src/cfnlint/conditions/conditions.py,aws-cloudformation__cfn-lint-3714,aws-cloudformation/cfn-lint,symbol,3,576,4169,889,845155
aws-cloudformation__cfn-lint-3399::src/cfnlint/jsonschema/_filter.py,aws-cloudformation__cfn-lint-3399,aws-cloudformation/cfn-lint,co_edited,1,88,524,704,788524
aws-cloudformation__cfn-lint-3399::src/cfnlint/jsonschema/_filter.py,aws-cloudformation__cfn-lint-3399,aws-cloudformation/cfn-lint,symbol,4,970,6494,704,788524
aws-cloudformation__cfn-lint-3399::src/cfnlint/rules/functions/FindInMap.py,aws-cloudformation__cfn-lint-3399,aws-cloudformation/cfn-lint,co_edited,1,151,1080,704,788524
aws-cloudformation__cfn-lint-3399::src/cfnlint/rules/functions/FindInMap.py,aws-cloudformation__cfn-lint-3399,aws-cloudformation/cfn-lint,symbol,4,1033,7050,704,788524
aws-cloudformation__cfn-lint-3712::src/cfnlint/rules/conditions/And.py,aws-cloudformation__cfn-lint-3712,aws-cloudformation/cfn-lint,co_edited,2,88,572,889,845020
aws-cloudformation__cfn-lint-3712::src/cfnlint/rules/conditions/And.py,aws-cloudformation__cfn-lint-3712,aws-cloudformation/cfn-lint,symbol,6,1523,11993,889,845020
aws-cloudformation__cfn-lint-3712::src/cfnlint/rules/conditions/Not.py,aws-cloudformation__cfn-lint-3712,aws-cloudformation/cfn-lint,co_edited,2,88,572,889,845020
aws-cloudformation__cfn-lint-3712::src/cfnlint/rules/conditions/Not.py,aws-cloudformation__cfn-lint-3712,aws-cloudformation/cfn-lint,symbol,6,1523,11993,889,845020
aws-cloudformation__cfn-lint-3712::src/cfnlint/rules/conditions/Or.py,aws-cloudformation__cfn-lint-3712,aws-cloudformation/cfn-lint,co_edited,2,88,572,889,845020
aws-cloudformation__cfn-lint-3712::src/cfnlint/rules/conditions/Or.py,aws-cloudformation__cfn-lint-3712,aws-cloudformation/cfn-lint,symbol,6,1523,11993,889,845020
aws-cloudformation__cfn-lint-3563::src/cfnlint/context/conditions/_conditions.py,aws-cloudformation__cfn-lint-3563,aws-cloudformation/cfn-lint,co_edited,4,428,3099,868,812778
aws-cloudformation__cfn-lint-3563::src/cfnlint/context/conditions/_conditions.py,aws-cloudformation__cfn-lint-3563,aws-cloudformation/cfn-lint,symbol,7,1559,12437,868,812778
aws-cloudformation__cfn-lint-3563::src/cfnlint/context/conditions/_utils.py,aws-cloudformation__cfn-lint-3563,aws-cloudformation/cfn-lint,co_edited,4,462,3230,868,812778
aws-cloudformation__cfn-lint-3563::src/cfnlint/context/conditions/_utils.py,aws-cloudformation__cfn-lint-3563,aws-cloudformation/cfn-lint,symbol,7,1593,12568,868,812778
aws-cloudformation__cfn-lint-3563::src/cfnlint/jsonschema/_filter.py,aws-cloudformation__cfn-lint-3563,aws-cloudformation/cfn-lint,co_edited,4,405,2892,868,812778
aws-cloudformation__cfn-lint-3563::src/cfnlint/jsonschema/_filter.py,aws-cloudformation__cfn-lint-3563,aws-cloudformation/cfn-lint,symbol,7,1536,12230,868,812778
aws-cloudformation__cfn-lint-3563::src/cfnlint/rules/resources/properties/Properties.py,aws-cloudformation__cfn-lint-3563,aws-cloudformation/cfn-lint,co_edited,4,469,3348,868,812778
aws-cloudformation__cfn-lint-3563::src/cfnlint/rules/resources/properties/Properties.py,aws-cloudformation__cfn-lint-3563,aws-cloudformation/cfn-lint,symbol,7,1600,12686,868,812778
aws-cloudformation__cfn-lint-3563::src/cfnlint/rules/resources/properties/Tagging.py,aws-cloudformation__cfn-lint-3563,aws-cloudformation/cfn-lint,co_edited,4,532,3815,868,812778
aws-cloudformation__cfn-lint-3563::src/cfnlint/rules/resources/properties/Tagging.py,aws-cloudformation__cfn-lint-3563,aws-cloudformation/cfn-lint,symbol,8,1705,13434,868,812778
aws-cloudformation__cfn-lint-3707::src/cfnlint/rules/functions/DynamicReferenceSecretsManagerPath.py,aws-cloudformation__cfn-lint-3707,aws-cloudformation/cfn-lint,symbol,2,690,4833,889,843529
aws-cloudformation__cfn-lint-3663::src/cfnlint/conditions/_equals.py,aws-cloudformation__cfn-lint-3663,aws-cloudformation/cfn-lint,co_edited,1,144,987,881,831973
aws-cloudformation__cfn-lint-3663::src/cfnlint/conditions/_equals.py,aws-cloudformation__cfn-lint-3663,aws-cloudformation/cfn-lint,symbol,1,144,987,881,831973
aws-cloudformation__cfn-lint-3663::src/cfnlint/conditions/_rule.py,aws-cloudformation__cfn-lint-3663,aws-cloudformation/cfn-lint,co_edited,1,175,1231,881,831973
aws-cloudformation__cfn-lint-3663::src/cfnlint/conditions/_rule.py,aws-cloudformation__cfn-lint-3663,aws-cloudformation/cfn-lint,symbol,1,175,1231,881,831973
aws-cloudformation__cfn-lint-3548::src/cfnlint/rules/resources/ectwo/InstanceImageId.py,aws-cloudformation__cfn-lint-3548,aws-cloudformation/cfn-lint,co_edited,1,99,675,867,810528
aws-cloudformation__cfn-lint-3548::src/cfnlint/rules/resources/ectwo/InstanceImageId.py,aws-cloudformation__cfn-lint-3548,aws-cloudformation/cfn-lint,symbol,4,1118,7557,867,810528
aws-cloudformation__cfn-lint-3548::src/cfnlint/rules/resources/lmbd/PermissionSourceAccount.py,aws-cloudformation__cfn-lint-3548,aws-cloudformation/cfn-lint,co_edited,1,127,807,867,810528
aws-cloudformation__cfn-lint-3548::src/cfnlint/rules/resources/lmbd/PermissionSourceAccount.py,aws-cloudformation__cfn-lint-3548,aws-cloudformation/cfn-lint,symbol,4,1146,7689,867,810528
aws-cloudformation__cfn-lint-4236::src/cfnlint/rules/resources/iam/StatementResources.py,aws-cloudformation__cfn-lint-4236,aws-cloudformation/cfn-lint,symbol,2,758,6868,2091,1180275
aws-cloudformation__cfn-lint-3785::src/cfnlint/jsonschema/_resolvers_cfn.py,aws-cloudformation__cfn-lint-3785,aws-cloudformation/cfn-lint,symbol,3,1173,9311,1162,850799
