stratum,source,method,n_pr,auc_no_leak,rank_no_leak
no_full_path,co_edited,ppr_und,668,0.3562541583499667,12
no_full_path,co_edited,ppr_und_pl,668,0.37233486895257106,10
no_full_path,co_edited,ppr_out,668,0.3126925464547096,16
no_full_path,co_edited,ppr_out_pl,668,0.3253781375740582,15
no_full_path,co_edited,ppr_in,668,0.30921554708044224,18
no_full_path,co_edited,ppr_in_pl,668,0.31221436096061844,17
no_full_path,co_edited,hops_lines,668,0.38869314941545485,8
no_full_path,co_edited,pagerank,668,0.2735841065884105,19
no_full_path,co_edited,bm25_issue,668,0.3956010597851915,6
no_full_path,co_edited,bm25_issue_pl,668,0.34942911795456705,13
no_full_path,co_edited,path_issue,668,0.406909073717644,5
no_full_path,co_edited,bm25_seed,668,0.38991347661819226,7
no_full_path,co_edited,path_seed,668,0.3700905480705256,11
no_full_path,co_edited,rrf_ppr_issue,668,0.3868231790387479,9
no_full_path,co_edited,rrf_ppr_issue_path,668,0.4281051983334917,4
no_full_path,co_edited,rrf_hops_path,668,0.4403162425149701,3
no_full_path,co_edited,rrf_hops_issue_path,668,0.4617517692789026,2
no_full_path,co_edited,rrf_pprpl_issue_path,668,0.46602128085099637,1
no_full_path,co_edited,same_dir,668,0.32650037227133033,14
no_full_path,co_edited,random,668,0.2517911349919209,20
no_full_path,symbol,ppr_und,1089,0.4478220298416485,7
no_full_path,symbol,ppr_und_pl,1089,0.49253957801878395,2
no_full_path,symbol,ppr_out,1089,0.4614205834642479,6
no_full_path,symbol,ppr_out_pl,1089,0.49379742417333,1
no_full_path,symbol,ppr_in,1089,0.2681345098131579,19
no_full_path,symbol,ppr_in_pl,1089,0.27663139566926814,18
no_full_path,symbol,hops_lines,1089,0.47917361358072347,3
no_full_path,symbol,pagerank,1089,0.4136439883078426,9
no_full_path,symbol,bm25_issue,1089,0.331929636527258,16
no_full_path,symbol,bm25_issue_pl,1089,0.3528297240867629,14
no_full_path,symbol,path_issue,1089,0.367052079253471,12
no_full_path,symbol,bm25_seed,1089,0.3334878191433671,15
no_full_path,symbol,path_seed,1089,0.36588778471717354,13
no_full_path,symbol,rrf_ppr_issue,1089,0.386134246417608,11
no_full_path,symbol,rrf_ppr_issue_path,1089,0.4104336011625066,10
no_full_path,symbol,rrf_hops_path,1089,0.4681394494321686,4
no_full_path,symbol,rrf_hops_issue_path,1089,0.4467291240812106,8
no_full_path,symbol,rrf_pprpl_issue_path,1089,0.46271258734942505,5
no_full_path,symbol,same_dir,1089,0.3182803313754464,17
no_full_path,symbol,random,1089,0.2497807211717554,20
no_full_path,union_static,ppr_und,1102,0.44382015796070845,7
no_full_path,union_static,ppr_und_pl,1102,0.4867988244051247,1
no_full_path,union_static,ppr_out,1102,0.45450310151378676,6
no_full_path,union_static,ppr_out_pl,1102,0.4860126509184124,2
no_full_path,union_static,ppr_in,1102,0.2711407188681999,19
no_full_path,union_static,ppr_in_pl,1102,0.27957494335857747,18
no_full_path,union_static,hops_lines,1102,0.47507853090465846,3
no_full_path,union_static,pagerank,1102,0.40708838500577094,9
no_full_path,union_static,bm25_issue,1102,0.3293903134874377,16
no_full_path,union_static,bm25_issue_pl,1102,0.3525135185912871,14
no_full_path,union_static,path_issue,1102,0.36281359118388024,13
no_full_path,union_static,bm25_seed,1102,0.334169656485914,15
no_full_path,union_static,path_seed,1102,0.36455060709947856,12
no_full_path,union_static,rrf_ppr_issue,1102,0.38191444681968856,11
no_full_path,union_static,rrf_ppr_issue_path,1102,0.4052491845366259,10
no_full_path,union_static,rrf_hops_path,1102,0.4633790967376307,4
no_full_path,union_static,rrf_hops_issue_path,1102,0.4420382935392279,8
no_full_path,union_static,rrf_pprpl_issue_path,1102,0.4569378375951495,5
no_full_path,union_static,same_dir,1102,0.3174506671722861,17
no_full_path,union_static,random,1102,0.2486299536648648,20
no_stem,co_edited,ppr_und,509,0.35874623834471575,10
no_stem,co_edited,ppr_und_pl,509,0.37126222050706337,9
no_stem,co_edited,ppr_out,509,0.31857370895312936,16
no_stem,co_edited,ppr_out_pl,509,0.33068087909689087,14
no_stem,co_edited,ppr_in,509,0.3040718131828152,17
no_stem,co_edited,ppr_in_pl,509,0.302493249810293,18
no_stem,co_edited,hops_lines,509,0.38485329544391433,5
no_stem,co_edited,pagerank,509,0.28293952895500046,19
no_stem,co_edited,bm25_issue,509,0.37943417298156984,8
no_stem,co_edited,bm25_issue_pl,509,0.3382876087566657,12
no_stem,co_edited,path_issue,509,0.3355304908472885,13
no_stem,co_edited,bm25_seed,509,0.38302363021174424,6
no_stem,co_edited,path_seed,509,0.3569916762819513,11
no_stem,co_edited,rrf_ppr_issue,509,0.3804938683069823,7
no_stem,co_edited,rrf_ppr_issue_path,509,0.38616623657758237,4
no_stem,co_edited,rrf_hops_path,509,0.39082126874980516,3
no_stem,co_edited,rrf_hops_issue_path,509,0.4135268214467625,1
no_stem,co_edited,rrf_pprpl_issue_path,509,0.4121214956185487,2
no_stem,co_edited,same_dir,509,0.3277415580399372,15
no_stem,co_edited,random,509,0.24946372049147097,20
no_stem,symbol,ppr_und,799,0.4468539528729081,5
no_stem,symbol,ppr_und_pl,799,0.4945743753138911,2
no_stem,symbol,ppr_out,799,0.46342255607606825,4
no_stem,symbol,ppr_out_pl,799,0.49660268596307666,1
no_stem,symbol,ppr_in,799,0.2645050897248037,19
no_stem,symbol,ppr_in_pl,799,0.2707770510117423,18
no_stem,symbol,hops_lines,799,0.4825203990667484,3
no_stem,symbol,pagerank,799,0.4136591303284619,8
no_stem,symbol,bm25_issue,799,0.31972274522944477,15
no_stem,symbol,bm25_issue_pl,799,0.3434285484096139,13
no_stem,symbol,path_issue,799,0.30423509645241315,17
no_stem,symbol,bm25_seed,799,0.3282029788484663,14
no_stem,symbol,path_seed,799,0.35623302570269827,12
