source,method,lines_half_median,lines_all_median,n_task
co_edited,oracle,524.5,1150.5,1958
co_edited,rrf_hops_issue_path,3333.0,6748.0,1958
co_edited,rrf_pprpl_issue_path,3342.333333333333,7212.833333333334,1958
co_edited,rrf_hops_path,3962.0,8073.0,1958
co_edited,rrf_pprpl_issue_path_rd,4027.3333333333335,8050.0,1958
co_edited,rrf_ppr_issue_path,4294.166666666666,8419.833333333332,1958
co_edited,rrf_hops_path_rd,4675.5,9016.5,1958
co_edited,path_issue,4837.5,11072.333333333332,1958
co_edited,rrf_pprpl_seedpath,4984.333333333334,9459.333333333334,1958
co_edited,bm25_issue,5011.5,10926.0,1958
co_edited,bm25_issue_rd,5062.0,10923.0,1958
co_edited,rrf_hops_pathseed,5173.666666666666,10062.333333333332,1958
co_edited,bm25_seed,5225.5,12008.5,1958
co_edited,hops_lines,5620.5,11453.5,1958
co_edited,rrf_ppr_issue,5798.0,10261.0,1958
co_edited,ppr_und_pl,6155.0,11644.5,1958
co_edited,path_issue_rd,6436.5,12812.166666666666,1958
co_edited,ppr_und,6513.5,11735.333333333332,1958
co_edited,path_seed,7083.166666666666,12797.333333333332,1958
co_edited,bm25_issue_pl,7867.0,14316.5,1958
co_edited,ppr_out_pl,8655.0,15395.5,1958
co_edited,ppr_out,8972.833333333332,15531.166666666668,1958
co_edited,ppr_in,9319.5,16228.333333333332,1958
co_edited,ppr_in_pl,9447.5,15936.5,1958
co_edited,same_dir,9467.333333333334,16563.666666666664,1958
co_edited,pagerank,11292.5,17849.0,1958
co_edited,random,14556.833333333332,21026.0,1958
symbol,oracle,440.0,1349.0,2341
symbol,ppr_und_pl,3483.0,11303.0,2341
symbol,rrf_hops_path,3715.0,9636.0,2341
symbol,ppr_out_pl,3924.0,12386.0,2341
symbol,rrf_pprpl_issue_path,3957.3333333333335,9562.666666666666,2341
symbol,hops_lines,4080.0,11582.0,2341
symbol,rrf_hops_issue_path,4140.0,10039.666666666666,2341
symbol,rrf_hops_pathseed,4289.0,10432.666666666666,2341
symbol,rrf_hops_path_rd,4313.0,10740.0,2341
symbol,ppr_out,4343.0,12348.0,2341
symbol,rrf_pprpl_issue_path_rd,4390.666666666667,10234.0,2341
symbol,ppr_und,4395.0,11570.0,2341
symbol,rrf_pprpl_seedpath,4766.333333333333,10470.0,2341
symbol,rrf_ppr_issue_path,5083.666666666667,11235.333333333334,2341
symbol,pagerank,5652.0,14383.0,2341
symbol,rrf_ppr_issue,6035.666666666667,12520.0,2341
symbol,path_issue,6637.666666666667,14504.333333333334,2341
symbol,path_seed,7423.666666666667,14331.0,2341
symbol,bm25_issue,7451.0,16699.0,2341
symbol,bm25_issue_rd,7465.0,16788.0,2341
symbol,bm25_issue_pl,7522.0,17275.0,2341
symbol,path_issue_rd,8083.666666666667,15613.0,2341
symbol,bm25_seed,8153.0,16254.0,2341
symbol,same_dir,10398.666666666666,18690.666666666668,2341
symbol,ppr_in_pl,11889.0,21103.0,2341
symbol,ppr_in,11892.0,20621.666666666668,2341
symbol,random,14713.0,22642.666666666668,2341
union_static,oracle,463.0,1515.5,2412
union_static,ppr_und_pl,3681.0,12188.0,2412
union_static,rrf_hops_path,3821.8333333333335,10372.5,2412
union_static,rrf_pprpl_issue_path,4068.833333333333,10495.5,2412
union_static,ppr_out_pl,4143.0,13516.0,2412
union_static,rrf_hops_issue_path,4204.5,10604.833333333332,2412
union_static,hops_lines,4285.0,12226.0,2412
union_static,rrf_hops_pathseed,4362.333333333334,11075.333333333332,2412
union_static,rrf_hops_path_rd,4469.666666666667,11346.833333333332,2412
union_static,rrf_pprpl_issue_path_rd,4568.0,10870.5,2412
union_static,ppr_und,4572.5,12596.0,2412
union_static,ppr_out,4662.0,13383.5,2412
union_static,rrf_pprpl_seedpath,4880.166666666667,11073.166666666668,2412
union_static,rrf_ppr_issue_path,5359.333333333334,11972.666666666668,2412
union_static,pagerank,6129.833333333334,15415.0,2412
union_static,rrf_ppr_issue,6247.0,13174.5,2412
union_static,path_issue,6764.666666666666,15099.0,2412
union_static,path_seed,7349.5,14887.833333333334,2412
union_static,bm25_issue_pl,7691.0,18276.0,2412
union_static,bm25_issue,7727.5,17188.5,2412
union_static,bm25_issue_rd,7729.0,17232.5,2412
union_static,bm25_seed,8104.0,16931.5,2412
union_static,path_issue_rd,8157.333333333334,16067.5,2412
union_static,same_dir,10301.833333333332,19191.166666666664,2412
union_static,ppr_in_pl,11522.0,21740.5,2412
union_static,ppr_in,11627.5,21346.0,2412
union_static,random,14759.333333333334,23437.0,2412
