source,method,family,n_pr,auc,ci_lo,ci_hi,rank,rule,population
co_edited,oracle,reference,702,0.7738253516031294,,,1.0,"lines, stop",shared
co_edited,rrf_pprpl_issue_path,fusion,702,0.4868572078641523,,,2.0,"lines, stop",shared
co_edited,rrf_hops_issue_path,fusion,702,0.4796132836642096,,,3.0,"lines, stop",shared
co_edited,rrf_hops_path,fusion,702,0.45686181959330113,,,4.0,"lines, stop",shared
co_edited,rrf_ppr_issue_path,fusion,702,0.4453055046805046,,,5.0,"lines, stop",shared
co_edited,path_issue,lexical,702,0.43484535868795127,,,6.0,"lines, stop",shared
co_edited,bm25_issue,lexical,702,0.4085275064441732,,,7.0,"lines, stop",shared
co_edited,rrf_ppr_issue,fusion,702,0.3939600244577097,,,8.0,"lines, stop",shared
co_edited,bm25_seed,lexical,702,0.39305894722561396,,,9.0,"lines, stop",shared
co_edited,hops_lines,structure,702,0.38881497874553433,,,10.0,"lines, stop",shared
co_edited,ppr_und_pl,structure,702,0.37193597940125717,,,11.0,"lines, stop",shared
co_edited,path_seed,lexical,702,0.370879686157464,,,12.0,"lines, stop",shared
co_edited,bfs_und,structure,702,0.3617053128627203,,,13.0,"lines, stop",shared
co_edited,ppr_und,structure,702,0.3577776882753735,,,14.0,"lines, stop",shared
co_edited,bm25_issue_pl,lexical,702,0.3551531480350925,,,15.0,"lines, stop",shared
co_edited,same_dir,reference,702,0.3290077998990036,,,16.0,"lines, stop",shared
co_edited,ppr_out_pl,structure,702,0.3265126141862253,,,17.0,"lines, stop",shared
co_edited,ppr_out,structure,702,0.31189833186360966,,,18.0,"lines, stop",shared
co_edited,ppr_in_pl,structure,702,0.31024974468261507,,,19.0,"lines, stop",shared
co_edited,ppr_in,structure,702,0.30771595516965883,,,20.0,"lines, stop",shared
co_edited,pagerank,global,702,0.27125286407693816,,,21.0,"lines, stop",shared
co_edited,indegree,global,702,0.2706251695835029,,,22.0,"lines, stop",shared
co_edited,random,reference,702,0.24855684439017772,,,23.0,"lines, stop",shared
symbol,oracle,reference,702,0.7790211680460059,,,1.0,"lines, stop",shared
symbol,rrf_pprpl_issue_path,fusion,702,0.47021607080736594,,,2.0,"lines, stop",shared
symbol,rrf_hops_path,fusion,702,0.4556475929307428,,,3.0,"lines, stop",shared
