source,unit,stratum,population,a,b,n_pr,mean_a,mean_b,delta,a12,p,p_holm,rule
co_edited,repo,all,shared,ppr_und_pl,ppr_und,111,0.3725430179869665,0.3626642317267317,0.009878786260234806,0.5183020858696534,0.13874467742506852,0.41623403227520556,"lines, stop"
co_edited,repo,all,shared,ppr_out_pl,ppr_out,111,0.3308607073587234,0.3172452904223737,0.013615416936349711,0.5269458647837026,0.0019034668200499161,0.00951733410024958,"lines, stop"
co_edited,repo,all,shared,ppr_in_pl,ppr_in,111,0.3079690560221314,0.3044451260125864,0.00352393000954504,0.5033276519763006,0.9974851538663019,0.9974851538663019,"lines, stop"
co_edited,repo,all,shared,bm25_issue_pl,bm25_issue,111,0.35492806957340683,0.41482002952985103,-0.059891959956444196,0.41149257365473585,1.90962461206228e-06,1.3367372284435961e-05,"lines, stop"
co_edited,repo,all,shared,rrf_pprpl_issue_path,rrf_ppr_issue_path,111,0.48836252732003393,0.446657500852276,0.04170502646775792,0.575440305170035,1.6360856667435607e-14,1.4724771000692047e-13,"lines, stop"
symbol,repo,all,shared,ppr_und_pl,ppr_und,111,0.4380952033782039,0.39939854803931574,0.038696655338888164,0.5758866975083192,2.942844908076686e-06,1.7657069448460116e-05,"lines, stop"
symbol,repo,all,shared,ppr_out_pl,ppr_out,111,0.4182881099747078,0.3912802321928066,0.02700787778190117,0.557625192760328,1.8575365741257663e-08,1.486029259300613e-07,"lines, stop"
symbol,repo,all,shared,ppr_in_pl,ppr_in,111,0.29500991269621957,0.28459409302516325,0.010415819671056314,0.5178556935313693,0.05688400803405628,0.2275360321362251,"lines, stop"
symbol,repo,all,shared,bm25_issue_pl,bm25_issue,111,0.3576508035051095,0.37145760607044925,-0.013806802565339726,0.48027757487216943,0.1805529502243477,0.41623403227520556,"lines, stop"
symbol,repo,all,shared,rrf_pprpl_issue_path,rrf_ppr_issue_path,111,0.47689164843432286,0.42669033795526434,0.050201310479058514,0.5865189513838163,8.317811662388712e-17,8.317811662388712e-16,"lines, stop"
co_edited,repo,all,shared,ppr_und_pl,ppr_und,111,0.3785649930962431,0.3968498100219331,-0.018284816925690006,0.4720801882964046,0.0001859382379476006,0.0011156294276856037,"lines, skip"
co_edited,repo,all,shared,ppr_out_pl,ppr_out,111,0.3428895102779032,0.3417611760816125,0.0011283341962907145,0.5043827611395179,0.7774258989018059,0.7774258989018059,"lines, skip"
co_edited,repo,all,shared,ppr_in_pl,ppr_in,111,0.3198016245337674,0.32493520075861343,-0.005133576224846004,0.49107215323431536,0.04170079805634652,0.2085039902817326,"lines, skip"
co_edited,repo,all,shared,bm25_issue_pl,bm25_issue,111,0.35702337375204435,0.464248300612388,-0.10722492686034363,0.33597110624137655,1.1642672409958681e-14,1.164267240995868e-13,"lines, skip"
co_edited,repo,all,shared,rrf_pprpl_issue_path,rrf_ppr_issue_path,111,0.5204185940983229,0.5056054070496862,0.014813187048636767,0.5259719178638097,1.0953203200770033e-05,8.762562560616026e-05,"lines, skip"
symbol,repo,all,shared,ppr_und_pl,ppr_und,111,0.44831372257431584,0.457044802406514,-0.008731079832198174,0.48721694667640614,0.07446864697560052,0.29787458790240207,"lines, skip"
symbol,repo,all,shared,ppr_out_pl,ppr_out,111,0.43569119114202237,0.43140490219806915,0.00428628894395322,0.5124584043502962,0.2529129179710873,0.7563691737511608,"lines, skip"
symbol,repo,all,shared,ppr_in_pl,ppr_in,111,0.3141222617165174,0.31384776549789445,0.000274496218622966,0.5014203392581771,0.2521230579170536,0.7563691737511608,"lines, skip"
symbol,repo,all,shared,bm25_issue_pl,bm25_issue,111,0.3661426656375003,0.4206685077767951,-0.05452584213929479,0.41883775667559453,1.4491943227530135e-05,0.00010144360259271094,"lines, skip"
symbol,repo,all,shared,rrf_pprpl_issue_path,rrf_ppr_issue_path,111,0.5225550137336862,0.5012361020842259,0.021318911649460315,0.5406217027838649,6.720868162469311e-09,6.04878134622238e-08,"lines, skip"
co_edited,repo,all,shared,ppr_und_pl,ppr_und,111,0.2633458755135342,0.49368768491784354,-0.23034180940430932,0.13306549793036282,5.9851815377612e-20,5.9851815377611995e-19,files
co_edited,repo,all,shared,ppr_out_pl,ppr_out,111,0.31351704438758005,0.3800260948599242,-0.06650905047234418,0.37042447853258664,4.183374823111774e-19,2.091687411555887e-18,files
co_edited,repo,all,shared,ppr_in_pl,ppr_in,111,0.28465005555779366,0.380271456620663,-0.09562140106286932,0.32923464004545083,3.416583499091954e-19,2.0499500994551726e-18,files
co_edited,repo,all,shared,bm25_issue_pl,bm25_issue,111,0.2291314120009557,0.6202671936203683,-0.39113578161941265,0.025647268890512113,5.986003496810096e-20,5.9851815377611995e-19,files
co_edited,repo,all,shared,rrf_pprpl_issue_path,rrf_ppr_issue_path,111,0.5964578392199094,0.6496724404776653,-0.0532146012577559,0.3793523252982713,6.494841736597954e-15,1.2989683473195908e-14,files
symbol,repo,all,shared,ppr_und_pl,ppr_und,111,0.3155763291322527,0.5263541331119237,-0.210777803979671,0.1178069961853745,1.3143837459359462e-19,9.200686221551624e-19,files
symbol,repo,all,shared,ppr_out_pl,ppr_out,111,0.38296661761301504,0.4594714825169998,-0.07650486490398478,0.33000568135703273,1.4520660576437101e-18,4.35619817293113e-18,files
symbol,repo,all,shared,ppr_in_pl,ppr_in,111,0.26790603892554843,0.3463383721823194,-0.07843233325677096,0.35995454914373837,7.066276823611957e-19,2.826510729444783e-18,files
symbol,repo,all,shared,bm25_issue_pl,bm25_issue,111,0.22621313164476928,0.5554206843040917,-0.32920755265932244,0.06233260287314342,6.320811158859567e-20,5.9851815377611995e-19,files
symbol,repo,all,shared,rrf_pprpl_issue_path,rrf_ppr_issue_path,111,0.5780095032636539,0.6191836087579282,-0.04117410549427436,0.40329518707897083,7.443837400039854e-12,7.443837400039854e-12,files
