a,b,k,jaccard,n
ppr_und,bm25_issue,10,0.1866928781350481,2412
ppr_und,path_issue,10,0.10211667705352533,2412
ppr_und,pagerank,10,0.3644117411772942,2412
bm25_issue,path_issue,10,0.13205208905307483,2412
ppr_und,bm25_seed,10,0.2480560189009043,2412
bm25_issue,bm25_seed,10,0.3527751283111479,2412
ppr_und,bm25_issue,20,0.2885865452639275,2412
ppr_und,path_issue,20,0.18824560235186108,2412
ppr_und,pagerank,20,0.39936428879300523,2412
bm25_issue,path_issue,20,0.19775412270574458,2412
ppr_und,bm25_seed,20,0.3485135214891777,2412
bm25_issue,bm25_seed,20,0.4695837777317609,2412
ppr_und,bm25_issue,50,0.5082933172136265,2412
ppr_und,path_issue,50,0.4118465403319845,2412
ppr_und,pagerank,50,0.5471100165299414,2412
bm25_issue,path_issue,50,0.4020947337607105,2412
ppr_und,bm25_seed,50,0.557241296051015,2412
bm25_issue,bm25_seed,50,0.6626215831620872,2412
