source,method,family,n_pr,auc,ci_lo,ci_hi,rank
co_edited,oracle,reference,702,0.7738253516031294,0.7498772318968888,0.7956740400209299,1.0
co_edited,rrf_pprpl_issue_path,fusion,702,0.4868572078641523,0.45608882368826287,0.5178689607900248,2.0
co_edited,rrf_hops_issue_path,fusion,702,0.4796132836642096,0.44802784783829314,0.5116210486220234,3.0
co_edited,rrf_hops_path,fusion,702,0.45686181959330113,0.4244382159195735,0.4891410761540495,4.0
co_edited,rrf_ppr_issue_path,fusion,702,0.4453055046805046,0.4142783187549572,0.47649878660673667,5.0
co_edited,path_issue,lexical,702,0.43484535868795127,0.40520991860295896,0.46362612141863263,6.0
co_edited,bm25_issue,lexical,702,0.4085275064441732,0.3806867909545591,0.43499356246722604,7.0
co_edited,rrf_ppr_issue,fusion,702,0.3939600244577097,0.36330035803697025,0.42470257621477114,8.0
co_edited,bm25_seed,lexical,702,0.39305894722561396,0.36101820112769034,0.423757273706407,9.0
co_edited,hops_lines,structure,702,0.38881497874553433,0.3541378125647321,0.42405695505325264,10.0
co_edited,ppr_und_pl,structure,702,0.37193597940125717,0.33814131882495657,0.40552050983436844,11.0
co_edited,path_seed,lexical,702,0.370879686157464,0.33691371487460686,0.40407998173514303,12.0
co_edited,bfs_und,structure,702,0.3617053128627203,0.32759055555435723,0.3944998979279212,13.0
co_edited,ppr_und,structure,702,0.3577776882753735,0.324269453438569,0.39091052417103056,14.0
co_edited,bm25_issue_pl,lexical,702,0.3551531480350925,0.32099300085018756,0.39100131008489036,15.0
co_edited,same_dir,reference,702,0.3290077998990036,0.29748967183653435,0.3597469227120592,16.0
co_edited,ppr_out_pl,structure,702,0.3265126141862253,0.29477273005364935,0.3587835671885827,17.0
co_edited,ppr_out,structure,702,0.31189833186360966,0.2808269894945007,0.34415386388904623,18.0
co_edited,ppr_in_pl,structure,702,0.31024974468261507,0.2795348115886819,0.34270808279145215,19.0
co_edited,ppr_in,structure,702,0.30771595516965883,0.27679325528107046,0.3385071521564081,20.0
co_edited,pagerank,global,702,0.27125286407693816,0.23987699983769473,0.3044050641533704,21.0
co_edited,indegree,global,702,0.2706251695835029,0.23988837121595444,0.3012856162969553,22.0
co_edited,random,reference,702,0.24855684439017772,0.2202973556673527,0.2775336893594841,23.0
co_edited,bm25_issue_rd,redacted,702,0.4052719271469271,0.377051864063528,0.4319524384449897,
co_edited,bm25_issue_rdp,redacted,702,0.40315255731922406,0.374894370842085,0.43018636724006765,
co_edited,bm25_issue_rds,redacted,702,0.3954627933794601,0.3671611875007827,0.4227588906164008,
co_edited,dense_issue,dense,702,0.4728296138018361,0.4394260292809178,0.5047379344449298,
co_edited,dense_issue_rd,dense,702,0.4649423557409669,0.4313579036452365,0.49680200756666776,
co_edited,dense_issue_rdp,dense,702,0.4661760757246868,0.43292014686298014,0.4975412905226768,
