method,co_edited,symbol,union_static,worst_case,gap_co_edited,gap_symbol,worst_gap
oracle,1,1,1,1,-0.2877,-0.3024,-0.2877
rrf_hops_path,4,5,5,5,0.0287,0.0147,0.0287
rrf_pprpl_issue_path,2,6,6,6,0.0,0.0171,0.0171
rrf_hops_issue_path,3,8,7,8,0.0063,0.0341,0.0341
hops_lines,10,4,4,10,0.0969,0.0139,0.0969
rrf_ppr_issue_path,5,11,11,11,0.0413,0.0706,0.0706
ppr_und_pl,11,3,2,11,0.1144,0.0013,0.1144
bfs_und,13,10,10,13,0.1237,0.0705,0.1237
ppr_und,14,9,9,14,0.1284,0.0449,0.1284
rrf_ppr_issue,9,14,14,14,0.0928,0.1002,0.1002
path_issue,6,15,15,15,0.0516,0.1082,0.1082
path_seed,12,16,16,16,0.1152,0.1258,0.1258
ppr_out_pl,17,2,3,17,0.159,0.0,0.159
bm25_issue_pl,15,17,17,17,0.1318,0.1353,0.1353
bm25_issue,7,18,18,18,0.0786,0.1502,0.1502
ppr_out,18,7,8,18,0.1734,0.0325,0.1734
bm25_seed,8,19,19,19,0.0927,0.1546,0.1546
same_dir,16,20,20,20,0.1571,0.1708,0.1708
pagerank,21,12,12,21,0.2147,0.0808,0.2147
ppr_in_pl,19,21,21,21,0.1753,0.2139,0.2139
ppr_in,20,22,22,22,0.1779,0.2217,0.2217
indegree,22,13,13,22,0.2152,0.0926,0.2152
random,23,23,23,23,0.2376,0.2422,0.2422
