arm,group,source,method,n,auc,auc_redacted,delta,ci_lo,ci_hi,a12,p,p_holm
names,names removed,co_edited,bm25_issue,105,0.4524954555901445,0.44306502064259645,0.009430434947548041,0.005015655456206052,0.015453378509442492,0.5150566893424037,7.573631357963313e-07,8.330994493759644e-06
names,names removed,co_edited,path_issue,105,0.5500900524451402,0.4400666256079085,0.11002342683723187,0.08981755286391102,0.1314728320855508,0.6749206349206348,4.823796035460183e-16,1.0593989778910558e-14
names,names removed,co_edited,rrf_hops_path,105,0.5285623221858912,0.456410173224555,0.07215214896133619,0.057678374682818175,0.0878858140178169,0.6183673469387755,4.815449899504799e-16,1.0593989778910558e-14
names,names removed,co_edited,rrf_pprpl_issue_path,105,0.5658301488590978,0.5050057247693873,0.06082442408971053,0.04727296818505886,0.07518947570740223,0.6014965986394558,2.4504760001951274e-14,3.920761600312204e-13
paths,names removed,co_edited,bm25_issue,105,0.4524954555901445,0.44153520469685786,0.010960250893286606,0.005901644706704225,0.01718455167999438,0.51718820861678,2.030054121303367e-06,2.030054121303367e-05
paths,names removed,co_edited,path_issue,105,0.5500900524451402,0.40252525377785797,0.14756479866728237,0.12119672344702889,0.17351474568782488,0.7125170068027211,1.6747429631680074e-16,3.6844345189696165e-15
paths,names removed,co_edited,rrf_hops_path,105,0.5285623221858912,0.4311833346874348,0.09737898749845636,0.07794989548555781,0.11603869609303223,0.6526530612244897,1.0641182022829514e-15,1.8090009438810174e-14
paths,names removed,co_edited,rrf_pprpl_issue_path,105,0.5658301488590978,0.48146979986039135,0.08436034899870641,0.06796458402638486,0.10098837947414749,0.64,4.524042770869985e-15,5.881255602130981e-14
symbols,names removed,co_edited,bm25_issue,105,0.4524954555901445,0.4260383824176282,0.026457073172516294,0.01791006108678273,0.0369792104432378,0.5410884353741496,3.067116958756631e-11,3.3738286546322944e-10
symbols,names removed,co_edited,path_issue,105,0.5500900524451402,0.3933467373190659,0.1567433151260745,0.13009792573442217,0.18299836088144975,0.7252154195011339,3.708199924649564e-17,7.787219841764084e-16
symbols,names removed,co_edited,rrf_hops_path,105,0.5285623221858912,0.4233587316758692,0.105203590510022,0.08581136900131148,0.12432829020253565,0.6629931972789116,3.089337076920289e-16,6.178674153840578e-15
symbols,names removed,co_edited,rrf_pprpl_issue_path,105,0.5658301488590978,0.46937542742532584,0.09645472143377198,0.07884623462327907,0.11419255661969167,0.6549206349206349,5.581285940029184e-16,9.955483044916099e-15
names,names removed,symbol,bm25_issue,105,0.4079490167612039,0.40151875552269434,0.006430261238509539,0.0021244519485537757,0.012284031236699177,0.5076190476190476,0.0003459774536413472,0.003113797082772125
names,names removed,symbol,path_issue,105,0.4980751007413462,0.40620265218249396,0.09187244855885217,0.0747105912532955,0.11016083788924327,0.6385034013605443,1.3310707011990978e-16,3.194569682877835e-15
names,names removed,symbol,rrf_hops_path,105,0.5154952177912464,0.4568746290892534,0.05862058870199303,0.046652364842330526,0.07069354753217086,0.5956462585034014,2.995160819027835e-16,6.88886988376402e-15
names,names removed,symbol,rrf_pprpl_issue_path,105,0.5374618908921492,0.48754849713741866,0.049913393754730535,0.03976167728421602,0.06040856695127942,0.5789115646258504,1.129577727852297e-15,2.1461976829193642e-14
paths,names removed,symbol,bm25_issue,105,0.4079490167612039,0.3998615743000369,0.008087442461166952,0.00350014224406231,0.013914939858068041,0.5111111111111112,0.00025267907673511534,0.0013915959279912364
paths,names removed,symbol,path_issue,105,0.4980751007413462,0.37337631657532766,0.1246987841660185,0.10187157565394606,0.14819591373364277,0.6741950113378684,2.501500522447388e-16,5.0030010448947755e-15
paths,names removed,symbol,rrf_hops_path,105,0.5154952177912464,0.4334070748656857,0.08208814292556066,0.06468111985435519,0.09927681586478361,0.6297959183673469,5.700721884484458e-16,1.083137158052047e-14
paths,names removed,symbol,rrf_pprpl_issue_path,105,0.5374618908921492,0.4639411866355838,0.07352070425656539,0.05881180694925481,0.08834159397342012,0.610748299319728,1.114991515232898e-15,1.8090009438810174e-14
symbols,names removed,symbol,bm25_issue,105,0.4079490167612039,0.3865789511456025,0.021370065615601334,0.013237913538731988,0.03180235132344507,0.5307482993197279,3.7097243474546904e-09,3.3387519127092215e-08
symbols,names removed,symbol,path_issue,105,0.4980751007413462,0.3642566520938119,0.13381844864753423,0.11073873894373576,0.15784683243797323,0.686530612244898,1.7672485056641376e-17,4.0646715630275167e-16
symbols,names removed,symbol,rrf_hops_path,105,0.5154952177912464,0.4267044090551448,0.08879080873610155,0.07106760703452712,0.10657615771923322,0.639501133786848,3.585099872126582e-16,6.8116897570405056e-15
symbols,names removed,symbol,rrf_pprpl_issue_path,105,0.5374618908921492,0.4554191291908916,0.08204276170125763,0.06683399089796876,0.09766339722218215,0.6224489795918368,5.530823913842277e-16,9.955483044916099e-15
names,nothing removed,co_edited,bm25_issue,109,0.37642256608282987,0.37642256608282987,0.0,0.0,0.0,0.5,,1.0
names,nothing removed,co_edited,path_issue,109,0.36349158536276277,0.3630217649906583,0.00046982037210440054,-0.002933754254544574,0.0038961419467559645,0.5012204359902365,0.8165411147437701,1.0
names,nothing removed,co_edited,rrf_hops_path,109,0.4153286986013477,0.41593178081757975,-0.0006030822162320644,-0.0039389353996220336,0.002719654648517895,0.4999579160003366,0.2911559711024272,1.0
names,nothing removed,co_edited,rrf_pprpl_issue_path,109,0.4335668433018873,0.43563206599402127,-0.002065222692134007,-0.005122948760945706,0.0010616816186029643,0.49671744802626044,0.3355777188046135,1.0
paths,nothing removed,co_edited,bm25_issue,109,0.37642256608282987,0.3738209023286431,0.002601663754186693,0.0008310636467889926,0.004863716415465269,0.5065230199478158,0.0060649053639043994,0.012129810727808799
paths,nothing removed,co_edited,path_issue,109,0.36349158536276277,0.3386280818018203,0.024863503560942406,0.01282532099901175,0.037810374692804946,0.5388014476895885,2.3956731483104014e-05,0.0001916538518648321
paths,nothing removed,co_edited,rrf_hops_path,109,0.4153286986013477,0.3980096839163639,0.017319014684983723,0.008902965956990472,0.028072778454874204,0.5281121117751031,0.0008371050344214476,0.0025113151032643425
paths,nothing removed,co_edited,rrf_pprpl_issue_path,109,0.4335668433018873,0.4179089565488169,0.015657886753070237,0.0071829488708072455,0.025270871635478864,0.5224728558202171,0.0002339145909404588,0.0013915959279912364
symbols,nothing removed,co_edited,bm25_issue,109,0.37642256608282987,0.3703286852885476,0.0060938807942821725,0.0030445569219580133,0.009624582906262951,0.513214375894285,6.907243278981907e-05,0.0002762897311592763
symbols,nothing removed,co_edited,path_issue,109,0.36349158536276277,0.3331665684489653,0.03032501691379749,0.018322618766246915,0.04371981951375581,0.5471761636225907,2.663178627365727e-07,1.8642250391560088e-06
symbols,nothing removed,co_edited,rrf_hops_path,109,0.4153286986013477,0.3961160313310543,0.019212667270293412,0.009249505349921064,0.030997412694445347,0.5273545997811632,0.0011182593382231987,0.0022365186764463974
symbols,nothing removed,co_edited,rrf_pprpl_issue_path,109,0.4335668433018873,0.4153007798475593,0.018266063454327984,0.0099950985492485,0.02782531692870712,0.5248716438010268,2.2399186382887558e-05,0.00011199593191443779
names,nothing removed,symbol,bm25_issue,109,0.34127057328544175,0.34127057328544175,0.0,0.0,0.0,0.5,,1.0
names,nothing removed,symbol,path_issue,109,0.3466135058252391,0.34487728861298744,0.0017362172122517574,-0.001495024444379047,0.0048911985588514385,0.5018937799848497,0.29911089485438636,1.0
names,nothing removed,symbol,rrf_hops_path,109,0.4260962971495337,0.42465611345479,0.0014401836947436752,-0.002086966815702856,0.0047768852658887605,0.49978958000168344,0.5581366378664369,1.0
names,nothing removed,symbol,rrf_pprpl_issue_path,109,0.4334654702566463,0.4334917018176497,-2.623156100343818e-05,-0.002600146223995217,0.0026401511638458513,0.5011362679909099,0.9507565793355658,1.0
paths,nothing removed,symbol,bm25_issue,109,0.34127057328544175,0.33899658628238366,0.0022739870030581014,0.00042697070227173196,0.004545280246559627,0.5043767359649862,0.03334022025101753,0.03334022025101753
paths,nothing removed,symbol,path_issue,109,0.3466135058252391,0.3202202903575644,0.026393215467674574,0.015492331576900437,0.038418407330032,0.5376230956990152,3.781480824911235e-07,4.537776989893482e-06
paths,nothing removed,symbol,rrf_hops_path,109,0.4260962971495337,0.4061124956003811,0.019983801549152462,0.0103710113296268,0.03158692835029265,0.5311842437505261,0.00023193265466520607,0.0013915959279912364
paths,nothing removed,symbol,rrf_pprpl_issue_path,109,0.4334654702566463,0.41550143403936995,0.01796403621727635,0.010058491816439988,0.027714802755923033,0.5279858597761131,5.4806997834241785e-06,4.932629805081761e-05
symbols,nothing removed,symbol,bm25_issue,109,0.34127057328544175,0.33694525257107294,0.004325320714368876,0.0014142751719801554,0.007846718763021081,0.5097214039222288,0.004985847233676644,0.004985847233676644
symbols,nothing removed,symbol,path_issue,109,0.3466135058252391,0.31860504084248475,0.028008464982754448,0.017672441038906236,0.040003074179695224,0.5417052436663581,2.626467711083437e-08,2.1011741688667496e-07
symbols,nothing removed,symbol,rrf_hops_path,109,0.4260962971495337,0.40661509436383264,0.019481202785700955,0.009981728813849112,0.03058707115212778,0.5290800437673597,0.0001089488922891667,0.0003268466768675001
symbols,nothing removed,symbol,rrf_pprpl_issue_path,109,0.4334654702566463,0.41603891879821586,0.017426551458430396,0.010014214309335004,0.026129857879994597,0.5284487837724097,2.1960924714680716e-06,1.317655482880843e-05
names,all tasks,co_edited,bm25_issue,111,0.41482002952985103,0.41131531517444225,0.0035047143554087982,0.002256251166841442,0.004989054451728061,0.5073046018991965,4.825656143537876e-07,5.790787372245451e-06
names,all tasks,co_edited,path_issue,111,0.43307888117329263,0.389742144318864,0.043336736854428654,0.03389601053696622,0.053402561735729714,0.5725590455320184,1.4206885841423306e-15,2.557239451456195e-14
names,all tasks,co_edited,rrf_hops_path,111,0.45909574290278654,0.4306652834248733,0.028430459477913173,0.021554857157742417,0.03621467710619083,0.5505234964694424,6.647649676646175e-14,9.971474514969263e-13
names,all tasks,co_edited,rrf_pprpl_issue_path,111,0.48836252732003393,0.4653751643483786,0.022987362971655302,0.016621784909090623,0.030022952710638713,0.5411086762438114,3.782027365038891e-12,4.916635574550558e-11
paths,all tasks,co_edited,bm25_issue,111,0.41482002952985103,0.40916746453700825,0.00565256499284277,0.0035060195081896505,0.007976811317089098,0.512214917620323,1.2714557053045648e-06,1.3986012758350213e-05
paths,all tasks,co_edited,path_issue,111,0.43307888117329263,0.35937444725308476,0.07370443392020773,0.05899733673419189,0.08899970009518621,0.6206070935800666,6.472938926783808e-17,1.4887759531602758e-15
