repo_key,sha,files,import_edges,density,indeg_mean,indeg_median,indeg_max,indeg_gini,outdeg_mean,outdeg_median,outdeg_max,outdeg_gini,hub_share_top5pct,n_loops,largest_loop,largest_loop_share,share_in_loops,depth_condensed,spl_mean,spl_max,n_wcc,largest_wcc_share,isolated,isolated_share,modularity,n_clusters,clustering,single_importer_share,nesting_max,nesting_mean,unresolved_share,loc_total,loc_mean,loc_median
aiogram/aiogram,20d36a2ab8a21eeff2f360f73b14b99d5e397762,602,2056,0.005682666209694805,3.4152823920265782,2.0,198,0.6403460578874569,3.4152823920265782,2.0,298,0.5828351021885544,0.521887159533074,2,459,0.7624584717607974,0.8122923588039868,9,3.637326418430534,10,13,0.9800664451827242,12,0.019933554817275746,0.4898027035260667,22,0.48055562843279337,0.4152823920265781,4,2.026578073089701,0.0,54269,90.14784053156146,43.0
astropy/astropy,92b38aebbba6422890f1023031558f6df738e2a5,512,1986,0.00759081457925636,3.87890625,2.0,134,0.6474540533736153,3.87890625,3.0,29,0.5166674534239678,0.4028197381671702,6,301,0.587890625,0.625,13,6.112408544431781,19,44,0.916015625,43,0.083984375,0.6059009483667018,54,0.3233639547079979,0.2890625,5,2.8125,0.010737628384687208,217260,424.3359375,188.5
astropy/astroquery,f3f44261e811f690690eed8c2073d0a91e9eca81,249,490,0.007934965669128125,1.9678714859437751,1.0,59,0.6506843701335956,1.9678714859437751,1.0,12,0.5682321121219572,0.5285714285714286,56,11,0.04417670682730924,0.5220883534136547,6,2.5959919839679357,9,39,0.8313253012048193,35,0.14056224899598393,0.500668329339658,50,0.10399668994507608,0.5943775100401606,4,2.393574297188755,0.006237006237006237,58164,233.59036144578315,56.0
astropy/photutils,3d06161529624d7d3e886bb46d22aa99dcd015b5,96,248,0.027192982456140352,2.5833333333333335,2.0,15,0.4621135752688172,2.5833333333333335,2.0,12,0.5765288978494624,0.2217741935483871,5,21,0.21875,0.3333333333333333,11,5.214197784160853,16,5,0.9375,3,0.03125,0.5962536711973226,12,0.28099743519151416,0.3541666666666667,3,2.0104166666666665,0.015810276679841896,37476,390.375,224.5
aws-cloudformation/cfn-lint,89ea045335200022a08aefa933beaa9b4c73e10d,2091,1016,0.00023248417116875927,0.48589191774270685,0.0,155,0.9786608901290496,0.48589191774270685,0.0,14,0.8800210500947065,0.9488188976377953,3,46,0.021999043519846963,0.02773792443806791,13,4.4603400494345,10,1668,0.20277379244380678,1667,0.7972262075561932,0.5394251537942462,1678,0.050074039183869976,0.032520325203252036,8,7.089909134385461,0.0009823182711198428,124311,59.45050215208035,0.0
azure/azure-cli,85c0e4c8fb21e26a4984cad3b21a5e22a6a8b92b,60,7,0.0019774011299435027,0.11666666666666667,0.0,5,0.9738095238095238,0.11666666666666667,0.0,2,0.930952380952381,1.0,0,0,0.0,0.0,1,1.0,1,54,0.11666666666666667,53,0.8833333333333333,0.20408163265306123,55,0.0,0.0,7,2.8833333333333333,0.0,4968,82.8,45.0
beeware/briefcase,589adce8a799c2afd2e819dfc0730d0bdb03a145,76,231,0.04052631578947368,3.039473684210526,1.0,42,0.725848712690818,3.039473684210526,2.5,15,0.5210184552289815,0.43722943722943725,1,13,0.17105263157894737,0.17105263157894737,10,2.3678071539657854,5,13,0.8421052631578947,12,0.15789473684210525,0.3243260148870957,16,0.3768054137991513,0.19736842105263158,4,3.276315789473684,0.03571428571428571,22903,301.35526315789474,164.0
borgbackup/borg,5a87b41e370b2f18b7b9d75a3cca98e8a32768d2,147,646,0.03009971111732364,4.394557823129252,1.0,85,0.8245403424527706,4.394557823129252,3.0,35,0.4611107600935111,0.5495356037151703,1,23,0.1564625850340136,0.1564625850340136,12,2.7503201024327786,9,5,0.9727891156462585,4,0.027210884353741496,0.3054940126032299,10,0.49826951476920506,0.2585034013605442,4,2.979591836734694,0.191,40983,278.7959183673469,173.0
bridgecrewio/checkov,342c86dd97b8b75a077007586c8bd91abe962bfe,2491,5675,0.0009149403716834419,2.2782015254917702,0.0,1496,0.9512133371768322,2.2782015254917702,2.0,63,0.43117478428952155,0.8502202643171806,11,97,0.03894018466479326,0.051384985949417906,21,6.832065672047699,11,361,0.8329987956643918,332,0.13327980730630268,0.566943998337498,382,0.5609865121763962,0.13006824568446407,6,4.297872340425532,0.0,117326,47.099959855479725,25.0
canonical/charmcraft,389f8ca582592c9a65a19ffa0d522a677174f094,79,179,0.02904901006166829,2.2658227848101267,1.0,19,0.5606392758645075,2.2658227848101267,2.0,10,0.564033660985786,0.329608938547486,2,19,0.24050632911392406,0.26582278481012656,14,3.8660194174757283,12,8,0.9113924050632911,7,0.08860759493670886,0.40679838404241886,14,0.1956470423992076,0.5443037974683544,4,2.1012658227848102,0.006711409395973154,14680,185.8227848101266,104.0
cloud-custodian/cloud-custodian,9a38db80b0ad2947e0e6a5dcc67577872f2524bc,621,1570,0.004077710248818243,2.528180354267311,0.0,289,0.9556519687785265,2.528180354267311,1.0,19,0.6386370862693211,0.8923566878980892,4,33,0.05314009661835749,0.06280193236714976,14,3.256809787626962,9,220,0.6312399355877617,217,0.3494363929146538,0.3494051259014921,226,0.24040751165402827,0.11594202898550725,5,3.0853462157809983,0.0012368583797155227,139567,224.74557165861515,96.0
conan-io/conan,f4513c503371e5c5c6ba7ac27603bcc7cb0b89ff,361,1286,0.00989535241612804,3.5623268698060944,1.0,148,0.7365146926414013,3.5623268698060944,2.0,28,0.5407951818647873,0.5303265940902022,6,95,0.2631578947368421,0.3185595567867036,13,5.419680165886456,13,36,0.9030470914127424,35,0.09695290858725762,0.44968092304206714,43,0.27623297206717884,0.4182825484764543,5,3.155124653739612,0.0,54212,150.17174515235456,99.0
dask/dask,0e1418f02576c81d80c96e9fbed31257345a9e5f,182,1062,0.03223847975229191,5.835164835164835,2.0,100,0.667484116636659,5.835164835164835,5.0,50,0.4901906003600919,0.3775894538606403,1,141,0.7747252747252747,0.7747252747252747,6,3.9122998986828774,11,8,0.9615384615384616,7,0.038461538461538464,0.38142779922701614,12,0.4063737212823761,0.26373626373626374,4,2.269230769230769,0.0,94783,520.7857142857143,251.0
deepset-ai/haystack,41b7ed4f472b7c26cc6cb879e8fda1197b422f49,230,783,0.014866147712170116,3.4043478260869566,1.0,102,0.6997445721583653,3.4043478260869566,3.0,19,0.42903548225887056,0.5696040868454662,8,34,0.14782608695652175,0.2391304347826087,14,3.7075613797258624,10,6,0.9739130434782609,4,0.017391304347826087,0.4302469001504529,12,0.175377598680622,0.5826086956521739,5,2.8347826086956522,0.0,43112,187.44347826086957,148.0
django-json-api/django-rest-framework-json-api,142c76edadf7bf4d6c6692da307c03355103b1f6,36,46,0.03650793650793651,1.2777777777777777,1.0,11,0.6618357487922706,1.2777777777777777,1.0,10,0.6739130434782609,0.32608695652173914,1,6,0.16666666666666666,0.16666666666666666,5,2.237410071942446,6,12,0.6388888888888888,10,0.2777777777777778,0.33753086419753087,15,0.2226791726791727,0.2777777777777778,3,1.5,0.0,5227,145.19444444444446,74.5
django/django,4a72da71001f154ea60906a2f74898d32b7322a7,839,2779,0.00395259727883803,3.3122765196662693,1.0,157,0.7979272433597632,3.3122765196662693,2.0,35,0.601986377483776,0.5519971212666427,14,139,0.16567342073897498,0.23480333730631706,24,5.178963402726243,16,225,0.733015494636472,224,0.266984505363528,0.4742596444197006,233,0.196512484176286,0.19308700834326578,6,3.558998808104887,0.0028099754127151387,145427,173.3337306317044,65.0
docker/docker-py,6ceb08273c157cbab7b5c77bd71e7389f1a6acc5,69,175,0.03729752770673487,2.536231884057971,1.0,27,0.5831884057971014,2.536231884057971,2.0,23,0.5156107660455487,0.4228571428571429,1,2,0.028985507246376812,0.028985507246376812,14,2.669189189189189,6,6,0.927536231884058,5,0.07246376811594203,0.4154776060245739,11,0.2766915079626818,0.5652173913043478,2,1.8405797101449275,0.005376344086021506,14501,210.15942028985506,102.0
dpkp/kafka-python,48dd596462be5fc7cda004c85b26db823c184a39,125,327,0.021096774193548388,2.616,1.0,31,0.6071681957186544,2.616,1.0,21,0.6229235474006116,0.39143730886850153,2,5,0.04,0.056,13,2.7202413603949536,7,10,0.928,9,0.072,0.45154606767261085,15,0.19495544296347528,0.44,4,2.064,0.008982035928143712,30437,243.496,84.0
